deployment_id,service_name,service_id,deployment_date,deployment_type,deployer,environment,change_ticket,release_version,rollback_performed,notes
DEP-Q4-001,api-gateway,CAS-SVC-001,2025-10-02,update,ci-pipeline,production,CHG-2025-4410,v4.12.1,No,Minor bug fix — rate limiting edge case
DEP-Q4-002,billing-service,CAS-SVC-004,2025-10-05,update,ci-pipeline,production,CHG-2025-4415,v3.8.0,No,Stripe API version upgrade
DEP-Q4-003,customer-identity-resolution,CAS-SVC-013,2025-10-20,new_service,platform-team,production,CHG-2025-4438,v1.0.0,No,New service — customer identity resolution and profile unification. Processes cross-device matching. Handles customer behavioral data and device fingerprints.
DEP-Q4-004,search-service,CAS-SVC-006,2025-10-28,update,ci-pipeline,production,CHG-2025-4445,v2.5.3,No,Elasticsearch version upgrade
DEP-Q4-005,auth-service,CAS-SVC-002,2025-11-05,update,ci-pipeline,production,CHG-2025-4460,v5.1.0,No,Added WebAuthn support
DEP-Q4-006,data-pipeline,CAS-SVC-012,2025-11-12,update,ci-pipeline,production,CHG-2025-4472,v2.3.1,No,Performance optimization for batch processing
DEP-Q4-007,notification-engine,CAS-SVC-005,2025-11-18,update,ci-pipeline,production,CHG-2025-4480,v3.2.0,Yes,Push notification regression — rolled back within 15 minutes
DEP-Q4-008,ml-recommendation,CAS-SVC-010,2025-11-25,update,ci-pipeline,production,CHG-2025-4491,v1.8.0,No,Updated recommendation model
DEP-Q4-009,customer-data-api,CAS-SVC-003,2025-12-03,update,ci-pipeline,production,CHG-2025-4505,v6.0.0,No,Major version — added batch data export API
DEP-Q4-010,file-storage,CAS-SVC-008,2025-12-10,update,ci-pipeline,production,CHG-2025-4518,v2.1.4,No,S3 multi-part upload optimization
DEP-Q4-011,api-gateway,CAS-SVC-001,2025-12-15,update,ci-pipeline,production,CHG-2025-4525,v4.13.0,No,Added rate limiting for new batch export endpoint
DEP-Q4-012,admin-portal,CAS-SVC-011,2025-12-18,update,ci-pipeline,production,CHG-2025-4530,v2.4.0,No,Dashboard enhancements
