row_id,data_category,data_elements,storage_system,retention_period,deletion_method,legal_basis,owner,last_reviewed,justification
1,Account Registration Data,"Name, email, date of birth, gender, country",PostgreSQL (AWS RDS eu-west-2),Active subscription + 12 months,Automated purge job,Contractual necessity,Engineering,2025-06-15,Standard account lifecycle
2,Authentication Data,"Password hashes, MFA tokens, session logs",PostgreSQL (AWS RDS eu-west-2),Active account + 12 months,Automated purge job,Contractual necessity,Engineering - Security,2025-06-15,Aligned with account retention
3,Health Assessment Data,"Assessment responses, risk scores, wellness metrics, health condition self-reports",PostgreSQL (AWS RDS eu-west-2) + S3 encrypted,5 years after last assessment,Automated purge with manual verification,Consent + legitimate interest,Clinical Team,2025-06-15,Clinical validity requirements — longitudinal health trend analysis requires minimum 5-year data window per clinical advisory board recommendation (CAB-2024-008)
4,Health Profile Data,"Self-reported conditions, medications, allergies, lifestyle habits",PostgreSQL (AWS RDS eu-west-2),Active account + 12 months,Automated purge job,Consent,Clinical Team,2025-06-15,Deleted with account data
5,Usage Analytics,"Feature access logs, session duration, assessment module completion",Mixpanel + S3,24 months from event date,S3 lifecycle policy + Mixpanel TTL,Legitimate interest,Engineering - Data,2025-06-15,Product improvement analytics
6,Payment Records,"Invoice history, subscription changes, payment method tokens (Stripe)",Stripe + PostgreSQL,7 years after last transaction,Stripe-managed + DB purge,Legal obligation (tax/accounting),Finance,2025-06-15,UK HMRC requirement
7,Support Communications,"Ticket content, chat transcripts, email correspondence",Intercom + S3,24 months after ticket closure,Intercom automated deletion + S3 lifecycle,Legitimate interest,Customer Support,2025-06-15,Quality assurance and training
8,Marketing Consent Records,"Opt-in/opt-out status, consent timestamps, consent version",CookieBot + PostgreSQL,24 months after consent withdrawal or account closure,Automated purge,Consent,Marketing,2025-06-15,Proof of valid consent
9,Research Participation Data,"Anonymized assessment data, survey responses, research consent records",S3 encrypted (separate bucket),10 years after study completion,Manual deletion with ethics board approval,Explicit consent,Research Team,2025-06-15,Research ethics requirements
10,Application Logs,"API logs, error traces, audit trail",Datadog + S3,12 months from log creation,S3 lifecycle policy,Legitimate interest,Engineering - SRE,2025-06-15,Debugging and compliance audit trail
