risk_id,risk_title,risk_description,risk_owner,risk_domain,likelihood_pre,impact_pre,rating_pre,likelihood_post,impact_post,rating_post,treatment_strategy,assigned_controls,control_effectiveness,last_comprehensive_review,last_quarterly_review,next_review,change_history,change_justification
ZC-RISK-001,Ransomware attack on production infrastructure,"Threat actor deploys ransomware targeting Zenith Cloud production Kubernetes clusters and databases, encrypting critical data and disrupting service",Rajesh Mehta,Information Security,4,5,Critical,2,5,Medium,Mitigate,"EDR (CrowdStrike Falcon), immutable backups (AWS S3 Object Lock), network segmentation, offline backup copies",High,2025-02-15,2025-12-18,2026-03-15,"Q3 2025: Downgraded from High to Medium; Q4 2025: Maintained at Medium","Q3: Improved backup architecture with air-gapped copies and successful recovery test in August 2025. Q4: No changes."
ZC-RISK-002,Cloud misconfiguration exposing customer data,"AWS S3 bucket, RDS instance, or Kubernetes service misconfiguration results in unauthorized public access to customer PII or financial data",Rajesh Mehta,Information Security,3,5,High,2,5,Medium,Mitigate,"CSPM (Wiz), IaC scanning (Checkov), SCPs enforcing private-only S3, weekly config drift detection",High,2025-02-15,2025-12-18,2026-03-15,"Q4 2025: Downgraded from High to Medium",
ZC-RISK-003,Key personnel dependency — Platform Engineering,"Concentration risk: 2 of 3 principal engineers hold unique knowledge of core platform architecture, payment processing integration, and disaster recovery procedures",Tom Harrington,Operational,3,4,High,3,3,Medium,Mitigate,"Knowledge sharing sessions, runbook documentation, cross-training program",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-004,Third-party data breach via SaaS vendor,"Critical SaaS vendor (e.g., Snowflake, Auth0, or Datadog) experiences a data breach exposing Zenith Cloud customer data or credentials",Linda Okafor,Information Security,3,4,High,2,4,Medium,Mitigate,"Vendor security assessments, SOC 2 review, contractual notification requirements, SSO integration with credential rotation capability",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-005,Regulatory non-compliance — SOC 2,"Failure to maintain SOC 2 Type II attestation due to control gaps, resulting in customer contract violations and competitive disadvantage",David Cho,Compliance,2,4,Medium,1,4,Medium,Mitigate,"Continuous compliance monitoring (Vanta), dedicated compliance team, quarterly control testing",High,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-006,DDoS attack degrading service availability,"Volumetric or application-layer DDoS attack exceeds mitigation capacity, causing customer-facing service degradation or outage",Rajesh Mehta,Information Security,4,3,High,2,3,Medium,Mitigate,"AWS Shield Advanced, CloudFront WAF, auto-scaling, rate limiting, DDoS response runbook",High,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-007,Insider threat — malicious data exfiltration,"Current employee or contractor with privileged access intentionally exfiltrates customer data or intellectual property",Rajesh Mehta,Information Security,2,5,Medium,2,5,Medium,Mitigate,"DLP (Microsoft Purview), privileged access management (CyberArk), database activity monitoring, background checks, quarterly access reviews",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-008,Supply chain compromise via open-source dependency,"Malicious code introduced via compromised npm/PyPI package used in Zenith Cloud application stack",Tom Harrington,Information Security,3,4,High,2,3,Medium,Mitigate,"SCA scanning (Snyk), private artifact registry, dependency pinning, SBOM generation",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-009,Database performance degradation under load,"PostgreSQL primary database reaches capacity limits during peak usage, causing latency spikes and potential service degradation",Tom Harrington,Operational,3,3,Medium,2,3,Medium,Mitigate,"Read replicas, connection pooling (PgBouncer), query optimization program, capacity monitoring",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-010,Loss of key client — revenue concentration,"Top 3 clients represent 35% of ARR. Loss of any one would significantly impact revenue targets and may trigger employee layoffs",Susan Park,Strategic,2,4,Medium,2,4,Medium,Mitigate,"Customer success program, multi-year contracts, product stickiness improvements, pipeline diversification",Low,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
