endpoint_id,endpoint_name,endpoint_type,hostname,port,environment,tls_version,cipher_suite,certificate_issuer,certificate_expiry,certificate_status,last_scan_date,pii_handling,compliance_notes
TLS-001,Production Web ALB,public,app.prismcloud.io,443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Certificate Manager,2026-06-15,Valid,2025-12-14,Yes,Compliant — TLS 1.3 on public endpoint
TLS-002,Partner API Gateway,public,partners.prismcloud.io,443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Certificate Manager,2026-06-15,Valid,2025-12-14,Yes,Compliant — TLS 1.3 on public endpoint
TLS-003,Webhook Receiver,public,webhooks.prismcloud.io,443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Certificate Manager,2026-06-15,Valid,2025-12-14,No,Compliant — TLS 1.3 on public endpoint
TLS-004,Internal API Service,internal,internal-api.prod.prismcloud.local,8443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Private CA,2026-03-20,Valid,2025-12-14,Yes,Compliant — TLS 1.3 on internal service
TLS-005,gRPC Service Mesh,internal,grpc.prod.prismcloud.local,9090,production,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,AWS Private CA,2026-03-20,Valid,2025-12-14,Yes,Compliant — TLS 1.3 with recommended cipher suite
TLS-006,MongoDB Atlas Connection,internal,cluster0.abc123.mongodb.net,27017,production,TLS 1.3,TLS_AES_256_GCM_SHA384,DigiCert,2026-01-30,Valid,2025-12-14,Yes,Compliant — TLS 1.3 managed by MongoDB Atlas
TLS-007,Redis ElastiCache,internal,prism-prod-redis.abc123.use1.cache.amazonaws.com,6379,production,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,AWS Internal,2026-05-10,Valid,2025-12-14,No,Compliant — TLS 1.2 acceptable for internal non-PII cache
TLS-008,Notification Service,internal,notifications.prod.prismcloud.local,8080,production,None,N/A,N/A,N/A,N/A,2025-12-14,No,"NON-COMPLIANT — Unencrypted HTTP on internal service. No TLS configured."
TLS-009,Monitoring Prometheus,internal,prometheus.prod.prismcloud.local,9090,production,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,AWS Private CA,2026-03-20,Valid,2025-12-14,No,Compliant — TLS 1.2 on internal monitoring (no PII)
TLS-010,Monitoring Grafana,internal,grafana.prod.prismcloud.local,3000,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Private CA,2026-03-20,Valid,2025-12-14,No,Compliant — TLS 1.3 on internal dashboard
TLS-011,Batch Processing Worker,internal,batch.prod.prismcloud.local,8443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Private CA,2026-03-20,Valid,2025-12-14,Yes,Compliant — TLS 1.3 on internal batch service
TLS-012,Customer Data Export API,internal,export-api.prod.prismcloud.local,8443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Private CA,2026-03-20,Valid,2025-12-14,Yes,Compliant — TLS 1.3 on internal export service
TLS-013,Data Sync Service,internal,data-sync.prod.prismcloud.local,8443,production,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Private CA,2026-03-20,Valid,2025-12-14,Yes,Compliant — encrypted tunnel for cross-VPC data sync
TLS-014,Elasticsearch Cluster,internal,es.prod.prismcloud.local,9200,production,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,AWS Private CA,2026-03-20,Valid,2025-12-14,Yes,"TLS 1.2 — handles customer PII (search indices contain user profiles and activity data). Policy requires TLS 1.3 for new deployments; this is a legacy deployment."
TLS-015,Staging Web ALB,public,staging.prismcloud.io,443,staging,TLS 1.3,TLS_AES_256_GCM_SHA384,AWS Certificate Manager,2026-06-15,Valid,2025-12-14,No,Compliant — TLS 1.3 on staging endpoint
