record_id,user_id,employer_client,consent_date,consent_category,consent_status,consent_method,consent_form_branding,data_controller_identified,consent_text_excerpt,withdrawal_date,withdrawal_method,notes
WC-0001,EMP-GT-4501,GlobalTech Industries,2025-07-15,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No — form does not identify data controller,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,Consent collected by Meridian directly. Form branded as Meridian HR — no mention of employer as controller.
WC-0002,EMP-GT-4502,GlobalTech Industries,2025-07-15,wellness_survey,opted_out,in_platform_prompt,Meridian HR,No,N/A,,,Employee declined participation.
WC-0003,EMP-GT-4503,GlobalTech Industries,2025-07-16,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0004,EMP-PC-2201,Pinnacle Corp,2025-08-01,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0005,EMP-PC-2202,Pinnacle Corp,2025-08-01,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0006,EMP-PC-2203,Pinnacle Corp,2025-08-02,wellness_survey,opted_out,in_platform_prompt,Meridian HR,No,N/A,,,
WC-0007,EMP-PC-2204,Pinnacle Corp,2025-08-02,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",2025-09-15,in_platform_toggle,Consent withdrawn. Survey responses deleted per withdrawal policy.
WC-0008,EMP-AE-3301,Acme Enterprises,2025-08-15,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0009,EMP-AE-3302,Acme Enterprises,2025-08-15,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0010,EMP-AE-3303,Acme Enterprises,2025-08-16,wellness_survey,opted_out,in_platform_prompt,Meridian HR,No,N/A,,,
WC-0011,EMP-NS-1101,Nordic Solutions Oy,2025-09-01,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0012,EMP-NS-1102,Nordic Solutions Oy,2025-09-01,wellness_survey,opted_in,in_platform_prompt,Meridian HR,No,"I consent to participate in the Meridian HR Wellness Survey. My responses will be used to generate anonymized department-level wellbeing reports.",,,
WC-0013,EMP-GT-4504,GlobalTech Industries,2025-09-10,performance_analytics,opted_in,in_platform_prompt,Meridian HR,No,"I consent to the use of my performance data for platform analytics and benchmarking purposes.",,,Performance analytics consent — separate from wellness survey.
WC-0014,EMP-GT-4505,GlobalTech Industries,2025-09-10,performance_analytics,opted_out,in_platform_prompt,Meridian HR,No,N/A,,,
WC-SUMMARY,,,,,,,,,,,,,"Total wellness survey consent records across all clients: 4,218 opted_in, 1,103 opted_out (79.3% participation rate). Total performance analytics consent records: 2,891 opted_in, 2,430 opted_out (54.3% participation rate). All consent forms branded as Meridian HR. No consent forms identify the employer as data controller."
