finding_id,severity,type,rule,title,file,line,project,first_detected,last_scanned,status,assigned_to,resolution_notes
SQ-8901,Low,Code Smell,java:S1192,String literals should not be duplicated,src/main/java/com/arcadia/util/Constants.java,45,payment-service,2025-10-02,2025-12-28,Open,David Park,Refactoring backlog
SQ-8902,Medium,Vulnerability,java:S2068,Credentials should not be hard-coded,src/main/java/com/arcadia/config/LegacyDbConfig.java,23,billing-service,2025-11-15,2025-12-28,Resolved,Sarah Kim,Migrated to Vault on Dec 1
SQ-8903,Low,Code Smell,java:S1481,Unused local variables should be removed,src/main/java/com/arcadia/api/OrderController.java,112,order-service,2025-10-08,2025-12-28,Open,Mike Chen,Sprint backlog
SQ-8904,Medium,Bug,java:S2259,Null pointers should not be dereferenced,src/main/java/com/arcadia/service/PaymentProcessor.java,87,payment-service,2025-11-20,2025-12-28,Resolved,Lisa Wang,Fixed in PR #4521
SQ-8905,Low,Code Smell,java:S106,Standard outputs should not be used directly,src/main/java/com/arcadia/batch/ReportGenerator.java,34,reporting-service,2025-09-28,2025-12-28,Open,James Lee,Low priority
SQ-8906,High,Vulnerability,java:S5144,Server-side requests should not be forgeable (SSRF),src/main/java/com/arcadia/api/WebhookController.java,56,notification-service,2025-09-14,2025-12-28,Open,Unassigned,No remediation plan documented
SQ-8907,Medium,Vulnerability,java:S5131,Inputs should be validated before use in cross-site scripting contexts,src/main/java/com/arcadia/web/DashboardServlet.java,134,portal-service,2025-10-22,2025-12-28,Resolved,Emily Tran,Input sanitization added Nov 10
SQ-8908,Low,Code Smell,java:S1135,Track uses of TODO tags,src/main/java/com/arcadia/util/DateHelper.java,19,shared-lib,2025-10-15,2025-12-28,Open,Alex Johnson,Acknowledged
SQ-8909,Medium,Bug,java:S2583,Conditions should not unconditionally evaluate to TRUE or FALSE,src/main/java/com/arcadia/service/DiscountEngine.java,203,pricing-service,2025-11-08,2025-12-28,Open,Rachel Gomez,Investigating logic
SQ-8910,Low,Code Smell,java:S1854,Unused assignments should be removed,src/main/java/com/arcadia/data/CustomerMapper.java,67,customer-service,2025-09-20,2025-12-28,Open,Kevin Wu,Low priority
SQ-8911,Medium,Vulnerability,java:S3649,Database queries should not be vulnerable to injection attacks,src/main/java/com/arcadia/dao/ReportDao.java,89,reporting-service,2025-10-30,2025-12-28,Resolved,James Lee,Parameterized query on Nov 20
SQ-8912,Low,Code Smell,java:S1118,Utility classes should not have public constructors,src/main/java/com/arcadia/util/StringUtils.java,8,shared-lib,2025-10-05,2025-12-28,Open,Mike Chen,Backlog
SQ-8913,High,Vulnerability,java:S5145,Log injection attacks should be prevented,src/main/java/com/arcadia/api/AuthController.java,78,auth-service,2025-08-22,2025-12-28,Open,Unassigned,Identified in August — no action taken
SQ-8914,Medium,Bug,java:S2095,Resources should be closed after use,src/main/java/com/arcadia/data/ConnectionPool.java,145,shared-lib,2025-11-25,2025-12-28,Open,David Park,PR in review
SQ-8915,Low,Code Smell,java:S1128,Unnecessary imports should be removed,src/main/java/com/arcadia/web/AdminPanel.java,3,portal-service,2025-10-18,2025-12-28,Open,Emily Tran,Auto-fix pending
SQ-8916,Medium,Vulnerability,java:S4790,Weak hashing algorithms should not be used,src/main/java/com/arcadia/security/TokenGenerator.java,42,auth-service,2025-11-12,2025-12-28,Open,Sarah Kim,Migration to SHA-256 planned for Q1
SQ-8917,Low,Code Smell,java:S1172,Unused method parameters should be removed,src/main/java/com/arcadia/service/NotificationSender.java,56,notification-service,2025-09-30,2025-12-28,Open,Lisa Wang,Backlog
SQ-8918,Medium,Bug,java:S2077,SQL binding mechanisms should be used,src/main/java/com/arcadia/dao/AuditLogDao.java,112,audit-service,2025-10-25,2025-12-28,Resolved,Kevin Wu,Fixed Nov 8
SQ-8919,Low,Code Smell,java:S1940,Boolean checks should not be inverted,src/main/java/com/arcadia/util/ValidationHelper.java,29,shared-lib,2025-10-12,2025-12-28,Open,Alex Johnson,Code smell
SQ-8920,High,Vulnerability,java:S2755,XML parsers should not be vulnerable to XXE attacks,src/main/java/com/arcadia/integration/LegacyXmlParser.java,34,integration-service,2025-09-08,2025-12-28,Open,Unassigned,Legacy integration — no owner assigned
SQ-8921,Medium,Vulnerability,java:S5122,CORS origins should be properly validated,src/main/java/com/arcadia/config/CorsConfig.java,18,api-gateway,2025-11-18,2025-12-28,Resolved,Rachel Gomez,Restricted origins on Dec 5
SQ-8922,Low,Code Smell,java:S1186,Methods should not be empty,src/main/java/com/arcadia/handler/ErrorHandler.java,45,shared-lib,2025-10-08,2025-12-28,Open,Mike Chen,Placeholder
SQ-8923,Medium,Bug,java:S2637,Non-null fields should not be set to null,src/main/java/com/arcadia/model/Transaction.java,156,payment-service,2025-12-01,2025-12-28,Open,David Park,Investigating
SQ-8924,Low,Code Smell,java:S1075,URIs should not be hardcoded,src/main/java/com/arcadia/client/ExternalApiClient.java,22,integration-service,2025-09-25,2025-12-28,Open,James Lee,Config migration planned
SQ-8925,Medium,Vulnerability,java:S4426,Cryptographic keys should be robust,src/main/java/com/arcadia/security/EncryptionService.java,67,auth-service,2025-11-28,2025-12-28,Open,Sarah Kim,Key rotation review in progress
SQ-8926,Low,Code Smell,java:S1199,Nested code blocks should not be used,src/main/java/com/arcadia/batch/DataExporter.java,89,reporting-service,2025-10-20,2025-12-28,Open,Lisa Wang,Refactoring backlog
SQ-8927,Medium,Bug,java:S2189,Loops should not be infinite,src/main/java/com/arcadia/worker/RetryWorker.java,43,worker-service,2025-11-05,2025-12-28,Resolved,Alex Johnson,Added max retry limit on Nov 15
SQ-8928,Low,Code Smell,java:S1066,Collapsible if statements should be merged,src/main/java/com/arcadia/service/InvoiceService.java,178,billing-service,2025-10-28,2025-12-28,Open,Kevin Wu,Code quality
SQ-8929,Medium,Vulnerability,java:S2647,Basic authentication should not be used,src/main/java/com/arcadia/config/AdminAuthConfig.java,15,portal-service,2025-10-10,2025-12-28,Open,Emily Tran,Migration to OAuth2 planned
SQ-8930,Low,Code Smell,java:S1068,Unused private fields should be removed,src/main/java/com/arcadia/model/AuditEntry.java,12,audit-service,2025-09-15,2025-12-28,Open,Rachel Gomez,Backlog
SQ-8931,Medium,Bug,java:S4973,Floating point numbers should not be tested for equality,src/main/java/com/arcadia/service/PricingCalculator.java,92,pricing-service,2025-12-10,2025-12-28,Open,Mike Chen,Using BigDecimal comparison planned
SQ-8932,Low,Code Smell,java:S1155,Collection.isEmpty() should be used instead of size(),src/main/java/com/arcadia/util/ListHelper.java,15,shared-lib,2025-10-22,2025-12-28,Open,David Park,Minor
SQ-8933,Medium,Vulnerability,java:S6096,File path injection should be prevented,src/main/java/com/arcadia/api/FileDownloadController.java,41,portal-service,2025-11-22,2025-12-28,Open,Lisa Wang,Path validation PR pending
SQ-8934,Low,Code Smell,java:S1450,Private fields only used as local variables should become local variables,src/main/java/com/arcadia/handler/EventProcessor.java,33,worker-service,2025-10-15,2025-12-28,Open,James Lee,Minor refactor
SQ-8935,Medium,Bug,java:S2692,indexOf checks should use a start position,src/main/java/com/arcadia/parser/CsvParser.java,67,reporting-service,2025-11-10,2025-12-28,Resolved,Kevin Wu,Fixed Nov 25
SQ-8936,Low,Code Smell,java:S1116,Empty statements should be removed,src/main/java/com/arcadia/config/AppConfig.java,55,shared-lib,2025-10-01,2025-12-28,Open,Alex Johnson,Minor
SQ-8937,Critical,Vulnerability,java:S3649,SQL Injection via string concatenation in prepared statement,src/main/java/com/arcadia/dao/SearchDao.java,124,search-service,2025-12-15,2025-12-28,Open,Sarah Kim,Critical — PR #4602 in review. Blocking merge.
SQ-8938,Low,Code Smell,java:S1144,Unused private methods should be removed,src/main/java/com/arcadia/util/CacheManager.java,88,shared-lib,2025-09-18,2025-12-28,Open,Emily Tran,Cleanup backlog
SQ-8939,Medium,Bug,java:S1764,Identical expressions should not be used on both sides of a binary operator,src/main/java/com/arcadia/service/RiskScorer.java,145,risk-service,2025-12-05,2025-12-28,Open,Rachel Gomez,Likely copy-paste error
