service_name,namespace,sidecar_injected,peer_authentication_mode,tls_version,client_cert_issuer,cert_expiry,cert_rotation_hours,last_audit_date,mtls_status,notes
analytics-engine,analytics-core,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — all connections validated
query-processor,analytics-core,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — 12 upstream dependencies verified
aggregation-service,analytics-core,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — handles PII aggregation
data-collector,data-ingestion,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — ingests customer event data
stream-processor,data-ingestion,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — Kafka consumer/producer
schema-registry,data-ingestion,Yes,PERMISSIVE,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,NON-COMPLIANT,PeerAuthentication set to PERMISSIVE — accepts both mTLS and plaintext. Sidecar is injected but mutual auth not enforced. Service team reports compatibility issue with legacy Kafka Connect plugin.
customer-gateway,customer-api,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — external API gateway
user-profile-service,customer-api,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — handles customer PII
billing-service,customer-api,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — payment data processing
admin-dashboard,internal-tools,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — internal admin interface
config-manager,internal-tools,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — manages service configurations
metrics-exporter,internal-tools,No,N/A,TLS 1.2,Self-signed (generated by Helm chart),2026-03-01,N/A,2025-12-15,NON-COMPLIANT,No Istio sidecar injected. Service uses a self-signed TLS certificate generated at deploy time. No mutual authentication. Deployed via legacy Helm chart that predates Istio adoption. Handles Prometheus metrics export from all namespaces.
model-serving,ml-platform,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — serves ML inference requests
feature-store,ml-platform,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — feature data serving
training-pipeline,ml-platform,Yes,STRICT,TLS 1.3,Vault Intermediate CA (pki-nimbus-prod),2025-12-18,72,2025-12-15,COMPLIANT,mTLS enforced — model training orchestration
