category,subcategory,budget_2024,actual_2024,budget_2025,actual_2025_ytd,ytd_period,variance_pct,notes
Personnel,Security Operations Team,"$1,680,000","$1,650,000","$1,720,000","$1,290,000",Jan-Sep 2025,0%,"6 SOC analysts + 3 IR + 2 TI. Stable headcount. 1 open TI position since Aug 2025."
Personnel,GRC Team,"$780,000","$770,000","$810,000","$607,500",Jan-Sep 2025,0%,"3 compliance + 2 risk analysts. Full team."
Personnel,Security Architecture,"$290,000","$290,000","$300,000","$225,000",Jan-Sep 2025,0%,"1 principal architect. No change."
Personnel,Application Security,"$620,000","$610,000","$640,000","$480,000",Jan-Sep 2025,0%,"3 AppSec engineers + 1 manager. Full team."
Personnel,CISO Office,"$380,000","$380,000","$390,000","$292,500",Jan-Sep 2025,0%,"CISO + executive assistant."
Personnel,Total Personnel,"$3,750,000","$3,700,000","$3,860,000","$2,895,000",Jan-Sep 2025,0%,"Personnel budget increased 2.9% for merit raises."
Tools,SIEM & Log Management,"$420,000","$410,000","$280,000","$210,000",Jan-Sep 2025,-33%,"Migrated from Splunk Enterprise to Splunk Cloud + optimized log ingestion. $140K savings."
Tools,EDR & Endpoint Security,"$180,000","$175,000","$165,000","$123,750",Jan-Sep 2025,-8%,"Renegotiated CrowdStrike contract at renewal. Same capability, better pricing."
Tools,Vulnerability Management,"$120,000","$115,000","$110,000","$82,500",Jan-Sep 2025,-8%,"Tenable.io license consolidated. No capability reduction."
Tools,PAM & Identity,"$95,000","$92,000","$90,000","$67,500",Jan-Sep 2025,-5%,"CyberArk contract renewal with modest discount."
Tools,Cloud Security (CSPM/CNAPP),"$200,000","$195,000","$80,000","$60,000",Jan-Sep 2025,-60%,"Consolidated from Wiz + Prisma Cloud to Wiz only. Prisma capabilities overlapped."
Tools,DLP,"$85,000","$82,000","$75,000","$56,250",Jan-Sep 2025,-12%,"Microsoft Purview replacing standalone DLP. License bundled with E5."
Tools,WAF & API Security,"$110,000","$108,000","$100,000","$75,000",Jan-Sep 2025,-9%,"Cloudflare contract optimization."
Tools,Total Tools,"$1,210,000","$1,177,000","$900,000","$675,000",Jan-Sep 2025,-26%,"Tool consolidation and renegotiation drove savings. No capability gaps identified."
External Services,Penetration Testing,"$200,000","$195,000","$180,000","$135,000",Jan-Sep 2025,-10%,"Shifted from 4 external pentests to 2 external + continuous internal BAS tool."
External Services,Managed SOC (Off-hours),"$150,000","$148,000","$0","$0",Jan-Sep 2025,-100%,"Brought 24/7 SOC fully in-house as of Jan 2025. 6 analysts cover all shifts."
External Services,Security Consulting,"$140,000","$135,000","$120,000","$90,000",Jan-Sep 2025,-14%,"Reduced reliance on external consultants as internal team matured."
External Services,Threat Intelligence Feeds,"$60,000","$58,000","$55,000","$41,250",Jan-Sep 2025,-8%,"Minor reduction. Core feeds maintained."
External Services,Incident Response Retainer,"$90,000","$90,000","$85,000","$63,750",Jan-Sep 2025,-6%,"Retained Mandiant IR retainer. Slight reduction in retainer scope."
External Services,Total External,"$640,000","$626,000","$440,000","$329,250",Jan-Sep 2025,-31%,"Primary driver: in-house SOC eliminates managed SOC cost."
Training,Security Team Training,"$50,000","$42,000","$45,000","$28,000",Jan-Sep 2025,-10%,"Conference attendance + certification support."
Training,Security Awareness Program,"$35,000","$33,000","$30,000","$22,000",Jan-Sep 2025,-14%,"KnowBe4 license. Slight reduction."
Training,Total Training,"$85,000","$75,000","$75,000","$50,000",Jan-Sep 2025,-12%,""
GRAND TOTAL,All Categories,"$5,685,000","$5,578,000","$5,275,000","$3,949,250",Jan-Sep 2025,-7%,"Overall budget decreased 7.2% YoY. Actual 2024 spend was $5.578M. Personnel increased, tools and services decreased through consolidation and in-housing."
