risk_id,risk_category,risk_description,likelihood,impact,inherent_rating,inherent_classification,residual_likelihood,residual_impact,residual_rating,residual_classification,treatment_strategy,treatment_plan,risk_owner,last_review_date,next_review_date,appetite_threshold,appetite_breach,appetite_breach_since,status,notes
PC-RISK-001,Information Security,Unauthorized access to production databases,3,5,15,High,2,4,8,Medium,Mitigate,"MFA + CyberArk PAM + quarterly access reviews",Angela Torres (VP Eng),2025-12-10,2026-03-10,Medium (≤9),No,,Active,Residual within appetite. Controls effective.
PC-RISK-002,Information Security,Data exfiltration via insider threat,3,5,15,High,2,4,8,Medium,Mitigate,"DLP + UBA + USB restrictions + email filtering",Diane Crawford (CISO),2025-11-20,2026-02-20,Medium (≤9),No,,Active,UBA tuned Q3. Within appetite.
PC-RISK-003,Information Security,Ransomware attack,4,5,20,Critical,3,4,12,High,Mitigate,"CrowdStrike EDR + segmentation + immutable backups + Mandiant retainer",Diane Crawford (CISO),2025-12-15,2026-01-15,Medium (≤9),Yes,2025-07-01,Active,"APPETITE BREACH: Residual rating 12 (High) exceeds info sec appetite of Medium (≤9). Breach identified at Q3 2025 Risk Committee (July 1). Remediation plan: deploy micro-segmentation (Illumio) to reduce lateral movement likelihood from 3 to 2. Expected completion: Q4 2025. Status as of Q4 review: micro-segmentation deployment delayed to Q1 2026 due to vendor implementation backlog. Residual rating remains 12."
PC-RISK-004,Technology,Production platform outage,3,4,12,High,2,3,6,Medium,Mitigate,"Multi-AZ + auto-scaling + DR + 15-min RTO",Angela Torres (VP Eng),2025-12-01,2026-03-01,High (≤15),No,,Active,DR test Q4 successful.
PC-RISK-005,Compliance,GDPR data subject rights non-compliance,2,4,8,Medium,2,3,6,Medium,Mitigate,"Automated DSR portal + data mapping + 30-day SLA",Samuel Osei (General Counsel),2025-11-10,2026-05-10,Low (≤4),Yes,2025-04-15,Active,"APPETITE BREACH: Residual rating 6 (Medium) exceeds compliance appetite of Low (≤4). Breach first identified Q2 2025 (April 15). Remediation plan approved at Q2 Risk Committee: implement automated data discovery tool (BigID) to improve DSR response accuracy. Expected completion: Q3 2025. Q3 2025 update: BigID procurement delayed — vendor contract negotiations extended. Q4 2025 update: BigID contract signed November 28. Deployment scheduled for Q1 2026. Residual rating unchanged at 6. No formal exception requested. No Board escalation."
PC-RISK-006,Information Security,Cloud misconfiguration exposure,3,5,15,High,2,4,8,Medium,Mitigate,"Wiz CSPM + auto-remediation + IaC enforcement",Angela Torres (VP Eng),2025-12-08,2026-03-08,Medium (≤9),No,,Active,Within appetite. 4 auto-remediations Q4.
PC-RISK-007,Third-Party,Critical vendor service disruption,2,5,10,High,2,3,6,Medium,Transfer,"Multi-vendor strategy + SLA guarantees + cyber insurance",Katherine Park (CFO),2025-12-05,2026-03-05,Medium (≤9),No,,Active,Within appetite.
PC-RISK-008,Information Security,Phishing credential compromise,4,3,12,High,3,3,9,Medium,Mitigate,"KnowBe4 + monthly phishing sims + Proofpoint + FIDO2",Diane Crawford (CISO),2025-11-28,2026-02-28,Medium (≤9),No,,Active,Click rate 3.1%. Borderline at appetite threshold (score = 9).
PC-RISK-009,Compliance,State privacy law compliance gaps,2,3,6,Medium,2,2,4,Low,Mitigate,"Legal monitoring + OneTrust + quarterly reviews",Samuel Osei (General Counsel),2025-10-15,2026-04-15,Low (≤4),No,,Active,Within appetite.
PC-RISK-010,Technology,API authentication bypass,2,5,10,High,1,5,5,Medium,Mitigate,"WAF + JWT validation + rate limiting + quarterly pentests",Angela Torres (VP Eng),2025-10-30,2026-01-30,Medium (≤9),No,,Active,Within appetite. Q4 pentest clean.
PC-RISK-011,Information Security,Software supply chain compromise,3,4,12,High,2,4,8,Medium,Mitigate,"Snyk SCA + dependency pinning + private registry + SBOM",Angela Torres (VP Eng),2025-11-05,2026-02-05,Medium (≤9),No,,Active,Within appetite.
PC-RISK-012,Operational,Key person dependency in security team,3,3,9,Medium,2,3,6,Medium,Mitigate,"Cross-training + runbooks + competitive retention",Diane Crawford (CISO),2025-11-20,2026-05-20,High (≤15),No,,Active,Within appetite.
