review_id,system_name,system_owner,reviewer,review_initiated,review_due,review_completed,status,access_grants_reviewed,findings_noted,access_revoked,notes
AR-Q4-001,AWS Console (Production),Nathan Brooks,Nathan Brooks,2025-10-01,2025-10-22,2025-10-18,Completed On Time,28,2,2,Revoked access for two former contractors
AR-Q4-002,Salesforce CRM (Production),Laura Simmons,Laura Simmons,2025-10-01,2025-10-22,2025-10-20,Completed On Time,45,0,0,All access appropriate — no issues identified
AR-Q4-003,GitHub Enterprise,Tyler Morrison,Jason Wright,2025-10-01,2025-10-22,2025-10-22,Completed On Time,62,0,0,All access verified — no changes needed
AR-Q4-004,Amazon RDS (Production),Priya Sharma,Priya Sharma,2025-10-01,2025-10-22,2025-10-15,Completed On Time,18,1,1,Revoked read replica access for departed analyst
AR-Q4-005,Okta (Identity Provider),Nathan Brooks,Nathan Brooks,2025-10-01,2025-10-22,2025-10-16,Completed On Time,186,3,3,Disabled 3 dormant accounts — no activity in 90+ days
AR-Q4-006,ServiceNow,Jennifer Walsh,Jennifer Walsh,2025-10-01,2025-10-22,2025-10-17,Completed On Time,95,1,1,Reduced one account from admin to standard user
AR-Q4-007,Datadog,Marcus Hall,Marcus Hall,2025-10-01,2025-10-22,2025-10-22,Completed On Time,22,0,0,All access appropriate
AR-Q4-008,Slack Enterprise,Omar Hassan,Omar Hassan,2025-10-01,2025-10-22,2025-10-14,Completed On Time,192,0,0,Verified channel access levels
AR-Q4-009,Confluence,Lena Okonkwo,Lena Okonkwo,2025-10-01,2025-10-22,2025-10-19,Completed On Time,110,2,2,Removed edit access for two role-changed employees
AR-Q4-010,Salesforce CRM (Sandbox),Laura Simmons,Laura Simmons,2025-10-01,2025-10-22,2025-10-20,Completed On Time,38,0,0,Sandbox access mirrors production — no issues
AR-Q4-011,CrestPoint Enterprise Suite,Nathan Brooks,Grace Tanaka,2025-10-01,2025-10-22,2025-10-17,Completed On Time,34,1,1,Revoked API access for decommissioned integration
AR-Q4-012,Jira Cloud,Brandon Taylor,Brandon Taylor,2025-10-01,2025-10-22,2025-10-22,Completed On Time,88,0,0,All access verified
AR-Q4-013,AWS S3 (Production),Nathan Brooks,Nathan Brooks,2025-10-01,2025-10-22,2025-10-16,Completed On Time,12,0,0,Minimal access — service accounts only
AR-Q4-014,DynamoDB (Production),Priya Sharma,Priya Sharma,2025-10-01,2025-10-22,2025-10-18,Completed On Time,8,0,0,Service accounts only — all verified
AR-Q4-015,PagerDuty,Marcus Hall,Marcus Hall,2025-10-01,2025-10-22,2025-10-21,Completed On Time,24,1,1,Removed on-call schedule entry for departed engineer
