change_id,change_date,change_window,change_type,target_systems,patches_applied,pre_validation,post_validation,post_scan_date,post_scan_confirmed,rollback_required,performed_by,approved_by,notes
CHG-2025-1201,2025-10-04,02:00-06:00 UTC,Standard,"corp-ws-fleet (145 endpoints)",KB5043076 KB5043078,Staging validated Oct 3,Desktop validation — spot check 10 endpoints,2025-10-06,Yes — Qualys confirmed,No,IT Operations,Change Advisory Board,October Patch Tuesday — corporate fleet
CHG-2025-1202,2025-10-10,Emergency,Emergency,esxi-prod-14,ESXi 8.0 U3b,Lab validated Oct 9,"vCenter health check — host healthy, all VMs running",2025-10-12,Yes — CVE-2025-22224 remediated,No,Infrastructure Engineering,CISO (emergency),Emergency ESXi patch — 6-hour host evacuation
CHG-2025-1203,2025-10-10,Emergency,Emergency,fw-internal-08,PAN-OS 11.1.6,Lab validated Oct 9,Firewall functional — traffic flowing normally,Not performed,,No,Network Engineering,CISO (emergency),Emergency PAN-OS patch. NOTE: Post-patch vulnerability rescan was not performed within 48 hours per policy Section 6.2. Scan occurred at next weekly cycle (Oct 12).
CHG-2025-1204,2025-10-17,Emergency,Emergency,vpn-cluster-02,Ivanti Connect Secure 22.7R2.5,Lab validated Oct 16,VPN connectivity verified,2025-10-19,Yes — CVE-2025-0282 remediated,No,Network Engineering,CISO (emergency),Emergency Ivanti patch
CHG-2025-1205,2025-10-24,Emergency,Emergency,fw-edge-05,FortiOS 7.4.7,Lab validated Oct 23,Firewall functional — HA failover tested,2025-10-26,Yes — CVE-2025-24472 remediated,No,Network Engineering,CISO (emergency),Emergency FortiOS patch
CHG-2025-1206,2025-10-25,Emergency,Emergency,dc-prod-03,KB5044289 (CLFS zero-day),Staging validated Oct 24,DC replication healthy,2025-10-27,Yes — CVE-2025-29824 remediated,No,IT Operations,CISO (emergency),Zero-day emergency patch
CHG-2025-1207,2025-10-02,Emergency,Emergency,pam-ha-02,BeyondTrust PRA 24.3.2,Lab validated Oct 1,PAM sessions functional,Not performed,,No,Security Operations,CISO (emergency),BeyondTrust emergency upgrade. Post-patch rescan not performed — ticket VULN-10007 not updated.
CHG-2025-1208,2025-10-05,Emergency,Emergency,fw-branch-08,FortiOS 7.4.7,Lab validated Oct 4,Firewall healthy,Not performed,,No,Network Engineering,CISO (emergency),FortiOS upgrade. Post-patch rescan not performed — ticket VULN-10010 not updated.
CHG-2025-1209,2025-11-01,02:00-06:00 UTC,Standard,"corp-dc-08 corp-dc-07 file-srv-07",KB5044290 KB5044292,Staging validated Oct 31,"DC replication healthy, file shares accessible",2025-11-03,Yes — verified,No,IT Operations,Change Advisory Board,November maintenance — DCs and file servers
CHG-2025-1210,2025-11-04,Emergency,Emergency,jump-srv-06,KB5044295 (RDS patch),Lab validated Nov 3,RDP connectivity verified,Not performed,,No,Security Operations,CISO (emergency),Emergency RDS patch. Post-patch rescan not performed — ticket VULN-10009 not updated.
