policy_id,policy_name,tier,owner,review_cycle,scheduled_review_date,actual_review_date,reviewed_by,approved_by,status,version_before,version_after,changes_made,days_late,notes
POL-ISEC-001,Information Security Policy,Tier 1,CISO,Annual,2025-01-15,2025-01-20,Richard Tanaka,ISGC (Q1 Meeting),Completed,3.0,3.1,"Updated incident response SLAs; Added cloud security section",5,"Minor delay. Reviewed and approved at Q1 2025 ISGC meeting."
POL-ACC-003,Access Control Standard,Tier 2,Security Engineering,Annual,2025-02-15,2025-02-18,Daniel Kwon,Richard Tanaka,Completed,2.2,2.3,"Added FIDO2/passkey requirements; Updated privileged access procedures",3,On schedule.
POL-ENC-002,Encryption Standard,Tier 2,Security Engineering,Annual,2025-03-01,2025-03-05,Daniel Kwon,Richard Tanaka,Completed,2.1,2.2,"Updated cipher suite requirements; Added post-quantum readiness section",4,On schedule.
POL-WB-001,Whistleblower and Ethics Reporting Policy,Tier 1,General Counsel,Annual,2025-03-01,,,Overdue,1.4,,"",422,"Review was due March 2025. No review conducted. Policy still at v1.4 from March 2024. GC office cited competing priorities (merger due diligence). Hotline phone number and web URL not verified for 2025."
POL-INC-002,Incident Response Plan,Tier 2,Security Operations,Annual,2025-04-01,2025-04-12,Alex Rivera,Richard Tanaka,Completed,1.8,1.9,"Updated escalation matrix; Added ransomware playbook",11,Slight delay due to incident response drill.
POL-VRM-002,Vendor Risk Management Standard,Tier 2,GRC,Annual,2025-05-01,2025-05-08,Priya Dasgupta,Richard Tanaka,Completed,1.5,1.6,"Added SaaS vendor assessment criteria; Updated risk scoring matrix",7,On schedule.
POL-CHG-001,Change Management Standard,Tier 2,DevOps,Annual,2025-06-01,2025-06-02,Chris Tanaka,Richard Tanaka,Completed,2.0,2.1,"Added emergency change approval workflow",1,On schedule.
POL-BCP-002,Business Continuity Plan,Tier 2,IT Operations,Annual,2025-07-01,2025-07-15,Mark Sullivan,Richard Tanaka,Completed,1.3,1.4,"Updated RTO/RPO targets; Added cloud failover procedures",14,Delayed due to DR test schedule.
POL-AUP-002,Acceptable Use Policy,Tier 2,HR / Security,Annual,2025-01-10,2025-01-12,Sarah Mitchell,Richard Tanaka,Completed,2.5,2.6,"Updated BYOD provisions; Added AI tool usage guidelines",2,On schedule.
POL-COC-003,Code of Conduct,Tier 1,HR,Annual,2025-01-05,2025-01-08,Sarah Mitchell,Board,Completed,3.1,3.2,"Updated anti-bribery section; Added ESG commitment language",3,Reviewed and approved by Board in January.
POL-PHY-002,Physical Security Standard,Tier 2,Facilities,Annual,2025-08-01,2025-08-10,Tom Becker,Richard Tanaka,Completed,1.2,1.3,"Updated visitor management procedures; Added new office access controls",9,On schedule.
POL-LOG-001,Logging and Monitoring Standard,Tier 2,Security Operations,Annual,2025-09-01,2025-09-05,Alex Rivera,Richard Tanaka,Completed,1.6,1.7,"Updated log retention from 12 to 13 months; Added cloud audit log requirements",4,On schedule.
