ticket_id,title,category,developer,risk_classification,approval_method,approvers,deployer,submitted_date,approved_date,deployed_date,testing_evidence,test_pass_rate,post_impl_verified,status,notes
CHG-801,API response caching layer,Normal,derek.kim,Medium,CAB meeting,"Sanjay Reddy; Patricia Okafor; Michael Chen; Anya Volkov",sre-team,2025-10-03,2025-10-07 (CAB meeting),2025-10-08 11:00 ET,test-results-801.pdf,98.4%,Yes,Completed,
CHG-802,Add field-level encryption for PII columns,Normal,elena.park,High,CAB meeting,"Sanjay Reddy; Patricia Okafor; Michael Chen; Anya Volkov",sre-team,2025-10-10,2025-10-14 (CAB meeting),2025-10-15 10:30 ET,test-results-802.pdf + security-review-802.pdf,99.1%,Yes,Completed,Security review completed Oct 13
CHG-803,Upgrade Elasticsearch to 8.11,Normal,raj.kumar,Medium,CAB meeting,"Sanjay Reddy; Patricia Okafor; Anya Volkov",sre-team,2025-10-20,2025-10-21 (CAB meeting),2025-10-22 14:00 ET,test-results-803.pdf,97.8%,Yes,Completed,
CHG-804,Fix race condition in job scheduler,Normal,derek.kim,Low,CAB meeting,"Sanjay Reddy; Patricia Okafor; Michael Chen",sre-team,2025-10-27,2025-10-28 (CAB meeting),2025-10-29 10:00 ET,test-results-804.pdf,99.3%,Yes,Completed,
CHG-805,Implement customer SSO (SAML 2.0),Normal,elena.park,High,CAB meeting,"Sanjay Reddy; Patricia Okafor; Michael Chen; Anya Volkov",sre-team,2025-11-03,2025-11-04 (CAB meeting),2025-11-05 11:00 ET,test-results-805.pdf + security-review-805.pdf,98.7%,Yes,Completed,
CHG-806,Database connection pool tuning,Normal,raj.kumar,Medium,Async email,"Sanjay Reddy (email); Patricia Okafor (email); Michael Chen (email); Anya Volkov (email)",sre-team,2025-11-10,2025-11-12 (email thread),2025-11-13 10:00 ET,test-results-806.pdf,98.2%,Yes,Completed,CAB meeting cancelled Nov 11 (Veterans Day). Sanjay initiated email approval thread Nov 11. All 4 members responded with approval by Nov 12 12:30 PM ET.
CHG-807,Patch OpenSSH CVE-2025-38714,Emergency,sre-team,Critical,VP Eng verbal,"Sanjay Reddy (verbal)",sre-team,2025-11-17 09:00,2025-11-17 09:05,2025-11-17 10:30 ET,Staging validated,100%,Yes,Completed,Retro CAB: Nov 18 (1 business day)
CHG-808,Add webhook delivery retry with exponential backoff,Normal,derek.kim,Medium,Async email,"Sanjay Reddy (email); Patricia Okafor (email); Michael Chen (email)",sre-team,2025-11-24,2025-11-26 (email thread),2025-11-27 11:00 ET,test-results-808.pdf,97.9%,Yes,Completed,CAB meeting Nov 25 cancelled (Thanksgiving week). Sanjay initiated email thread Nov 25. 3 of 4 members approved by Nov 26.
CHG-809,Migrate session storage to Redis Cluster,Normal,elena.park,High,CAB meeting,"Sanjay Reddy; Patricia Okafor; Michael Chen; Anya Volkov",sre-team,2025-12-01,2025-12-02 (CAB meeting),2025-12-03 10:30 ET,test-results-809.pdf + security-review-809.pdf,99.0%,Yes,Completed,
CHG-810,Add rate limiting to public GraphQL endpoint,Normal,raj.kumar,High,Async email,"Sanjay Reddy (email); Patricia Okafor (email); Michael Chen (email)",sre-team,2025-12-08,2025-12-11 (email thread),2025-12-12 14:00 ET,test-results-810.pdf + security-review-810.pdf,98.5%,Yes,Completed,"CAB meeting Dec 9 cancelled due to company all-hands. Sanjay initiated email thread Dec 9. 3 of 4 approved by Dec 11. Anya Volkov (QA Director) did not respond — on PTO."
CHG-811,Year-end security patches (batch),Standard,sre-team,Low,N/A (standard),,sre-team,2025-12-15,N/A,2025-12-15 14:00 ET,CI tests passed,100%,Yes,Completed,Per standard change catalog
