risk_id,risk_category,risk_description,likelihood,impact,risk_rating,risk_classification,treatment_strategy,treatment_plan,risk_owner,last_review_date,next_review_date,status,notes
CD-RISK-001,Information Security,Unauthorized production database access,3,5,15,High,Mitigate,"MFA + CyberArk PAM + quarterly access reviews",Rebecca Liu (VP Eng),2025-12-10,2026-03-10,Active,Controls effective. Zero incidents Q4.
CD-RISK-002,Information Security,Data exfiltration via insider threat,2,5,10,High,Mitigate,"Symantec DLP + Exabeam UBA + USB restrictions",Priya Sharma (CISO),2025-11-20,2026-02-20,Active,UBA tuned. Within appetite.
CD-RISK-003,Information Security,Ransomware attack,4,5,20,Critical,Mitigate,"CrowdStrike EDR + segmentation + immutable backups + Mandiant",Priya Sharma (CISO),2025-12-15,2026-01-15,Active,Tabletop Dec 10. Detection: 12 min.
CD-RISK-004,Technology,Platform outage,3,4,12,High,Mitigate,"Multi-AZ + auto-scaling + DR + 15-min RTO",Rebecca Liu (VP Eng),2025-12-01,2026-03-01,Active,DR test successful. RTO 14 min.
CD-RISK-005,Compliance,GDPR DSR non-compliance,2,4,8,Medium,Mitigate,"Automated DSR portal + data mapping + 30-day SLA",James Okafor (GC),2025-11-10,2026-05-10,Active,22 DSRs processed. All within window.
CD-RISK-006,Third-Party,Critical vendor disruption,2,5,10,High,Transfer,"Multi-vendor + SLA guarantees + cyber insurance",Rebecca Liu (VP Eng),2025-12-05,2026-03-05,Active,No disruptions Q4.
CD-RISK-007,Information Security,Cloud misconfiguration exposure,3,5,15,High,Mitigate,"Wiz CSPM + auto-remediation + IaC enforcement",Rebecca Liu (VP Eng),2025-12-08,2026-03-08,Active,6 auto-remediations Q4.
CD-RISK-008,Information Security,Phishing credential compromise,4,3,12,High,Mitigate,"KnowBe4 + phishing sims + Proofpoint + FIDO2",Priya Sharma (CISO),2025-11-28,2026-02-28,Active,Click rate 2.7%.
CD-RISK-009,Technology,API authentication bypass,2,5,10,High,Mitigate,"WAF + JWT validation + rate limiting + quarterly pentests",Rebecca Liu (VP Eng),2025-10-30,2026-01-30,Active,Q4 pentest clean.
CD-RISK-010,Technology,Supply chain compromise,3,4,12,High,Mitigate,"Snyk SCA + dependency pinning + private registry + SBOM",Rebecca Liu (VP Eng),2025-11-05,2026-02-05,Active,SBOM automated Q4.
CD-RISK-011,Compliance,SOX ITGC compliance for financial reporting,2,4,8,Medium,Mitigate,"Quarterly ITGC testing + change management controls + access reviews",James Okafor (GC),2025-10-15,2026-04-15,Active,Q4 ITGC testing completed. No exceptions.
CD-RISK-012,Operational,Key person dependency,3,3,9,Medium,Mitigate,"Cross-training + runbooks + retention packages",Priya Sharma (CISO),2025-09-20,2026-03-20,Active,Cross-training at 85%.
