subnet_id,subnet_cidr,name,environment,location,asset_count,owner,classification,registered_date,last_validated,notes
SUB-001,10.10.1.0/24,Core Infrastructure — Domain Controllers DNS DHCP,Production,On-Premises DC1,14,IT Operations,Critical,2022-01-15,2025-12-01,Active Directory domain controllers and core services
SUB-002,10.10.2.0/24,File and Print Services,Production,On-Premises DC1,22,IT Operations,High,2022-01-15,2025-12-01,Corporate file shares and print infrastructure
SUB-003,10.10.3.0/24,DMZ — Web Proxies API Gateways,Production,On-Premises DC1,8,Network Engineering,Critical,2022-01-15,2025-12-01,Internet-facing reverse proxies and API endpoints
SUB-004,10.10.4.0/24,Application Servers — Production,Production,On-Premises DC1,45,Application Engineering,Critical,2022-01-15,2025-12-01,Production application tier
SUB-005,10.10.5.0/24,Internal Tools and Utilities,Production,On-Premises DC1,18,Development,Medium,2022-01-15,2025-12-01,Internal tooling — wiki Jenkins artifacts
SUB-006,10.10.6.0/24,Build and CI/CD Infrastructure,Production,On-Premises DC1,12,DevOps,High,2022-06-01,2025-12-01,CI/CD pipelines and build agents
SUB-007,10.10.7.0/24,Database Servers — Production,Production,On-Premises DC1,16,Database Engineering,Critical,2022-01-15,2025-12-01,Production databases — PostgreSQL and Redis clusters
SUB-008,10.10.8.0/24,Corporate Workstations — Engineering,Corporate,On-Premises DC1,120,IT Operations,Medium,2022-01-15,2025-12-01,Engineering team endpoints
SUB-009,10.10.9.0/24,Corporate Workstations — Business,Corporate,On-Premises DC1,85,IT Operations,Medium,2022-01-15,2025-12-01,Business team endpoints — finance HR legal marketing
SUB-010,10.10.10.0/24,VoIP and Telephony,Corporate,On-Premises DC1,35,IT Operations,Low,2022-03-01,2025-12-01,Cisco VoIP phones and call manager
SUB-011,10.10.11.0/24,Staging Environment,Non-Production,On-Premises DC1,30,Application Engineering,Medium,2022-01-15,2025-12-01,Pre-production staging
SUB-012,10.10.12.0/24,QA Environment,Non-Production,On-Premises DC1,25,QA Engineering,Low,2022-01-15,2025-12-01,QA and automated testing
SUB-013,10.20.0.0/24,AWS Production VPC — us-east-1a,Production,AWS us-east-1,180,Platform Engineering,Critical,2023-03-15,2025-12-01,Primary production workloads
SUB-014,10.20.1.0/24,AWS Production VPC — us-east-1b,Production,AWS us-east-1,160,Platform Engineering,Critical,2023-03-15,2025-12-01,Secondary AZ for production
SUB-015,10.20.2.0/24,AWS Production VPC — us-west-2a,Production,AWS us-west-2,95,Platform Engineering,Critical,2023-06-01,2025-12-01,DR region production workloads
SUB-016,10.20.3.0/24,AWS Staging VPC,Non-Production,AWS us-east-1,40,Platform Engineering,Medium,2023-03-15,2025-12-01,Cloud staging environment
SUB-017,10.20.4.0/24,AWS Management VPC,Production,AWS us-east-1,12,Platform Engineering,High,2023-03-15,2025-12-01,Bastion hosts and management tools
SUB-018,10.20.5.0/24,AWS Shared Services VPC,Production,AWS us-east-1,22,Platform Engineering,High,2023-03-15,2025-12-01,Shared services — monitoring logging CI/CD
SUB-019,10.10.20.0/24,IoT and Building Management,Production,On-Premises DC1,28,Facilities Engineering,Medium,2023-09-01,2025-12-01,Building automation HVAC access control badge readers
SUB-020,10.10.21.0/24,Lab and Research Network,Non-Production,On-Premises DC2,15,R&D Engineering,Medium,2024-02-01,2025-12-01,Research lab — separate AD domain
SUB-021,10.20.6.0/24,AWS Production VPC — eu-west-1a,Production,AWS eu-west-1,68,Platform Engineering,Critical,2025-04-01,2025-12-01,EU production workloads — GDPR customer data
SUB-022,10.20.7.0/24,AWS Production VPC — eu-west-1b,Production,AWS eu-west-1,42,Platform Engineering,Critical,2025-04-01,2025-12-01,EU secondary AZ — GDPR customer data
