key_id,key_name,key_type,data_classification,rotation_frequency,last_rotation_date,next_due_date,rotation_completed_date,days_late,performed_by,status,owner,notes
KMS-PROD-001,vrs-prod-core-cmk,AWS KMS CMK,Restricted,Annual,2024-12-01,2025-12-01,2025-12-01,0,AWS Automatic,On-Time,Platform Team,Automatic annual rotation
KMS-PROD-002,vrs-prod-analytics-cmk,AWS KMS CMK,Confidential,Annual,2025-03-15,2026-03-15,N/A,N/A,AWS Automatic,Not Yet Due,Analytics Team,Next rotation March 2026
KMS-PROD-003,vrs-prod-billing-cmk,AWS KMS CMK,Restricted,Annual,2025-01-10,2026-01-10,N/A,N/A,AWS Automatic,Not Yet Due,Billing Team,Next rotation January 2026
KMS-PROD-004,vrs-prod-backup-cmk,AWS KMS CMK,Restricted,Annual,2025-06-01,2026-06-01,N/A,N/A,AWS Automatic,Not Yet Due,DBA Team,Next rotation June 2026
APP-PROD-001,user-pii-encryption-key,Application Key,Restricted,12 months,2024-11-15,2025-11-15,2025-11-18,3,Michael Torres,On-Time,Platform Team,Completed 3 days after due date. Within 14-day grace period. Re-encryption batch completed November 22.
APP-PROD-002,billing-token-key,Application Key,Restricted,12 months,2025-02-01,2026-02-01,N/A,N/A,N/A,Not Yet Due,Billing Team,Next rotation February 2026
APP-PROD-003,webhook-payload-key,Application Key,Confidential,12 months,2024-09-01,2025-09-01,2025-09-15,14,Michael Torres,Within Grace,Integrations Team,Completed 14 days late. At the boundary of the 14-day grace period. Re-encryption completed September 20.
APP-PROD-004,session-encryption-key,Application Key,Internal,12 months,2025-04-01,2026-04-01,N/A,N/A,N/A,Not Yet Due,Platform Team,Next rotation April 2026
APP-PROD-005,partner-export-key,Application Key,Confidential,12 months,2025-07-01,2026-07-01,N/A,N/A,N/A,Not Yet Due,Integrations Team,Next rotation July 2026
APP-PROD-006,notification-encryption-key,Application Key,Confidential,12 months,2024-10-01,2025-10-01,2025-10-16,15,Michael Torres,Late,Platform Team,Completed 15 days after due date. Exceeds 14-day grace period by 1 day. Delay caused by re-encryption batch job failure requiring restart. CISO notified October 10 per policy. Re-encryption completed October 20.
APP-PROD-007,cache-encryption-key,Application Key,Internal,12 months,2025-08-15,2026-08-15,N/A,N/A,N/A,Not Yet Due,Platform Team,Next rotation August 2026
APP-PROD-008,ml-model-signing-key,Application Key,Confidential,12 months,2025-05-01,2026-05-01,N/A,N/A,N/A,Not Yet Due,ML Team,Next rotation May 2026
