system,month,uptime_pct,downtime_minutes,sla_target,sla_met,planned_downtime_min,unplanned_downtime_min,incidents,notes
web-srv-01,October,99.98%,8,99.9%,Yes,8,0,0,Planned reboot during MW-PROD
web-srv-02,October,99.98%,8,99.9%,Yes,8,0,0,Planned reboot during MW-PROD
app-srv-01,October,99.97%,12,99.9%,Yes,12,0,0,Planned maintenance
app-srv-02,October,99.97%,12,99.9%,Yes,12,0,0,Planned maintenance
db-primary-01,October,99.99%,5,99.95%,Yes,5,0,0,Brief restart for patching
core-switch-01,October,100.00%,0,99.99%,Yes,0,0,0,No downtime
ups-dc-01,October,100.00%,0,99.999%,Yes,0,0,0,UPS maintenance during load — no outage
gen-dc-01,October,100.00%,0,99.9%,Yes,0,0,0,Generator test during maintenance — no impact
hvac-dc-01,October,100.00%,0,99.9%,Yes,0,0,0,Filter change — no downtime
web-srv-01,November,99.97%,12,99.9%,Yes,12,0,0,Planned maintenance
web-srv-02,November,99.97%,12,99.9%,Yes,12,0,0,Planned maintenance
app-srv-01,November,99.96%,15,99.9%,Yes,15,0,0,Extended patch window
app-srv-02,November,99.96%,15,99.9%,Yes,15,0,0,Extended patch window
db-primary-01,November,99.99%,5,99.95%,Yes,5,0,0,Brief restart
core-switch-01,November,99.34%,285,99.99%,No,0,285,1,"INC-2025-M-040: Complete hardware failure at 08:42 UTC Nov 13. Replaced by 14:30 UTC. 285 minutes unplanned downtime."
ups-dc-01,November,100.00%,0,99.999%,Yes,0,0,0,No downtime
gen-dc-01,November,100.00%,0,99.9%,Yes,0,0,0,No issues
hvac-dc-01,November,100.00%,0,99.9%,Yes,0,0,0,Operating normally
web-srv-01,December,99.98%,8,99.9%,Yes,8,0,0,Planned maintenance
web-srv-02,December,99.98%,8,99.9%,Yes,8,0,0,Planned maintenance
app-srv-01,December,99.97%,12,99.9%,Yes,12,0,0,Planned maintenance
app-srv-02,December,99.97%,12,99.9%,Yes,12,0,0,Planned maintenance
db-primary-01,December,99.99%,5,99.95%,Yes,5,0,0,Brief restart
core-switch-01,December,100.00%,0,99.99%,Yes,0,0,0,New switch — no issues
ups-dc-01,December,100.00%,0,99.999%,Yes,0,0,0,No downtime
gen-dc-01,December,100.00%,0,99.9%,Yes,0,0,0,"Generator operational. Weekly self-test passes. Full quarterly maintenance deferred to January."
hvac-dc-01,December,100.00%,0,99.9%,Yes,0,0,0,Operating normally
