plugin_id,cve,severity,cvss_score,name,host,ip_address,port,protocol,first_detected,last_observed,status,asset_owner,remediation_notes
97623,CVE-2025-21391,Medium,5.5,Windows Installer Elevation of Privilege,web-proxy-01,10.10.2.15,445,tcp,2025-10-12,2025-12-28,Open,Platform Engineering,Patch scheduled for January maintenance window
97701,CVE-2025-21418,Medium,6.2,Windows Ancillary Function Driver for WinSock Elevation of Privilege,corp-dc-02,10.10.1.5,445,tcp,2025-11-03,2025-12-28,Open,IT Operations,Pending domain controller maintenance window
97542,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,app-server-03,10.10.4.22,8443,tcp,2025-10-18,2025-12-28,Remediated,Application Engineering,Tomcat upgraded to 9.0.98 on Dec 5
97488,CVE-2024-11053,Low,3.4,curl HSTS Bypass,build-agent-02,10.10.6.11,0,tcp,2025-09-15,2025-12-28,Open,DevOps,Low priority — internal build server only
97812,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow Remote Code Execution,esxi-host-04,10.10.0.44,443,tcp,2025-09-01,2025-12-28,Open,Infrastructure Engineering,VULN-4471 — patch requires host evacuation and maintenance window coordination with VMware support
97556,CVE-2024-53677,Medium,5.8,Apache Struts File Upload Path Traversal,legacy-portal,10.10.4.55,8080,tcp,2025-10-22,2025-12-28,Open,Application Engineering,Application being migrated to new stack — target March 2026
97634,CVE-2025-21376,Medium,6.5,Windows LDAP Remote Code Execution,corp-dc-01,10.10.1.4,636,tcp,2025-11-10,2025-12-28,Open,IT Operations,Patch tested in staging — production deployment pending
97445,CVE-2024-9143,Low,3.1,OpenSSL Low-Level API Assertion Crash,api-gateway-02,10.10.3.12,443,tcp,2025-08-20,2025-12-28,Remediated,Platform Engineering,OpenSSL upgraded to 3.4.1 on Nov 2
97589,CVE-2025-0282,Medium,5.4,Ivanti Connect Secure Stack-Based Buffer Overflow,vpn-gateway-01,10.10.0.8,443,tcp,2025-10-28,2025-12-28,Remediated,Network Engineering,Patched October 30 — emergency change
97677,CVE-2025-21298,Medium,6.8,Windows OLE Remote Code Execution,hr-workstation-14,10.10.8.34,445,tcp,2025-11-15,2025-12-28,Open,IT Operations,Included in next monthly patch cycle
97503,CVE-2024-12356,Medium,5.1,BeyondTrust PRA Command Injection,pam-server-01,10.10.1.20,443,tcp,2025-10-05,2025-12-28,Remediated,Security Operations,Upgraded to latest version on Oct 10
97721,CVE-2025-21334,Low,3.8,Windows Hyper-V NT Kernel Integration VSP Elevation of Privilege,hyperv-host-02,10.10.0.52,445,tcp,2025-11-22,2025-12-28,Open,Infrastructure Engineering,Low risk — requires local access to Hyper-V host
97466,CVE-2024-50623,Medium,6.4,Cleo File Transfer Unrestricted File Upload,sftp-gateway-01,10.10.3.30,22,tcp,2025-09-18,2025-12-28,Remediated,Integration Engineering,Upgraded Cleo Harmony on Oct 1
97598,CVE-2025-0411,Low,3.2,7-Zip Mark-of-the-Web Bypass,dev-ws-07,10.10.8.47,0,tcp,2025-11-01,2025-12-28,Open,Development,Low priority — developer workstation
97654,CVE-2025-24085,Medium,5.9,Apple macOS CoreMedia Use-After-Free,exec-macbook-03,10.10.9.12,0,tcp,2025-10-30,2025-12-28,Open,IT Operations,User deferred update — IT to schedule forced update
97738,CVE-2025-21396,Medium,4.7,Microsoft Account Elevation of Privilege,exchange-srv-01,10.10.1.15,443,tcp,2025-12-01,2025-12-28,Open,IT Operations,Exchange patch cycle — January window
97511,CVE-2024-49138,Medium,6.1,Windows CLFS Driver Elevation of Privilege,file-server-02,10.10.2.25,445,tcp,2025-10-08,2025-12-28,Remediated,IT Operations,Patched in November cycle
97689,CVE-2025-21293,Low,2.8,Active Directory Domain Services Elevation of Privilege,corp-dc-02,10.10.1.5,389,tcp,2025-11-18,2025-12-28,Open,IT Operations,Requires AD schema update — scheduled for Q1 2026
97577,CVE-2025-0108,Medium,5.6,Palo Alto PAN-OS Authentication Bypass,fw-external-01,10.10.0.2,443,tcp,2025-10-15,2025-12-28,Remediated,Network Engineering,PAN-OS upgraded to 11.1.6 on Oct 18
97425,CVE-2024-47575,Medium,6.3,FortiManager Missing Authentication for Critical Function,fortimanager-01,10.10.0.6,443,tcp,2025-09-10,2025-12-28,Remediated,Network Engineering,FortiManager upgraded on Sep 15
97765,CVE-2025-21355,Low,2.5,Microsoft Bing Remote Code Execution,corp-ws-22,10.10.8.62,0,tcp,2025-12-10,2025-12-28,Open,IT Operations,Low risk — Bing integration disabled
97533,CVE-2024-11680,Medium,5.2,ProjectSend Authentication Bypass,internal-share-01,10.10.5.18,80,tcp,2025-10-01,2025-12-28,Open,Development,Internal file sharing tool — access restricted to VPN
97648,CVE-2025-21311,Medium,4.9,Windows NTLM V1 Elevation of Privilege,print-server-01,10.10.2.30,445,tcp,2025-10-25,2025-12-28,Open,IT Operations,NTLMv1 disabled — compensating control in place
97712,CVE-2025-21309,Medium,6.6,Windows Remote Desktop Services Remote Code Execution,jump-server-01,10.10.1.35,3389,tcp,2025-11-08,2025-12-28,Remediated,Security Operations,Patched November 12 — priority due to RDP exposure
97480,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-backup-01,10.10.5.40,8080,tcp,2025-09-22,2025-12-28,Open,IT Operations,Isolated network segment — replacement scheduled Q1 2026
97567,CVE-2025-0244,Medium,4.3,Chromium Address Bar Spoofing,corp-ws-batch,10.10.8.0/24,0,tcp,2025-10-20,2025-12-28,Remediated,IT Operations,Chrome auto-updated across fleet on Oct 25
97699,CVE-2025-21295,Medium,5.7,SPNEGO Extended Negotiation Security Mechanism Remote Code Execution,app-server-01,10.10.4.10,445,tcp,2025-11-12,2025-12-28,Open,Application Engineering,Patch tested — deploying January 3
97441,CVE-2024-43451,Low,3.9,Windows NTLM Hash Disclosure Spoofing,file-server-01,10.10.2.20,445,tcp,2025-09-05,2025-12-28,Remediated,IT Operations,Patched in October cycle
97755,CVE-2025-21297,Medium,6.0,Windows Remote Desktop Services Use-After-Free,rdp-farm-01,10.10.1.40,3389,tcp,2025-12-05,2025-12-28,Open,Infrastructure Engineering,NLA enforced — patch in January window
97519,CVE-2024-55591,Medium,5.0,FortiOS Authentication Bypass via Alternate Path,fw-internal-02,10.10.0.4,443,tcp,2025-10-10,2025-12-28,Remediated,Network Engineering,FortiOS upgraded on Oct 12
97672,CVE-2025-21294,Medium,6.7,Microsoft Digest Authentication Remote Code Execution,legacy-app-srv,10.10.4.60,135,tcp,2025-11-20,2025-12-28,Open,Application Engineering,Legacy system — compensating control (network segmentation) documented
97400,CVE-2024-38812,Low,2.9,VMware vCenter Heap Overflow,vcenter-01,10.10.0.42,443,tcp,2025-08-15,2025-12-28,Remediated,Infrastructure Engineering,vCenter patched August 20
97746,CVE-2025-0065,Medium,4.5,TeamViewer Improper Privilege Management,remote-support-01,10.10.5.55,5938,tcp,2025-12-08,2025-12-28,Open,IT Operations,TeamViewer update pending vendor release
