risk_id,control_id,control_name,control_description,control_effectiveness,last_tested,notes
DS-RISK-001,CTL-001,Database Access Control,"MFA for all database access, CyberArk PAM for privileged accounts",Effective,2025-11-15,Quarterly access review completed
DS-RISK-001,CTL-002,Database Activity Monitoring,"Imperva DAM monitors all DB queries, alerts on anomalous access patterns",Effective,2025-11-15,
DS-RISK-002,CTL-003,Data Loss Prevention,"Symantec DLP on endpoints and email gateway",Effective,2025-10-20,
DS-RISK-002,CTL-004,User Behavior Analytics,"Exabeam UBA monitors for anomalous user activity",Effective,2025-10-20,
DS-RISK-003,CTL-005,Infrastructure Redundancy,"Multi-AZ deployment, auto-scaling groups, automated failover",Effective,2025-12-01,DR test completed Q4
DS-RISK-004,CTL-006,DSR Management Portal,"Automated DSR portal with 30-day SLA tracking",Effective,2025-11-10,
DS-RISK-006,CTL-007,Endpoint Detection and Response,"CrowdStrike Falcon on all endpoints",Effective,2025-12-15,
DS-RISK-006,CTL-008,Network Segmentation,"Micro-segmentation via VMware NSX",Effective,2025-12-15,
DS-RISK-006,CTL-009,Immutable Backups,"AWS S3 Object Lock for backup immutability",Effective,2025-12-15,
DS-RISK-008,CTL-010,Software Composition Analysis,"Snyk SCA integrated in CI/CD pipeline",Effective,2025-11-05,
DS-RISK-008,CTL-011,Dependency Pinning,"All dependencies version-pinned in lock files",Effective,2025-11-05,
DS-RISK-010,CTL-012,Cloud Security Posture Management,"Wiz CSPM with automated remediation",Effective,2025-12-10,
DS-RISK-011,CTL-013,API Security Gateway,"Kong API gateway with JWT validation and rate limiting",Effective,2025-10-30,
DS-RISK-012,CTL-014,Security Awareness Training,"KnowBe4 monthly phishing simulations, annual training",Effective,2025-11-28,
DS-RISK-012,CTL-015,Email Security Gateway,"Proofpoint email filtering with advanced threat protection",Effective,2025-11-28,
DS-RISK-013,CTL-016,Data Transfer Controls,"Standard Contractual Clauses, encryption in transit, data residency controls",Effective,2025-12-20,
DS-RISK-014,CTL-017,Vendor Risk Management,"Annual vendor assessments, BitSight continuous monitoring, contractual DPAs",Effective,2025-11-01,
DS-RISK-015,CTL-018,Web Application Firewall,"Cloudflare WAF with virtual patching for known CVEs",Effective,2025-12-02,
