jira_ticket,cve,severity,cvss_score,title,affected_asset,first_detected,sla_deadline,remediated_date,sla_status,days_to_remediate,days_past_sla,owner,notes
VULN-6001,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow RCE,gce-host-12,2025-09-05,2025-09-19,2025-09-18,Met,13,0,Infrastructure Engineering,Patched within SLA — host evacuated during maintenance
VULN-6002,CVE-2025-21298,Medium,6.8,Windows OLE RCE,corp-ws-batch,2025-10-02,2025-12-31,,Open — Within SLA,88,0,IT Operations,Scheduled for December patch cycle
VULN-6003,CVE-2025-0282,Critical,5.4,Ivanti Connect Secure Buffer Overflow,vpn-gw-01,2025-10-10,2025-10-24,2025-10-12,Met,2,0,Network Engineering,Emergency patch — 2-day turnaround
VULN-6004,CVE-2025-21376,High,7.5,Windows LDAP RCE,corp-dc-04,2025-10-18,2025-11-17,2025-11-12,Met,25,0,IT Operations,November patch cycle
VULN-6005,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,web-app-03,2025-09-15,2025-12-14,2025-12-10,Met,86,0,Application Engineering,Tomcat upgraded in December maintenance
VULN-6006,CVE-2025-24085,Medium,5.9,macOS CoreMedia Use-After-Free,exec-mbp-07,2025-10-28,2026-01-26,,Open — Within SLA,63,0,IT Operations,macOS update pushed — pending user restart
VULN-6007,CVE-2025-21334,Low,3.8,Hyper-V NT Kernel VSP EoP,hyperv-node-05,2025-11-01,,,,Best Effort,,Infrastructure Engineering,Low priority — local access required
VULN-6008,CVE-2025-21309,High,7.6,Windows RDS RCE,jump-srv-02,2025-10-25,2025-11-24,2025-10-28,Met,3,0,Security Operations,Emergency patch — RDP exposure
VULN-6009,CVE-2024-12356,High,7.2,BeyondTrust PRA Command Injection,pam-node-01,2025-09-20,2025-10-20,2025-09-25,Met,5,0,Security Operations,Priority upgrade
VULN-6010,CVE-2025-0108,High,7.1,PAN-OS Authentication Bypass,fw-edge-02,2025-10-08,2025-11-07,2025-10-10,Met,2,0,Network Engineering,Emergency patch — firewall
VULN-6011,CVE-2024-53677,Medium,5.8,Apache Struts Path Traversal,legacy-portal-01,2025-09-22,2025-12-21,2025-12-18,Met,87,0,Application Engineering,Struts upgraded in December
VULN-6012,CVE-2025-21396,Medium,4.7,Microsoft Account EoP,exchange-01,2025-11-15,2026-02-13,,Open — Within SLA,45,0,IT Operations,Exchange CU planned for January
VULN-6013,CVE-2025-21295,Medium,5.7,SPNEGO NEGOEX RCE,app-srv-04,2025-11-02,2026-01-31,,Open — Within SLA,58,0,Application Engineering,Patch tested — January deployment
VULN-6014,CVE-2025-21293,Low,2.8,AD DS EoP,corp-dc-03,2025-11-08,,,,Best Effort,,IT Operations,Low risk — AD schema update Q1
VULN-6015,CVE-2025-22225,Critical,9.1,VMware ESXi Arbitrary Write,gce-host-08,2025-10-01,2025-10-15,,Risk Accepted,,,Infrastructure Engineering,RA-2025-022 — CISO approved compensating controls
VULN-6016,CVE-2024-49138,Medium,6.1,Windows CLFS Driver EoP,file-srv-04,2025-09-28,2025-12-27,2025-12-22,Met,85,0,IT Operations,December patch cycle
VULN-6017,CVE-2025-0411,Low,3.2,7-Zip MotW Bypass,dev-ws-19,2025-10-15,,,,Best Effort,,Development,Low risk — developer endpoint
VULN-6018,CVE-2024-55591,High,7.3,FortiOS Auth Bypass,fw-branch-04,2025-09-30,2025-10-30,2025-10-05,Met,5,0,Network Engineering,Emergency upgrade
VULN-6019,CVE-2025-24472,Critical,9.8,FortiOS CSF Auth Bypass,fw-dmz-01,2025-08-20,2025-09-03,2025-08-25,Met,5,0,Network Engineering,Emergency patch — internet-facing firewall
VULN-6020,CVE-2025-21311,Medium,4.9,Windows NTLM V1 EoP,print-srv-03,2025-10-20,2026-01-18,,Open — Within SLA,71,0,IT Operations,NTLMv1 disabled — patch pending
VULN-6021,CVE-2025-21294,Medium,6.7,Digest Authentication RCE,legacy-app-05,2025-11-10,2026-02-08,,Open — Within SLA,50,0,Application Engineering,Network segmentation applied
VULN-6022,CVE-2024-11680,Medium,5.2,ProjectSend Auth Bypass,internal-share-03,2025-09-08,2025-12-07,,SLA Breached,113,22,Development,Migration to Artifactory delayed — no risk acceptance filed
VULN-6023,CVE-2025-0065,Medium,4.5,TeamViewer Privilege Management,support-ws-02,2025-11-28,2026-02-26,,Open — Within SLA,32,0,IT Operations,Vendor patch pending
VULN-6024,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-dev-01,2025-08-12,,,,Best Effort,,IT Operations,Replacement scheduled Q1
VULN-6025,CVE-2025-21355,Low,2.5,Microsoft Bing RCE,corp-ws-28,2025-12-01,,,,Best Effort,,IT Operations,Bing disabled
VULN-6026,CVE-2025-21391,Medium,5.5,Windows Installer EoP,web-proxy-03,2025-10-10,2026-01-08,,Open — Within SLA,81,0,Platform Engineering,January maintenance window
VULN-6027,CVE-2025-21418,Medium,6.2,WinSock AFD Driver EoP,corp-dc-05,2025-11-05,2026-02-03,,Open — Within SLA,55,0,IT Operations,Domain controller coordination
VULN-6028,CVE-2024-50623,Medium,6.4,Cleo Unrestricted File Upload,mft-gw-02,2025-09-15,2025-12-14,2025-10-01,Met,16,0,Integration Engineering,Cleo Harmony upgraded priority
VULN-6029,CVE-2024-43451,Low,3.9,NTLM Hash Disclosure,file-srv-05,2025-09-08,,,,,Best Effort,,IT Operations,October patch cycle — remediated but not tracked
VULN-6030,CVE-2025-21294,Medium,6.7,Digest Auth RCE,legacy-app-06,2025-11-20,2026-02-18,,Open — Within SLA,40,0,Application Engineering,Network segmentation applied
