report_id,scan_date,environment_pair,total_parameters,matched,drifted,drift_percentage,drift_details,severity,status,remediated_date,notes
CDR-301,2025-10-01,staging-vs-production,482,482,0,0.0%,,None,Clean,N/A,Weekly scan — no drift detected
CDR-302,2025-10-08,staging-vs-production,482,482,0,0.0%,,None,Clean,N/A,Weekly scan — no drift detected
CDR-303,2025-10-15,staging-vs-production,482,481,1,0.2%,"LOG_LEVEL: staging=DEBUG, production=INFO",Low,Acknowledged,N/A,Expected difference — debug logging in staging only
CDR-304,2025-10-22,staging-vs-production,482,482,0,0.0%,,None,Clean,N/A,Weekly scan — no drift detected
CDR-305,2025-10-29,staging-vs-production,485,485,0,0.0%,,None,Clean,N/A,3 new parameters added for rate limiting feature (PR-5603)
CDR-306,2025-11-05,staging-vs-production,485,485,0,0.0%,,None,Clean,N/A,Weekly scan — no drift detected
CDR-307,2025-11-12,staging-vs-production,485,484,1,0.2%,"LOG_LEVEL: staging=DEBUG, production=INFO",Low,Acknowledged,N/A,Expected difference
CDR-308,2025-11-19,staging-vs-production,485,485,0,0.0%,,None,Clean,N/A,Weekly scan — no drift detected
CDR-309,2025-11-26,staging-vs-production,487,484,3,0.6%,"LOG_LEVEL: staging=DEBUG, production=INFO; ORDER_TIMEOUT_MS: staging=30000, production=15000; ORDER_RETRY_MAX: staging=3, production=5",Medium,Under Review,N/A,ORDER_TIMEOUT_MS and ORDER_RETRY_MAX differ — related to PR-5614 emergency deployment. Production values changed during emergency fix without staging update.
CDR-310,2025-12-03,staging-vs-production,487,484,3,0.6%,"LOG_LEVEL: staging=DEBUG, production=INFO; ORDER_TIMEOUT_MS: staging=30000, production=15000; ORDER_RETRY_MAX: staging=3, production=5",Medium,Under Review,N/A,Same 3 drifted parameters from previous week. Staging not updated to match production.
CDR-311,2025-12-10,staging-vs-production,487,485,2,0.4%,"LOG_LEVEL: staging=DEBUG, production=INFO; ORDER_TIMEOUT_MS: staging=30000, production=15000",Low,Under Review,N/A,ORDER_RETRY_MAX synced to production value (5). ORDER_TIMEOUT_MS still drifted.
CDR-312,2025-12-17,staging-vs-production,490,488,2,0.4%,"LOG_LEVEL: staging=DEBUG, production=INFO; ORDER_TIMEOUT_MS: staging=30000, production=15000",Low,Under Review,N/A,3 new SSL parameters added (PR-5620). ORDER_TIMEOUT_MS still drifted.
CDR-313,2025-12-24,staging-vs-production,490,488,2,0.4%,"LOG_LEVEL: staging=DEBUG, production=INFO; ORDER_TIMEOUT_MS: staging=30000, production=15000",Low,Under Review,N/A,Holiday week — no changes
CDR-314,2025-12-29,staging-vs-production,490,488,2,0.4%,"LOG_LEVEL: staging=DEBUG, production=INFO; ORDER_TIMEOUT_MS: staging=30000, production=15000",Low,Under Review,N/A,End of quarter scan. ORDER_TIMEOUT_MS drift persists from Nov 24 emergency change — 35 days without remediation.
