vendor_name,dpa_executed_date,dpa_renewal_date,dpa_status,notes
Amazon Web Services (AWS),2020-06-15,2026-06-15,Active,Standard AWS DPA
Snowflake Inc.,2022-03-20,2025-03-20,Active,Renewed March 2025
Stripe Inc.,2021-07-10,2024-07-10,Active,Renewed July 2024
Okta Inc.,2022-01-15,2025-01-15,Active,Renewed January 2025
Datadog Inc.,2022-05-25,2025-05-25,Active,Renewed May 2025
Twilio Inc.,2023-02-10,2026-02-10,Active,Covers Twilio and SendGrid
CrowdStrike Holdings,2022-08-20,2025-08-20,Active,Renewed August 2025
PagerDuty Inc.,2021-11-10,2024-11-10,Active,Renewed November 2024
Zendesk Inc.,2022-04-15,2025-04-15,Active,Renewed April 2025
Figma Inc.,2023-01-20,2026-01-20,Active,Limited scope -- internal data only
Notion Labs,2024-02-20,2027-02-20,Active,Internal data only
Lattice,2023-08-10,2026-08-10,Active,Employee data processing
ContractWorks,2024-04-10,2027-04-10,Active,Internal contracts only
