policy_id,policy_name,tier,owner,last_review_date,reviewed_by,approved_by,status,version,next_review_due,review_method,changes_summary,notes
POL-ISEC-007,Information Security Policy,Tier 1,CISO - Rachel Odom,2024-10-20,Rachel Odom,ISC (Q4 2024),Completed,3.4,Annually,"Full committee review at Q4 2024 ISC meeting. Approved unanimously.","Added COO reporting line for CISO; Updated regulatory references; Added AI governance placeholder","Last reviewed October 20, 2024. Current date is December 31, 2025. 14 months since last review. Policy says 'reviewed annually' but does not specify calendar year or rolling 12-month cycle. No review conducted in 2025."
POL-ACC-007,Access Control Standard,Tier 2,Security Engineering,2025-09-15,Ryan Torres,Rachel Odom,Completed,2.8,Annually,CISO review,"Updated PAM requirements; Added FIDO2 support","On schedule. Reviewed September 2025."
POL-ENC-007,Encryption Standard,Tier 2,Security Architecture,2025-08-20,Maya Chen,Rachel Odom,Completed,2.3,Annually,CISO review,"Updated TLS 1.3 requirement; Post-quantum readiness plan","On schedule."
POL-INC-007,Incident Response Plan,Tier 2,Security Operations,2025-07-10,Jake Williams,Rachel Odom,Completed,2.1,Annually,CISO review,"Updated escalation matrix; Added supply chain attack playbook","On schedule."
POL-VRM-007,Vendor Risk Management,Tier 2,GRC,2025-06-22,Amanda Lin,Rachel Odom,Completed,1.9,Annually,CISO review,"Added continuous monitoring requirements; Updated vendor tiering criteria","On schedule."
POL-COC-007,Code of Conduct,Tier 1,CHRO,2025-02-15,Michelle Park,Board,Completed,4.0,Annually,"Full committee review at Q1 2025 Board meeting","Added AI ethics section; Updated gift policy thresholds","On schedule."
POL-WB-007,Whistleblower Policy,Tier 1,General Counsel,2025-03-01,Daniel Foster,Board,Completed,2.5,Annually,Board approval,"Updated hotline details; Added multi-language support","On schedule."
POL-BCP-007,Business Continuity Plan,Tier 2,IT Operations,2025-11-05,Kevin Schmidt,Rachel Odom,Completed,1.7,Annually,CISO review,"Updated cloud DR procedures; Added fleet management system recovery","On schedule."
POL-CHG-007,Change Management Standard,Tier 2,DevOps,2025-05-18,Platform Lead,Rachel Odom,Completed,2.4,Annually,CISO review,"Updated CI/CD security gates; Added canary deployment requirements","On schedule."
POL-DLP-007,Data Loss Prevention Standard,Tier 2,Security Operations,2025-10-12,Jake Williams,Rachel Odom,Completed,1.5,Annually,CISO review,"Added API DLP requirements; Updated CASB configuration standards","On schedule."
POL-PHY-007,Physical Security Standard,Tier 2,Facilities,2025-04-30,Facilities Manager,Rachel Odom,Completed,1.4,Annually,CISO review,"Updated warehouse IoT security requirements","On schedule."
POL-LOG-007,Logging and Monitoring Standard,Tier 2,Security Operations,2025-08-01,Jake Williams,Rachel Odom,Completed,1.8,Annually,CISO review,"Updated log retention to 13 months; Added fleet telemetry logging","On schedule."
