key_id,key_name,key_type,service,environment,previous_rotation,current_rotation,next_due,performed_by,verified_by,rotation_method,status,notes
KMS-001,hcs-prod-customer-encryption-2024,AWS KMS CMK,Customer Data Service,Production,2024-01-15,2025-01-15,2026-01-15,AWS Automatic,Automated Config Check,Automatic,Completed,Annual auto-rotation confirmed via AWS Config
KMS-002,hcs-prod-payments-encryption-2024,AWS KMS CMK,Payments Service,Production,2024-03-01,2025-03-01,2026-03-01,AWS Automatic,Automated Config Check,Automatic,Completed,Annual auto-rotation confirmed via AWS Config
KMS-003,hcs-prod-analytics-encryption-2024,AWS KMS CMK,Analytics Platform,Production,2024-06-01,2025-06-01,2026-06-01,AWS Automatic,Automated Config Check,Automatic,Completed,Annual auto-rotation confirmed via AWS Config
KMS-004,hcs-prod-backup-encryption-2024,AWS KMS CMK,Backup Service,Production,2024-02-01,2025-02-01,2026-02-01,AWS Automatic,Automated Config Check,Automatic,Completed,Annual auto-rotation confirmed via AWS Config
KMS-005,hcs-prod-logs-encryption-2024,AWS KMS CMK,Log Pipeline,Production,2024-04-15,2025-04-15,2026-04-15,AWS Automatic,Automated Config Check,Automatic,Completed,Annual auto-rotation confirmed via AWS Config
APP-001,hcs-prod-user-pii-key,Application Key,Customer Data Service,Production,2024-06-10,2025-06-15,2026-06-15,Derek Owens,Amanda Liu,Manual - Secrets Manager,Completed,Re-encryption batch completed June 20. All 2.3M records re-encrypted. Old key disabled July 15.
APP-002,hcs-prod-payment-token-key,Application Key,Payments Service,Production,2024-09-01,2025-09-05,2026-09-05,Derek Owens,Amanda Liu,Manual - Secrets Manager,Completed,Re-encryption completed September 8. PCI DSS rotation requirement met.
APP-003,hcs-prod-partner-sync-key,Application Key,Partner Integration,Production,2024-03-15,2025-03-20,2026-03-20,Derek Owens,Amanda Liu,Manual - Secrets Manager,Completed,Partner notified. Dual-key period March 20 - April 20.
APP-004,hcs-prod-export-encryption-key,Application Key,Data Export Service,Production,2024-11-01,2025-11-01,2026-11-01,Derek Owens,Amanda Liu,Manual - Secrets Manager,Completed,Routine rotation. Re-encryption completed November 5.
APP-005,hcs-prod-session-encryption-key,Application Key,Auth Service,Production,2024-08-15,2025-08-18,2026-08-18,Derek Owens,Amanda Liu,Manual - Secrets Manager,Completed,Session key rotated. Active sessions gracefully migrated.
APP-006,hcs-prod-notification-key,Application Key,Notification Service,Production,2023-10-01,N/A,2024-10-01,N/A,N/A,Manual - Secrets Manager,OVERDUE,Key rotation overdue since October 2024. Notification service encrypts customer contact preferences including email and phone. Tagged for Q1 2026 remediation by Derek Owens.
APP-007,hcs-staging-test-key,Application Key,All Staging Services,Staging,2024-12-01,2025-12-01,2026-12-01,Derek Owens,Amanda Liu,Manual - Secrets Manager,Completed,Staging key rotated. No real data.
PGP-001,hcs-partner-acmebank-pgp,PGP Key,Partner Exchange - Acme Bank,Production,2023-07-01,2025-07-01,2027-07-01,Kevin Walsh,Amanda Liu,Manual Exchange,Completed,New PGP key pair exchanged with Acme Bank. Old key revoked.
PGP-002,hcs-partner-meridianfin-pgp,PGP Key,Partner Exchange - Meridian Financial,Production,2024-01-15,N/A,2026-01-15,N/A,N/A,Manual Exchange,Upcoming,Due January 15 2026. Partner coordination initiated December 1.
SSH-001,hcs-prod-bastion-keys,SSH Key,Bastion Host Access,Production,2025-06-01,2025-12-01,2026-06-01,Infrastructure Team,Amanda Liu,Automated - Teleport,Completed,Automated 6-month rotation via Teleport CA.
SSH-002,hcs-prod-deploy-keys,SSH Key,Deployment Pipeline,Production,2025-06-15,2025-12-15,2026-06-15,Infrastructure Team,Amanda Liu,Automated - Teleport,Completed,Deploy key rotated. GitHub deploy keys updated.
