ticket_id,title,category,developer,risk_classification,approver,deployer,submitted_date,approved_date,deployed_date,testing_evidence,test_pass_rate,post_impl_verified,status,catalog_entry,notes
CHG-901,Patient portal session timeout update,Normal,alex.rivera,Medium,Hana Otsuki (CAB),sre-team,2025-10-06,2025-10-08 (CAB),2025-10-11 02:00 UTC,test-results-901.pdf,98.2%,Yes,Completed,,
CHG-902,Add FHIR R4 resource endpoint for lab results,Normal,maria.santos,High,Hana Otsuki (CAB),sre-team,2025-10-13,2025-10-15 (CAB),2025-10-18 01:30 UTC,test-results-902.pdf + data-integrity-902.pdf,97.4%,Yes,Completed,,Security review completed. PHI data flow validated.
CHG-903,OS patches — November cycle,Standard,sre-team,Low,N/A (standard),sre-team,2025-11-01,N/A,2025-11-01 02:00 UTC,Auto-rollback enabled,N/A,Yes,Completed,SC-001,Standard per SC-001
CHG-904,Upgrade React from 18.2 to 18.3 (patch),Standard,alex.rivera,Low,N/A (standard),sre-team,2025-11-04,N/A,2025-11-04 10:00 ET,CI tests passed,100%,Yes,Completed,SC-003,Patch version update per SC-003
CHG-905,Migrate from Express.js 4.x to 5.0,Standard,alex.rivera,Low,N/A (standard),sre-team,2025-11-10,N/A,2025-11-10 14:00 ET,CI tests passed,99.1%,Yes,Completed,SC-003,"Major version upgrade. Developer classified as standard per SC-003 (dependency update). All CI tests passed."
CHG-906,Update PagerDuty escalation policy thresholds,Standard,sre-team,Low,N/A (standard),sre-team,2025-11-15,N/A,2025-11-15 11:00 ET,N/A,N/A,Yes,Completed,SC-004,Alert threshold adjustment per SC-004
CHG-907,Implement audit trail for PHI access logging,Normal,maria.santos,High,Hana Otsuki (CAB),sre-team,2025-11-17,2025-11-19 (CAB),2025-11-22 01:00 UTC,test-results-907.pdf + data-integrity-907.pdf,98.8%,Yes,Completed,,HIPAA audit trail requirement. Security review completed.
CHG-908,Fix timezone handling in appointment scheduler,Normal,alex.rivera,Medium,Hana Otsuki (CAB),sre-team,2025-11-24,2025-11-26 (CAB),2025-11-29 02:30 UTC,test-results-908.pdf,97.6%,Yes,Completed,,
CHG-909,Certificate renewal — December cycle,Standard,sre-team,Low,N/A (standard),sre-team,2025-12-01,N/A,2025-12-01 10:00 ET,Automated cert-manager,N/A,Yes,Completed,SC-002,Automated renewal per SC-002
CHG-910,Upgrade PostgreSQL from 14.9 to 15.4,Standard,alex.rivera,Low,N/A (standard),sre-team,2025-12-08,N/A,2025-12-08 14:00 ET,CI tests passed,98.4%,Yes,Completed,SC-003,"Major version upgrade (14 → 15). Developer classified as standard per SC-003. All CI tests passed. No API changes."
CHG-911,Add patient consent management workflow,Normal,maria.santos,High,Hana Otsuki (CAB),sre-team,2025-12-10,2025-12-11 (CAB),2025-12-13 01:30 UTC,test-results-911.pdf + data-integrity-911.pdf,99.0%,Yes,Completed,,PHI data flow validation completed. Security review done.
CHG-912,Update log retention from 90 to 365 days,Standard,sre-team,Low,N/A (standard),sre-team,2025-12-18,N/A,2025-12-18 11:00 ET,N/A,N/A,Yes,Completed,SC-005,Within approved range (30-365 days) per SC-005
