endpoint,hostname,port,protocol_version,cipher_suite,certificate_issuer,certificate_expiry,auto_renewal,hsts_enabled,last_scan_date,environment,owner,data_classification,notes
api.crestline.com,prod-api-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,DigiCert Global G2,2026-02-15,Yes,Yes,2025-12-28,Production,Platform Team,Confidential,Primary API gateway
app.crestline.com,prod-web-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,DigiCert Global G2,2026-02-15,Yes,Yes,2025-12-28,Production,Platform Team,Confidential,Customer portal
dashboard.crestline.com,prod-web-02,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,DigiCert Global G2,2026-02-15,Yes,Yes,2025-12-28,Production,Platform Team,Confidential,Admin dashboard
payments.crestline.com,prod-pay-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,DigiCert Global G2,2025-09-30,Yes,Yes,2025-12-28,Production,Payments Team,Restricted,Payment processing
webhooks.crestline.com,prod-hook-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,DigiCert Global G2,2026-04-10,Yes,Yes,2025-12-28,Production,Platform Team,Confidential,Webhook delivery
cdn.crestline.com,cdn-edge-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Amazon Trust Services,2026-01-15,Yes,Yes,2025-12-28,Production,DevOps,Internal,Static asset CDN
docs.crestline.com,prod-docs-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Let's Encrypt R3,2026-03-20,Yes,Yes,2025-12-28,Production,Documentation Team,Public,Public documentation site
staging-api.crestline.com,stg-api-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Let's Encrypt R3,2026-03-15,Yes,No,2025-12-28,Staging,Platform Team,Internal,Staging API
staging-app.crestline.com,stg-web-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,Let's Encrypt R3,2026-03-15,Yes,No,2025-12-28,Staging,Platform Team,Internal,Staging portal
internal-tools.crestline.net,int-tools-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Crestline Private CA,2026-01-10,No,No,2025-12-28,Internal,IT Operations,Internal,Internal tooling portal
grafana.crestline.net,int-mon-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Crestline Private CA,2026-06-01,No,No,2025-12-28,Internal,SRE Team,Internal,Monitoring dashboards
kibana.crestline.net,int-log-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Crestline Private CA,2026-06-01,No,No,2025-12-28,Internal,SRE Team,Internal,Log analytics
vault.crestline.net,int-vault-01,8200,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Crestline Private CA,2026-05-15,No,No,2025-12-28,Internal,Security Team,Restricted,HashiCorp Vault
jenkins.crestline.net,int-ci-01,8443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Crestline Private CA,2026-04-01,No,No,2025-12-28,Internal,DevOps,Internal,CI/CD server
partner-sftp.crestline.com,prod-sftp-01,22,SFTP/SSH,chacha20-poly1305@openssh.com,N/A,N/A,N/A,N/A,2025-12-28,Production,Integrations Team,Confidential,Partner file exchange
legacy-reporting.crestline.com,prod-legacy-rpt,443,TLS 1.0,TLS_RSA_WITH_AES_128_CBC_SHA,DigiCert Global G2,2026-01-30,No,No,2025-12-28,Production,Analytics Team,Confidential,Legacy reporting portal - serves quarterly financial reports to enterprise clients
mail.crestline.com,prod-mail-01,587,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,DigiCert Global G2,2026-08-20,Yes,Yes,2025-12-28,Production,IT Operations,Confidential,SMTP relay
admin-api.crestline.com,prod-admin-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,DigiCert Global G2,2026-02-15,Yes,Yes,2025-12-28,Production,Platform Team,Restricted,Internal admin API
