service_name,service_id,deployment_date,siem_integration_date,siem_status,log_types_ingested,daily_log_volume_gb,alert_rules_count,last_ingestion_check,notes
api-gateway,CAS-SVC-001,2022-01-15,2022-01-17,Integrated,"access_logs,error_logs,audit_logs",14.2,12,2025-12-31T23:59:00Z,Healthy — all log types active
auth-service,CAS-SVC-002,2022-01-15,2022-01-16,Integrated,"authentication_logs,access_logs,audit_logs",9.8,18,2025-12-31T23:59:00Z,Healthy — all log types active
customer-data-api,CAS-SVC-003,2022-03-01,2022-03-03,Integrated,"access_logs,data_access_logs,audit_logs",7.1,14,2025-12-31T23:59:00Z,Healthy — all log types active
billing-service,CAS-SVC-004,2022-06-15,2022-06-18,Integrated,"transaction_logs,access_logs,audit_logs",5.6,10,2025-12-31T23:59:00Z,Healthy — all log types active
notification-engine,CAS-SVC-005,2022-09-01,2022-09-04,Integrated,"delivery_logs,error_logs",3.2,6,2025-12-31T23:59:00Z,Healthy — all log types active
search-service,CAS-SVC-006,2023-02-01,2023-02-05,Integrated,"query_logs,access_logs",4.8,8,2025-12-31T23:59:00Z,Healthy — all log types active
report-generator,CAS-SVC-007,2023-05-15,2023-05-18,Integrated,"job_logs,access_logs,audit_logs",2.4,7,2025-12-31T23:59:00Z,Healthy — all log types active
file-storage,CAS-SVC-008,2023-08-01,2023-08-04,Integrated,"upload_logs,access_logs,audit_logs",3.9,9,2025-12-31T23:59:00Z,Healthy — all log types active
webhook-processor,CAS-SVC-009,2023-11-15,2023-11-18,Integrated,"delivery_logs,error_logs,retry_logs",2.1,6,2025-12-31T23:59:00Z,Healthy — all log types active
ml-recommendation,CAS-SVC-010,2024-03-01,2024-03-04,Integrated,"inference_logs,access_logs",4.3,8,2025-12-31T23:59:00Z,Healthy — all log types active
admin-portal,CAS-SVC-011,2024-06-01,2024-06-04,Integrated,"access_logs,admin_action_logs,audit_logs",1.8,11,2025-12-31T23:59:00Z,Healthy — all log types active
data-pipeline,CAS-SVC-012,2024-09-15,2024-09-18,Integrated,"pipeline_logs,data_access_logs,error_logs",8.6,9,2025-12-31T23:59:00Z,Healthy — all log types active
customer-identity-resolution,CAS-SVC-013,2025-10-20,Not Integrated,Pending,"N/A",N/A,0,N/A,"New service deployed October 20. SIEM integration ticket SEC-5892 created October 21. Blocked — requires custom Fluent Bit parser for service's structured JSON log format. Parser development assigned to Security Engineering (backlog item). Service handles cross-device customer identity matching and profile unification. Processes approximately 1.2M events/day. Currently logs to CloudWatch only."
config-service,CAS-SVC-014,2022-01-15,2022-01-17,Integrated,"config_change_logs,access_logs",0.5,5,2025-12-31T23:59:00Z,Healthy — all log types active
