date,hour,total_requests,gateway_requests,direct_admin_api_requests,gateway_pct,admin_api_pct,top_source_ip_admin,admin_api_source_cidr,http_method_breakdown_gateway,http_method_breakdown_admin,avg_latency_gateway_ms,avg_latency_admin_ms,waf_blocks,error_rate_gateway_pct,error_rate_admin_pct
2025-10-01,00,5842,5826,16,99.73,0.27,100.64.12.33,100.64.0.0/10,GET:62%|POST:31%|PUT:5%|DELETE:2%,GET:45%|POST:40%|PUT:15%,142,38,12,0.08,0.00
2025-10-01,06,8293,8269,24,99.71,0.29,100.64.8.17,100.64.0.0/10,GET:58%|POST:34%|PUT:6%|DELETE:2%,GET:50%|POST:35%|PUT:15%,156,41,18,0.12,0.00
2025-10-01,12,18432,18378,54,99.71,0.29,100.64.12.33,100.64.0.0/10,GET:55%|POST:36%|PUT:7%|DELETE:2%,GET:42%|POST:38%|PUT:20%,189,44,45,0.15,0.00
2025-10-01,18,14207,14168,39,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:60%|POST:32%|PUT:6%|DELETE:2%,GET:48%|POST:37%|PUT:15%,168,42,31,0.11,0.00
2025-10-02,00,5531,5516,15,99.73,0.27,100.64.12.33,100.64.0.0/10,GET:63%|POST:30%|PUT:5%|DELETE:2%,GET:44%|POST:41%|PUT:15%,139,37,10,0.07,0.00
2025-10-02,06,8107,8084,23,99.72,0.28,100.64.8.17,100.64.0.0/10,GET:57%|POST:35%|PUT:6%|DELETE:2%,GET:51%|POST:34%|PUT:15%,153,40,16,0.11,0.00
2025-10-02,12,19201,19145,56,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:54%|POST:37%|PUT:7%|DELETE:2%,GET:40%|POST:40%|PUT:20%,195,46,52,0.16,0.00
2025-10-02,18,13894,13856,38,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:61%|POST:31%|PUT:6%|DELETE:2%,GET:47%|POST:38%|PUT:15%,172,43,28,0.10,0.00
2025-10-05,00,5123,5109,14,99.73,0.27,100.64.12.33,100.64.0.0/10,GET:64%|POST:29%|PUT:5%|DELETE:2%,GET:43%|POST:42%|PUT:15%,135,36,8,0.06,0.00
2025-10-05,12,17843,17792,51,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:56%|POST:35%|PUT:7%|DELETE:2%,GET:41%|POST:39%|PUT:20%,183,43,41,0.14,0.00
