case_id,report_date,report_channel,category,severity,status,assigned_to,investigation_start,investigation_complete,days_to_close,outcome,reporter_type,anonymous,notes
ETH-2025-001,2025-01-12,Web Portal,Conflict of Interest,Medium,Closed,HR,2025-01-14,2025-02-10,29,Substantiated — employee disclosed investment; remediation plan in place,Employee,Yes,"Employee reported colleague's undisclosed financial interest in vendor. Investigation confirmed. Employee signed conflict disclosure and divested."
ETH-2025-002,2025-02-03,Phone Hotline,Policy Violation,Medium,Closed,CISO,2025-02-05,2025-02-20,17,Substantiated — password sharing confirmed; retraining completed,Employee,Yes,"Report of shared credentials in engineering team. Investigation confirmed 2 engineers sharing a test environment password. Retraining completed and unique credentials issued."
ETH-2025-003,2025-03-18,Direct Supervisor,Workplace Conduct,High,Closed,HR,2025-03-19,2025-04-15,28,Substantiated — formal warning issued,Employee,No,"Harassment complaint. Investigated by HR. Formal warning issued to offending employee. Follow-up monitoring in place."
ETH-2025-004,2025-04-22,Web Portal,Data Handling,High,Closed,CISO,2025-04-24,2025-05-12,20,Not Substantiated — proper procedures were followed,Contractor,Yes,"Report that contractor was downloading customer data to personal device. Investigation found contractor was using approved secure USB for authorized data migration. No violation."
ETH-2025-005,2025-05-30,Phone Hotline,Financial Irregularity,Critical,Closed,Internal Audit,2025-05-30,2025-07-15,46,Substantiated — expense fraud confirmed; employee terminated,Employee,Yes,"Anonymous report of expense report fraud by a sales manager. Internal Audit investigation confirmed $12,400 in fraudulent reimbursements over 8 months. Employee terminated. Funds recovery initiated."
ETH-2025-006,2025-06-14,Compliance Team,Vendor Concern,Medium,Closed,GRC,2025-06-16,2025-07-08,24,Substantiated — vendor remediation plan required,Employee,No,"Employee reported that vendor CloudSync had not implemented MFA as contractually required. GRC confirmed during vendor reassessment. CloudSync required to implement by August 2025."
ETH-2025-007,2025-08-05,Web Portal,Policy Violation,Low,Closed,HR,2025-08-07,2025-08-20,15,Not Substantiated — no violation found,Employee,Yes,"Report of unauthorized remote work from non-approved country. Investigation found employee was working from approved US location. IP geolocation was a VPN artifact."
ETH-2025-008,2025-09-12,Phone Hotline,Retaliation Concern,Critical,Open,General Counsel,2025-09-12,,,"Under investigation — GC overseeing directly",Employee,Yes,"Employee reports potential retaliation after filing ETH-2025-003. Claims passed over for promotion and excluded from key meetings. GC investigating personally. HR monitoring employment actions."
ETH-2025-009,2025-10-28,Web Portal,Data Handling,Medium,Closed,CISO,2025-10-30,2025-11-18,21,Substantiated — process gap identified and remediated,Employee,No,"Report that staging environment contained production customer data. CISO investigation confirmed. Data masking procedure updated. Staging environment purged and reloaded with synthetic data."
ETH-2025-010,2025-11-15,Direct Supervisor,Workplace Conduct,Low,Closed,HR,2025-11-17,2025-12-02,17,Not Substantiated — misunderstanding resolved,Employee,No,"Complaint about hostile work environment in IT team. Investigation found a communication style mismatch. Mediation conducted. Both parties satisfied with resolution."
