qid,cve,severity,cvss_score,title,host,ip_address,port,protocol,first_detected,last_observed,status,asset_owner,jira_ticket,remediation_notes
482101,CVE-2025-21391,Medium,5.5,Windows Installer EoP,web-tier-02,10.50.4.18,445,tcp,2025-10-10,2025-12-30,Open,Platform Engineering,VULN-7102,January patch cycle
482203,CVE-2025-21418,Medium,6.2,WinSock AFD Driver EoP,corp-dc-05,10.50.1.9,445,tcp,2025-11-02,2025-12-30,Open,IT Operations,VULN-7188,Domain controller patch coordination needed
482089,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,app-web-03,10.50.4.25,8443,tcp,2025-10-15,2025-12-30,Remediated,Application Engineering,VULN-7044,Tomcat 9.0.98 deployed Nov 20
482312,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow RCE,esxi-cluster-03,10.50.0.43,443,tcp,2025-10-20,2025-12-30,Risk Accepted,Infrastructure Engineering,VULN-7312,RA-2025-031 — CISO approved
482177,CVE-2024-53677,Medium,5.8,Apache Struts Path Traversal,legacy-portal-02,10.50.4.55,8080,tcp,2025-09-25,2025-12-30,Open,Application Engineering,VULN-7067,App retirement Q2 2026
482256,CVE-2025-21376,High,7.5,Windows LDAP RCE,corp-dc-04,10.50.1.7,636,tcp,2025-11-08,2025-12-30,Remediated,IT Operations,VULN-7145,November emergency patch
482134,CVE-2024-9143,Low,3.1,OpenSSL API Assertion Crash,api-gateway-03,10.50.3.12,443,tcp,2025-08-20,2025-12-30,Remediated,Platform Engineering,VULN-6912,OpenSSL 3.4.1 — October
482188,CVE-2025-0282,High,7.4,Ivanti Connect Secure Buffer Overflow,vpn-primary,10.50.0.10,443,tcp,2025-10-25,2025-12-30,Remediated,Network Engineering,VULN-7078,Emergency patch Oct 27
482278,CVE-2025-21298,Medium,6.8,Windows OLE RCE,finance-ws-12,10.50.8.34,445,tcp,2025-11-12,2025-12-30,Open,IT Operations,VULN-7167,January patch cycle
482155,CVE-2024-12356,High,7.2,BeyondTrust PRA Command Injection,pam-vault-01,10.50.1.22,443,tcp,2025-10-05,2025-12-30,Remediated,Security Engineering,VULN-6978,Upgraded Oct 10
482334,CVE-2025-21334,Low,3.8,Hyper-V NT Kernel VSP EoP,hyperv-prod-02,10.50.0.52,445,tcp,2025-11-20,2025-12-30,Open,Infrastructure Engineering,VULN-7201,Low risk — local access only
482111,CVE-2024-50623,Medium,6.4,Cleo Unrestricted File Upload,mft-prod-01,10.50.3.30,443,tcp,2025-09-18,2025-12-30,Remediated,Integration Engineering,VULN-6945,Cleo Harmony upgraded Oct 2
482199,CVE-2025-0411,Low,3.2,7-Zip MotW Bypass,dev-ws-22,10.50.8.50,0,tcp,2025-10-30,2025-12-30,Open,Development,VULN-7098,Low priority endpoint
482267,CVE-2025-24085,Medium,5.9,macOS CoreMedia Use-After-Free,exec-mbp-11,10.50.9.15,0,tcp,2025-10-28,2025-12-30,Open,IT Operations,VULN-7112,macOS Sequoia 15.3 pushed
482356,CVE-2025-21396,Medium,4.7,Microsoft Account EoP,exchange-prod-01,10.50.1.18,443,tcp,2025-12-01,2025-12-30,Open,IT Operations,VULN-7220,Exchange CU — January
482078,CVE-2024-49138,Medium,6.1,Windows CLFS Driver EoP,file-srv-05,10.50.2.28,445,tcp,2025-10-08,2025-12-30,Remediated,IT Operations,VULN-6989,November patch cycle
482322,CVE-2025-21293,Low,2.8,AD DS EoP,corp-dc-03,10.50.1.5,389,tcp,2025-11-15,2025-12-30,Open,IT Operations,VULN-7178,AD schema change — Q1 2026
482166,CVE-2025-0108,High,7.1,PAN-OS Authentication Bypass,fw-primary-01,10.50.0.2,443,tcp,2025-10-12,2025-12-30,Remediated,Network Engineering,VULN-7055,PAN-OS 11.1.6 — Oct 14
482055,CVE-2024-47575,High,7.5,FortiManager Missing Auth,fortimanager-01,10.50.0.8,443,tcp,2025-09-10,2025-12-30,Remediated,Network Engineering,VULN-6922,Upgraded Sep 15
482378,CVE-2025-21355,Low,2.5,Microsoft Bing RCE,corp-ws-40,10.50.8.65,0,tcp,2025-12-08,2025-12-30,Open,IT Operations,VULN-7245,Bing integration disabled
482122,CVE-2024-11680,Medium,5.2,ProjectSend Auth Bypass,dev-share-01,10.50.5.20,80,tcp,2025-10-01,2025-12-30,Open,Development,VULN-6965,Internal only — VPN required
482245,CVE-2025-21311,Medium,4.9,Windows NTLM V1 EoP,print-srv-04,10.50.2.33,445,tcp,2025-10-22,2025-12-30,Open,IT Operations,VULN-7089,NTLMv1 disabled via GPO
482289,CVE-2025-21309,High,7.6,Windows RDS RCE,jump-box-03,10.50.1.38,3389,tcp,2025-11-05,2025-12-30,Remediated,Security Engineering,VULN-7155,Emergency patch Nov 7
482044,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-backup-02,10.50.5.42,8080,tcp,2025-09-22,2025-12-30,Open,IT Operations,VULN-6956,Isolated — replacement Q1
482211,CVE-2025-0244,Medium,4.3,Chromium Address Bar Spoofing,corp-ws-fleet,10.50.8.0/24,0,tcp,2025-10-18,2025-12-30,Remediated,IT Operations,VULN-7066,Chrome auto-update Oct 22
482299,CVE-2025-21295,Medium,5.7,SPNEGO NEGOEX RCE,app-web-01,10.50.4.12,445,tcp,2025-11-10,2025-12-30,Open,Application Engineering,VULN-7156,Patch validated — January
482066,CVE-2024-43451,Low,3.9,NTLM Hash Disclosure,file-srv-03,10.50.2.22,445,tcp,2025-09-05,2025-12-30,Remediated,IT Operations,VULN-6908,October patch cycle
482367,CVE-2025-21297,Medium,6.0,Windows RDS Use-After-Free,rdp-farm-02,10.50.1.42,3389,tcp,2025-12-05,2025-12-30,Open,Infrastructure Engineering,VULN-7238,NLA enforced — January patch
482100,CVE-2024-55591,High,7.3,FortiOS Auth Bypass,fw-branch-03,10.50.0.5,443,tcp,2025-10-10,2025-12-30,Remediated,Network Engineering,VULN-7033,FortiOS upgraded Oct 12
482234,CVE-2025-21294,Medium,6.7,Digest Auth RCE,legacy-api-01,10.50.4.62,135,tcp,2025-11-18,2025-12-30,Open,Application Engineering,VULN-7190,Network segmentation applied
482389,CVE-2025-24472,Critical,9.8,FortiOS CSF Auth Bypass,fw-internal-05,10.50.0.7,443,tcp,2025-10-15,2025-12-30,Risk Accepted,Network Engineering,VULN-7300,RA-2025-033 — CISO approved with compensating controls
482145,CVE-2025-0065,Medium,4.5,TeamViewer Privilege Mgmt,remote-ws-02,10.50.5.58,5938,tcp,2025-12-06,2025-12-30,Open,IT Operations,VULN-7250,Vendor release pending
