log_id,date,equipment_id,equipment_type,location,maintenance_type,work_performed,technician,vendor,result,next_scheduled,change_ticket,notes
EML-701,2025-10-04,UPS-DC-A1,UPS System,Data Center A,Quarterly Preventive,"Battery load test 30 min at 80% — PASS. All 40 battery cells within spec (minimum 11.8V per cell, lowest reading 12.1V). Visual inspection clean. Firmware v5.1.2 current.",Thomas Berg,Schneider Electric,Pass,2026-01-04,CHG-2025-7001,Battery health 97%. All checks passed.
EML-702,2025-10-04,UPS-DC-A2,UPS System,Data Center A,Quarterly Preventive,"Battery load test 30 min at 80% — PASS. All cells within spec. Lowest reading 12.0V. Visual inspection clean. Firmware current.",Thomas Berg,Schneider Electric,Pass,2026-01-04,CHG-2025-7001,Battery health 95%.
EML-703,2025-10-04,UPS-DC-B1,UPS System,Data Center B,Quarterly Preventive,"Battery load test 30 min at 80% — PASS with ADVISORY. All cells within spec but cells B3-12 through B3-16 showing 12.2V (spec minimum 11.8V, recommended minimum 12.5V). These 5 cells are below recommended but above minimum. Estimated remaining life: 6-8 months. Replacement recommended during Q1 2026 maintenance.",Thomas Berg,Schneider Electric,Pass (Advisory),2026-01-04,CHG-2025-7001,"5 cells below recommended voltage but above minimum spec. Replacement parts ordered — delivery expected January 2026."
EML-704,2025-10-04,GEN-DC-01,Diesel Generator,Data Center A Exterior,Quarterly Preventive,"30-min load test at 75% — PASS. Engine started within 8 seconds (spec: 10 seconds max). Fuel level 88%. Oil changed. Air filter replaced. Coolant level topped off. Fuel sample taken — no contamination detected.",Mike Rivera,Internal (Facilities),Pass,2026-01-04,CHG-2025-7002,All parameters within spec.
EML-705,2025-10-04,GEN-DC-02,Diesel Generator,Data Center B Exterior,Quarterly Preventive,"30-min load test at 75% — PASS. Engine started within 7 seconds. Fuel level 82%. Oil changed. Air filter replaced. Coolant topped off. Fuel sample clean.",Mike Rivera,Internal (Facilities),Pass,2026-01-04,CHG-2025-7003,All parameters within spec.
EML-706,2025-10-04,HVAC-DC-A1,HVAC Unit,Data Center A,Monthly Preventive,"Filter replaced. Temperature 20.4C (spec: 20.0 +/- 2.0C). Humidity 44% (spec: 45% +/- 10%). Refrigerant pressure 225 PSI (spec: 200-250 PSI).",Internal Facilities,Internal,Pass,2025-11-01,CHG-2025-7004,All within spec.
EML-707,2025-10-04,HVAC-DC-B1,HVAC Unit,Data Center B,Monthly Preventive,"Filter replaced. Temperature 20.6C. Humidity 46%. Refrigerant pressure 230 PSI.",Internal Facilities,Internal,Pass,2025-11-01,CHG-2025-7004,All within spec.
EML-708,2025-11-01,HVAC-DC-A1,HVAC Unit,Data Center A,Monthly Preventive,"Filter replaced. Temperature 20.5C. Humidity 43%. Refrigerant pressure 222 PSI.",Internal Facilities,Internal,Pass,2025-12-01,CHG-2025-7020,All within spec.
EML-709,2025-11-01,HVAC-DC-B1,HVAC Unit,Data Center B,Monthly Preventive,"Filter replaced. Temperature 20.7C. Humidity 45%. Refrigerant pressure 228 PSI.",Internal Facilities,Internal,Pass,2025-12-01,CHG-2025-7020,All within spec.
EML-710,2025-12-01,HVAC-DC-A1,HVAC Unit,Data Center A,Monthly Preventive,"Filter replaced. Temperature 20.3C. Humidity 44%. Refrigerant pressure 218 PSI (Note: slight drop from 222 in November and 225 in October — trending down but within spec).",Internal Facilities,Internal,Pass,2026-01-01,CHG-2025-7040,Refrigerant pressure trending down but within 200-250 PSI spec range.
EML-711,2025-12-01,HVAC-DC-B1,HVAC Unit,Data Center B,Monthly Preventive,"Filter replaced. Temperature 20.5C. Humidity 46%. Refrigerant pressure 226 PSI.",Internal Facilities,Internal,Pass,2026-01-01,CHG-2025-7040,All within spec.
EML-712,2025-12-29,PDU-DC-A1,PDU,Data Center A Row A,OVERDUE — Quarterly Preventive,"MAINTENANCE OVERDUE BY 86 DAYS. Last quarterly maintenance: October 4, 2025. Next scheduled: January 4, 2026 (quarterly = 90 days). PDU is functioning normally — no alarms, all circuits within capacity. However, thermal imaging, load balance verification, and firmware check have not been performed since October 4. Facilities team states PDU maintenance was skipped in the December MW-EQUIP window because the window was fully consumed by generator and HVAC work. No escalation per Section 5.2 thresholds.",N/A,N/A,Pending,2026-01-04,N/A,"PDU operational. No alarms. But thermal imaging not performed — potential hot spots undetected for 86 days."
EML-713,2025-12-29,PDU-DC-B1,PDU,Data Center B Row A,OVERDUE — Quarterly Preventive,"MAINTENANCE OVERDUE BY 86 DAYS. Same situation as PDU-DC-A1. Last maintenance October 4. PDU functioning normally. Thermal imaging, load balance, and firmware check not performed. No escalation filed.",N/A,N/A,Pending,2026-01-04,N/A,"PDU operational. Same deferral as PDU-DC-A1."
EML-714,2025-12-29,GEN-DC-02,Diesel Generator,Data Center B Exterior,OVERDUE — Quarterly Preventive,"MAINTENANCE OVERDUE BY 86 DAYS. Last quarterly maintenance: October 4, 2025 (EML-705). Next scheduled: January 4, 2026. Generator passes weekly 5-minute automated self-test every Sunday. However, full quarterly maintenance (30-min load test, oil change, filter replacement, fuel sample) has not been performed. December MW-EQUIP was consumed by other work. Generator runs normally during self-test.",N/A,N/A,Pending,2026-01-04,N/A,"Generator operational per weekly self-test. Full quarterly maintenance not performed. Oil not changed in 86 days. No fuel sample taken to check for contamination."
