vendor_id,vendor_name,tier,service,data_classification,soc2_status,onboarding_date,last_business_review,dpa_signed,status
VG-V-001,Amazon Web Services (AWS),Critical,Cloud infrastructure,Customer PII + Internal,Current,2020-02-01,2025-12-12,Yes,Active
VG-V-002,Snowflake Inc.,Critical,Data warehouse,Customer PII + analytics,Current,2021-09-15,2025-12-12,Yes,Active
VG-V-003,Stripe Inc.,Critical,Payment processing,Customer PII + financial,Current,2021-04-01,2025-12-12,Yes,Active
VG-V-004,Okta Inc.,Critical,Identity management,Customer PII,Current,2022-03-10,2025-12-12,Yes,Active
VG-V-005,Databricks Inc.,Critical,Data engineering and ML platform,Customer PII + behavioral data,Qualified opinion -- see review tracker,2023-01-15,2025-12-12,Yes,Active
VG-V-006,Datadog Inc.,High,Monitoring and observability,Internal + metadata,Current,2022-05-01,2025-10-15,Yes,Active
VG-V-007,CrowdStrike Holdings,High,Endpoint detection,Endpoint telemetry,Current,2022-08-20,2025-10-15,Yes,Active
VG-V-008,PagerDuty Inc.,High,Incident alerting,Internal,Current,2021-11-01,2025-10-15,Yes,Active
VG-V-009,Zendesk Inc.,High,Customer support,Customer PII,Current,2023-04-01,2025-10-15,Yes,Active
VG-V-010,Cloudflare Inc.,High,CDN and DDoS protection,Customer request metadata,Current,2021-07-15,2025-10-15,Yes,Active
VG-V-011,Twilio Inc.,High,SMS notifications,Customer phone numbers,Current,2023-02-01,2025-10-15,Yes,Active
VG-V-012,MongoDB Atlas,High,Managed database,Internal application data,Current,2023-08-01,2025-10-15,Yes,Active
VG-V-013,Figma Inc.,Medium,Design tools,Internal only,N/A,2023-05-01,N/A,No,Active
VG-V-014,Notion Labs,Medium,Documentation,Internal only,N/A,2024-01-10,N/A,No,Active
VG-V-015,DocuSign Inc.,Low,Contract e-signatures,Internal contracts,N/A,2024-04-01,N/A,No,Active
