report_id,verification_date,camera_id,camera_location,oldest_footage_available,retention_days,required_retention_days,compliance_status,verified_by,notes
RET-001,2025-10-15,CAM-01,Suite 400 Entrance,2025-07-18,89,90,Compliant,Security Operations,Within 1 day of minimum — acceptable
RET-002,2025-10-15,CAM-02,Server Room Door,2025-07-17,90,90,Compliant,Security Operations,Exactly 90 days
RET-003,2025-10-15,CAM-03,Main Hallway,2025-07-18,89,90,Compliant,Security Operations,Within 1 day of minimum — acceptable
RET-004,2025-10-15,CAM-04,Emergency Exit,2025-07-17,90,90,Compliant,Security Operations,
RET-005,2025-10-15,CAM-05,Reception Area,2025-07-18,89,90,Compliant,Security Operations,
RET-006,2025-10-15,CAM-06,Parking Garage (Meridian reserved),2025-07-17,90,90,Compliant,Security Operations,Building camera — Meridian receives feed
RET-007,2025-11-15,CAM-01,Suite 400 Entrance,2025-08-17,90,90,Compliant,Security Operations,
RET-008,2025-11-15,CAM-02,Server Room Door,2025-08-18,89,90,Compliant,Security Operations,Within tolerance
RET-009,2025-11-15,CAM-03,Main Hallway,2025-08-17,90,90,Compliant,Security Operations,
RET-010,2025-11-15,CAM-04,Emergency Exit,2025-08-17,90,90,Compliant,Security Operations,
RET-011,2025-11-15,CAM-05,Reception Area,2025-08-18,89,90,Compliant,Security Operations,
RET-012,2025-11-15,CAM-06,Parking Garage (Meridian reserved),2025-08-17,90,90,Compliant,Security Operations,
RET-013,2025-12-15,CAM-01,Suite 400 Entrance,2025-09-17,89,90,Compliant,Security Operations,
RET-014,2025-12-15,CAM-02,Server Room Door,2025-09-16,90,90,Compliant,Security Operations,
RET-015,2025-12-15,CAM-03,Main Hallway,2025-09-17,89,90,Compliant,Security Operations,
RET-016,2025-12-15,CAM-04,Emergency Exit,2025-09-16,90,90,Compliant,Security Operations,
RET-017,2025-12-15,CAM-05,Reception Area,2025-09-17,89,90,Compliant,Security Operations,
RET-018,2025-12-15,CAM-06,Parking Garage (Meridian reserved),2025-09-16,90,90,Compliant,Security Operations,
