check_id,pipeline,check_type,scheduled_time,execution_time,status,source_count,destination_count,source_total_amount,destination_total_amount,discrepancy_amount,action_taken,reviewed_by
REC-9001,settlement-batch,reconciliation,2025-10-01T06:00:00Z,2025-10-01T06:12:33Z,Pass,45230,45230,2847291.45,2847291.45,0.00,None,automated
REC-9002,settlement-batch,reconciliation,2025-10-02T06:00:00Z,2025-10-02T06:11:45Z,Pass,44890,44890,2791834.22,2791834.22,0.00,None,automated
REC-9003,settlement-batch,reconciliation,2025-10-03T06:00:00Z,2025-10-03T06:13:01Z,Pass,46120,46120,2912445.67,2912445.67,0.00,None,automated
REC-9004,settlement-batch,reconciliation,2025-10-06T06:00:00Z,2025-10-06T06:12:18Z,Pass,43980,43980,2688901.33,2688901.33,0.00,None,automated
REC-9005,settlement-batch,reconciliation,2025-10-07T06:00:00Z,2025-10-07T06:12:55Z,Pass,45670,45670,2823456.78,2823456.78,0.00,None,automated
REC-9006,settlement-batch,reconciliation,2025-10-08T06:00:00Z,2025-10-08T06:11:30Z,Pass,44320,44320,2756123.89,2756123.89,0.00,None,automated
REC-9007,settlement-batch,reconciliation,2025-10-09T06:00:00Z,2025-10-09T06:12:42Z,Pass,45890,45890,2867345.12,2867345.12,0.00,None,automated
REC-9008,settlement-batch,reconciliation,2025-10-10T06:00:00Z,2025-10-10T06:13:15Z,Pass,46450,46450,2945678.90,2945678.90,0.00,None,automated
REC-9009,settlement-batch,reconciliation,2025-10-13T06:00:00Z,2025-10-13T06:12:08Z,Pass,44100,44100,2712890.45,2712890.45,0.00,None,automated
REC-9010,settlement-batch,reconciliation,2025-10-14T06:00:00Z,2025-10-14T06:12:50Z,Pass,45230,45230,2834567.23,2834567.23,0.00,None,automated
REC-9011,settlement-batch,reconciliation,2025-10-15T06:00:00Z,2025-10-15T06:11:55Z,Pass,44780,44780,2789012.56,2789012.56,0.00,None,automated
REC-9012,settlement-batch,reconciliation,2025-10-16T06:00:00Z,2025-10-16T06:12:35Z,Pass,45900,45900,2856789.34,2856789.34,0.00,None,automated
REC-9013,settlement-batch,reconciliation,2025-10-17T06:00:00Z,2025-10-17T06:13:22Z,Pass,46780,46780,2978901.67,2978901.67,0.00,None,automated
REC-9014,settlement-batch,reconciliation,2025-10-20T06:00:00Z,2025-10-20T06:12:15Z,Pass,44560,44560,2734567.89,2734567.89,0.00,None,automated
REC-9015,settlement-batch,reconciliation,2025-10-21T06:00:00Z,2025-10-21T06:12:48Z,Pass,45340,45340,2845678.12,2845678.12,0.00,None,automated
REC-9016,settlement-batch,reconciliation,2025-10-22T06:00:00Z,2025-10-22T06:11:40Z,Pass,44890,44890,2801234.56,2801234.56,0.00,None,automated
REC-9017,settlement-batch,reconciliation,2025-10-23T06:00:00Z,2025-10-23T06:12:30Z,Pass,45670,45670,2867890.23,2867890.23,0.00,None,automated
REC-9018,settlement-batch,reconciliation,2025-10-24T06:00:00Z,2025-10-24T06:13:05Z,Pass,46230,46230,2934567.45,2934567.45,0.00,None,automated
REC-9019,settlement-batch,reconciliation,2025-10-27T06:00:00Z,2025-10-27T06:12:20Z,Pass,44120,44120,2712345.67,2712345.67,0.00,None,automated
REC-9020,settlement-batch,reconciliation,2025-10-28T06:00:00Z,2025-10-28T06:12:52Z,Pass,45560,45560,2823456.89,2823456.89,0.00,None,automated
REC-9021,settlement-batch,reconciliation,2025-10-29T06:00:00Z,2025-10-29T06:11:38Z,Pass,44670,44670,2778901.23,2778901.23,0.00,None,automated
REC-9022,settlement-batch,reconciliation,2025-10-30T06:00:00Z,2025-10-30T06:12:45Z,Pass,45890,45890,2856789.56,2856789.56,0.00,None,automated
REC-9023,settlement-batch,reconciliation,2025-10-31T06:00:00Z,2025-10-31T06:13:10Z,Pass,46340,46340,2945678.78,2945678.78,0.00,None,automated
REC-9024,settlement-batch,reconciliation,2025-11-03T06:00:00Z,2025-11-03T06:12:25Z,Pass,44230,44230,2723456.90,2723456.90,0.00,None,automated
REC-9025,settlement-batch,reconciliation,2025-11-04T06:00:00Z,2025-11-04T06:12:58Z,Pass,45120,45120,2834567.12,2834567.12,0.00,None,automated
REC-9026,settlement-batch,reconciliation,2025-11-05T06:00:00Z,2025-11-05T06:15:42Z,Fail,45890,45890,2867345.67,2867345.67,0.00,"Batch processing deadlocked at 04:30 UTC. INC-2025-0847 opened. Emergency fix PR-7808 deployed at 05:15 UTC. Batch reprocessed successfully. Reconciliation confirmed all records processed correctly after fix.",Dave Evans
REC-9027,settlement-batch,reconciliation,2025-11-06T06:00:00Z,2025-11-06T06:12:15Z,Pass,44780,44780,2789012.34,2789012.34,0.00,None,automated
REC-9028,settlement-batch,reconciliation,2025-11-07T06:00:00Z,2025-11-07T06:12:40Z,Pass,45340,45340,2845678.56,2845678.56,0.00,None,automated
REC-9029,settlement-batch,reconciliation,2025-11-10T06:00:00Z,2025-11-10T06:12:30Z,Pass,44560,44560,2734567.78,2734567.78,0.00,None,automated
REC-9030,settlement-batch,reconciliation,2025-11-24T06:00:00Z,2025-11-24T06:12:18Z,Pass,43890,43890,2712345.23,2712345.23,0.00,None,automated
REC-9031,settlement-batch,reconciliation,2025-11-25T06:00:00Z,2025-11-25T06:12:55Z,Pass,44560,44560,2745678.90,2745678.90,0.00,None,automated
REC-9032,settlement-batch,reconciliation,2025-11-26T06:00:00Z,2025-11-26T06:12:35Z,Pass,45120,45120,2823456.12,2823456.12,0.00,None,automated
REC-9033,settlement-batch,reconciliation,2025-11-27T06:00:00Z,2025-11-27T06:12:48Z,Pass,45890,45890,2867890.45,2867890.45,0.00,None,automated
REC-9034,settlement-batch,reconciliation,2025-11-28T06:00:00Z,2025-11-28T06:18:22Z,Fail,46230,46230,2934567.89,2934564.72,3.17,"Settlement batch rounding error detected. Source total $2,934,567.89 vs destination total $2,934,564.72 — discrepancy of $3.17 across 46,230 transactions. INC-2025-0912 opened at 06:20 UTC. Root cause: HALF_UP rounding in settlement aggregation caused penny differences to compound across large batch. Emergency fix PR-7813 deployed at 03:15 UTC (fix was deployed before the reconciliation ran). Discrepancy existed in Nov 27 overnight batch but was not caught because the $3.17 discrepancy appeared only in the bank reconciliation file received Nov 28 morning.",Alice Nakamura
REC-9035,settlement-batch,reconciliation,2025-12-01T06:00:00Z,2025-12-01T06:12:10Z,Pass,44120,44120,2723456.78,2723456.78,0.00,None,automated
REC-9036,settlement-batch,reconciliation,2025-12-02T06:00:00Z,2025-12-02T06:12:42Z,Pass,45230,45230,2834567.90,2834567.90,0.00,None,automated
REC-9037,settlement-batch,reconciliation,2025-12-08T06:00:00Z,2025-12-08T06:12:25Z,Pass,44890,44890,2789012.12,2789012.12,0.00,None,automated
REC-9038,settlement-batch,reconciliation,2025-12-15T06:00:00Z,2025-12-15T06:12:55Z,Pass,45560,45560,2845678.34,2845678.34,0.00,None,automated
REC-9039,settlement-batch,reconciliation,2025-12-22T06:00:00Z,2025-12-22T06:12:30Z,Pass,42340,42340,2612345.56,2612345.56,0.00,None,automated
REC-9040,settlement-batch,reconciliation,2025-12-29T06:00:00Z,2025-12-29T06:12:48Z,Pass,43120,43120,2689012.78,2689012.78,0.00,None,automated
