change_id,title,change_type,risk_level,author,peer_reviewer,peer_review_date,staging_deployed,staging_test_result,staging_stable_hours,cab_approval,cab_approver,cab_approval_date,production_deploy_date,production_deploy_time,deployment_result,rollback,rollback_reason,rollback_time,post_deploy_validation,comments
CHG-401,User authentication flow optimization,Normal,Medium,Elena Ruiz,David Park,2025-10-06,Yes,Pass (100%),4.5,Approved,Natasha Volkov,2025-10-07,2025-10-08,11:30 ET,Success,No,,,Pass,Deployed without issues
CHG-402,Dashboard widget rendering performance fix,Normal,Low,Sam Okafor,Elena Ruiz,2025-10-09,Yes,Pass (99.2%),3.0,Not Required (Low Risk),,N/A,2025-10-10,14:00 ET,Success,No,,,Pass,Low risk — no CAB needed per policy
CHG-403,Payment processing retry logic update,Normal,High,David Park,Marcus Lin,2025-10-13,Yes,Pass (99.8%),6.0,Approved,Natasha Volkov,2025-10-14,2025-10-15,10:30 ET,Success,No,,,Pass,Extended staging validation per high-risk classification
CHG-404,Database connection pool tuning,Normal,Medium,Priya Sharma,Sam Okafor,2025-10-15,Yes,Pass (99.5%),2.5,Approved,Natasha Volkov,2025-10-21,2025-10-22,13:00 ET,Success,No,,,Pass,
CHG-405,Customer notification email template update,Normal,Low,Amy Chen,Priya Sharma,2025-10-20,Yes,Pass (100%),2.0,Not Required (Low Risk),,N/A,2025-10-22,15:30 ET,Success,No,,,Pass,Cosmetic change only
CHG-406,API rate limiting implementation,Normal,High,Marcus Lin,David Park,2025-10-22,Yes,Pass (98.7%),5.0,Approved,Natasha Volkov,2025-10-28,2025-10-29,11:00 ET,Success,Yes,P95 latency exceeded 200% threshold within 15 minutes of deployment,2025-10-29 11:42 ET,Fail — rollback initiated,Rate limiting thresholds were too aggressive. Adjusted and redeployed as CHG-411.
CHG-407,Webhook delivery reliability improvements,Normal,Medium,Elena Ruiz,Amy Chen,2025-10-27,Yes,Pass (99.1%),3.0,Approved,Natasha Volkov,2025-10-28,2025-10-30,10:00 ET,Success,No,,,Pass,
CHG-408,Search indexing optimization,Normal,Medium,Sam Okafor,Marcus Lin,2025-11-03,Yes,Pass (98.4%),2.5,Approved,Natasha Volkov,2025-11-04,2025-11-05,14:30 ET,Success,No,,,Pass,
CHG-409,Hotfix: Critical XSS vulnerability in user profile rendering,Emergency,High,David Park,Elena Ruiz,2025-11-06,No,N/A (Emergency),N/A,Retrospective,Natasha Volkov,2025-11-11,2025-11-06,22:15 ET,Success,No,,,Pass,CVE-2025-41823 — active exploitation detected. Peer review completed. Staging bypassed per emergency change process. Retrospective CAB approval obtained 2025-11-11.
CHG-410,Multi-tenant data isolation layer refactor,Normal,High,Marcus Lin,David Park,2025-11-10,Yes,Pass (99.9%),8.0,Approved,Natasha Volkov,2025-11-11,2025-11-12,10:30 ET,Success,No,,,Pass,Extended staging validation — 8 hours
CHG-411,API rate limiting v2 (adjusted thresholds),Normal,High,Marcus Lin,David Park,2025-11-12,Yes,Pass (99.6%),4.0,Approved,Natasha Volkov,2025-11-18,2025-11-19,11:00 ET,Success,No,,,Pass,Redeployment of CHG-406 with corrected thresholds
CHG-412,Billing invoice PDF generation update,Normal,Medium,Amy Chen,Sam Okafor,2025-11-17,Yes,Pass (99.3%),2.5,Approved,Natasha Volkov,2025-11-18,2025-11-19,14:00 ET,Success,No,,,Pass,
CHG-413,User session timeout configuration change,Normal,Low,Priya Sharma,Elena Ruiz,2025-11-19,Yes,Pass (100%),2.0,Not Required (Low Risk),,N/A,2025-11-20,10:30 ET,Success,No,,,Pass,
CHG-414,Real-time analytics pipeline migration to Kafka,Normal,High,Sam Okafor,Marcus Lin,2025-11-24,Yes,Pass (94.2%),3.0,Approved,Natasha Volkov,2025-11-25,2025-11-26,11:00 ET,Success,No,,,Pass,6% test failures were pre-identified flaky tests (FLAKY-028 through FLAKY-034). See automated-test-results.json for details.
CHG-415,Onboarding wizard flow redesign,Normal,Medium,Elena Ruiz,Amy Chen,2025-12-01,Yes,Pass (99.7%),2.5,Approved,Jared Kim (Engineering Manager),2025-12-02,2025-12-03,13:00 ET,Success,No,,,Pass,"CAB did not convene week of 12/01 due to holiday scheduling. Jared Kim (Engineering Manager) approved as delegate per verbal authorization from Natasha Volkov."
CHG-416,Database schema migration for audit logging,Normal,High,David Park,Priya Sharma,2025-12-03,Yes,Pass (100%),6.0,Approved,Natasha Volkov,2025-12-09,2025-12-10,10:30 ET,Success,No,,,Pass,
CHG-417,Customer data export API endpoint,Normal,Medium,Amy Chen,Elena Ruiz,2025-12-08,Yes,Pass (99.8%),3.0,Approved,Natasha Volkov,2025-12-09,2025-12-11,11:30 ET,Success,No,,,Pass,
CHG-418,Infrastructure: Kubernetes node pool scaling update,Normal,Medium,Marcus Lin,Sam Okafor,2025-12-10,Yes,Pass (99.1%),2.0,Approved,Natasha Volkov,2025-12-16,2025-12-17,14:00 ET,Success,Yes,Pods failed to reschedule after node pool resize — intermittent 503 errors detected,2025-12-17 14:38 ET,Fail — rollback initiated,"Node affinity rules conflicted with new pool configuration. Root cause identified, fix scheduled as CHG-420."
CHG-419,Accessibility improvements (WCAG 2.1 AA compliance),Normal,Low,Priya Sharma,Amy Chen,2025-12-12,Yes,Pass (100%),2.0,Not Required (Low Risk),,N/A,2025-12-16,10:00 ET,Success,No,,,Pass,Frontend-only changes
CHG-420,Infrastructure: K8s node pool fix with updated affinity rules,Normal,Medium,Marcus Lin,Sam Okafor,2025-12-16,Yes,Pass (99.4%),3.0,Approved,Natasha Volkov,2025-12-16,2025-12-18,11:00 ET,Success,No,,,Pass,Fix for CHG-418 rollback. Updated node affinity rules.
