change_id,title,requestor,approver,change_type,system,risk_level,submitted_date,approved_date,implemented_date,status,rollback_plan,post_implementation_review,notes
CHG-2025-301,Upgrade PostgreSQL 15.4 to 15.6,DBA Team,CAB,Standard,crestline_prod database,Low,2025-10-01,2025-10-05,2025-10-12,Completed,Yes - snapshot restore,Verified,Minor version upgrade. No encryption changes.
CHG-2025-315,Enable AWS GuardDuty Malware Protection,Marcus Lee,CAB,Standard,AWS Account (Production),Low,2025-10-10,2025-10-14,2025-10-20,Completed,Yes - disable feature,Verified,New security monitoring capability.
CHG-2025-328,Migrate CI/CD from Jenkins to GitHub Actions,DevOps Team,CAB,Major,Build Pipeline,Medium,2025-10-15,2025-10-22,2025-11-15,Completed,Yes - revert to Jenkins,Verified,Improved build security with ephemeral runners.
CHG-2025-340,Deploy Datadog APM tracing,SRE Team,CAB,Standard,All production services,Low,2025-11-01,2025-11-05,2025-11-10,Completed,Yes - remove agent,Verified,Application performance monitoring. No data classification impact.
CHG-2025-355,Update TLS cipher suite on partner-sync endpoints,Kevin Walsh,CAB,Standard,Partner Integration Service,Medium,2025-11-10,2025-11-15,Pending,Postponed,Yes - revert nginx config,N/A,Postponed to Q1 2026 due to partner compatibility testing requirements. Currently using TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256.
CHG-2025-362,Rotate production SSH keys (6-month cycle),Infrastructure Team,CAB,Standard,Bastion hosts and deploy targets,Low,2025-11-20,2025-11-22,2025-12-01,Completed,Yes - Teleport CA rollback,Verified,Routine SSH key rotation per SOP-KM-001.
CHG-2025-378,Deploy updated DLP rules for Salesforce integration,Security Engineering,CAB,Standard,Netskope CASB,Low,2025-12-01,2025-12-05,2025-12-10,Completed,Yes - revert rule set,Verified,Added DLP scanning for Salesforce data exports.
CHG-2025-385,Increase RDS storage for analytics database,DBA Team,CAB,Standard,hcs-prod-analytics RDS,Low,2025-12-05,2025-12-08,2025-12-12,Completed,N/A - non-destructive,Verified,Storage scaled from 500GB to 1TB. No encryption changes.
CHG-2025-392,Update CrowdStrike Falcon sensor to v7.14,Security Engineering,CAB,Standard,All endpoints,Low,2025-12-10,2025-12-12,2025-12-18,Completed,Yes - rollback to v7.12,Verified,Endpoint protection agent update.
CHG-2025-401,Renew Acme Bank PGP key pair,Kevin Walsh,CAB,Standard,Partner Exchange - Acme Bank,Low,2025-12-15,2025-12-16,2025-12-20,Completed,Yes - revert to old key,Verified,Routine PGP key renewal per SOP-KM-001.
