risk_id,risk_category,risk_description,likelihood,impact,risk_rating,risk_classification,treatment_strategy,treatment_plan,risk_owner,last_review_date,next_review_date,status,notes
RISK-001,Information Security,Unauthorized access to production databases via compromised credentials,3,5,15,High,Mitigate,"Implemented MFA for all database access, privileged access management via CyberArk, quarterly access reviews",Thomas Wright (VP Engineering),2025-11-15,2026-02-15,Active,Treatment plan on track. Zero unauthorized access incidents in Q4.
RISK-002,Information Security,Data exfiltration through insider threat,2,5,10,High,Mitigate,"DLP solution deployed (Symantec), USB device restrictions, email content filtering, user behavior analytics (Exabeam)",Elena Vasquez (CISO),2025-10-20,2026-01-20,Active,UBA alerting tuned in Q3. Two false positives in Q4 investigated and cleared.
RISK-003,Technology,Production system outage due to infrastructure failure,3,4,12,High,Mitigate,"Multi-AZ deployment, auto-scaling, automated failover, DR site in us-west-2 with quarterly DR tests",Thomas Wright (VP Engineering),2025-12-01,2026-03-01,Active,Q4 DR test completed successfully. RTO achieved in 38 minutes.
RISK-004,Regulatory,Non-compliance with GDPR data subject rights requirements,2,4,8,Medium,Mitigate,"Automated DSR portal deployed, data mapping completed, 30-day response SLA monitored, DPO appointed (Patricia Holloway)",Patricia Holloway (General Counsel),2025-11-10,2026-02-10,Active,14 DSRs processed in Q4. All within 30-day window.
RISK-005,Third-Party,Critical vendor service disruption (cloud hosting provider),2,5,10,High,Transfer,"AWS Enterprise Support with dedicated TAM, Business Associate Agreement, cyber insurance policy covers cloud outage losses up to $5M",Robert Tanaka (CFO),2025-12-05,2026-03-05,Active,AWS SLA credit of $4200 claimed for Direct Connect outage in Nov.
RISK-006,Information Security,Ransomware attack on corporate network,4,5,20,Critical,Mitigate,"EDR (CrowdStrike Falcon) on all endpoints, network segmentation, immutable backups, incident response retainer with Mandiant, quarterly tabletop exercises",Elena Vasquez (CISO),2025-12-15,2026-03-15,Active,Tabletop exercise completed Dec 10. Response time improved to 22 minutes from 35 minutes in Q3.
RISK-007,Operational,Loss of key personnel in security team,3,3,9,Medium,Mitigate,"Cross-training program, documented runbooks, knowledge management system, competitive retention packages",Elena Vasquez (CISO),2025-11-20,2026-02-20,Active,Two new security analysts onboarded in Q4. Cross-training completion at 75%.
RISK-008,Technology,Software supply chain compromise via malicious dependency,3,4,12,High,Mitigate,"Snyk SCA scanning in CI/CD, dependency pinning, private artifact registry (Artifactory), SBOM generation for all releases",Thomas Wright (VP Engineering),2025-04-12,2025-07-12,Active,OVERDUE: Last reviewed April 2025. Supply chain scanning operational but review not conducted per quarterly schedule.
RISK-009,Regulatory,State-level privacy law compliance gaps (CCPA/CPRA amendments),2,3,6,Medium,Mitigate,"Legal team monitoring legislative changes, privacy program updates scheduled quarterly, consent management platform (OneTrust)",Patricia Holloway (General Counsel),2025-05-08,2025-08-08,Active,OVERDUE: Last reviewed May 2025. OneTrust configuration updates pending for new CPRA amendment requirements.
RISK-010,Information Security,Cloud misconfiguration leading to data exposure,3,5,15,High,Mitigate,"CSPM tool (Wiz) deployed, automated remediation for critical misconfigurations, weekly configuration drift reports, infrastructure-as-code enforcement",Thomas Wright (VP Engineering),2025-12-10,2026-03-10,Active,Wiz identified and auto-remediated 3 S3 bucket policy deviations in Q4.
RISK-011,Technology,Database performance degradation under load,3,3,9,Medium,Mitigate,"Auto-scaling database read replicas, query performance monitoring (Datadog APM), quarterly capacity planning reviews",Thomas Wright (VP Engineering),2025-10-15,2026-01-15,Active,P95 query latency stable at 45ms. Capacity headroom at 40%.
RISK-012,Operational,Inadequate incident response capability,2,4,8,Medium,Mitigate,"24/7 SOC (hybrid: internal + Arctic Wolf MDR), IR playbooks for top 10 scenarios, Mandiant retainer, quarterly tabletop exercises",Elena Vasquez (CISO),2025-11-30,2026-02-28,Active,Mean time to detect improved to 8 minutes from 14 minutes in Q3.
RISK-013,Third-Party,Vendor data breach affecting shared customer data,3,4,12,High,Mitigate,"Vendor security assessments (annual), contractual data protection requirements, vendor risk monitoring (BitSight), data processing agreements",Rajesh Patel (CRO),2025-03-22,2025-06-22,Active,"OVERDUE: Last reviewed March 2025. Annual vendor assessments for 2025 cycle not yet completed for 4 of 12 critical vendors."
RISK-014,Regulatory,Regulatory fine for cross-border data transfer non-compliance (Schrems II),4,5,20,Critical,Accept,"After extensive legal analysis and consultation with EU counsel (Fieldfisher LLP), determined that current Standard Contractual Clauses and supplementary technical measures (encryption, pseudonymization) meet adequacy requirements. Residual risk accepted due to ongoing regulatory uncertainty. Cyber liability insurance covers regulatory fines up to $10M.",Patricia Holloway (General Counsel),2025-12-20,2026-03-20,Active,Exception EXC-2025-019 approved by CISO and Board. Quarterly review scheduled. Insurance coverage confirmed with Beazley (Policy: CL-2025-VAC-0042).
RISK-015,Technology,API gateway single point of failure,2,4,8,Medium,Mitigate,"Redundant API gateway cluster (Kong Enterprise), health check monitoring, automatic failover, rate limiting",Thomas Wright (VP Engineering),2025-10-30,2026-01-30,Active,Gateway cluster uptime 99.99% in Q4.
RISK-016,Information Security,Phishing attack leading to credential compromise,4,3,12,High,Mitigate,"Security awareness training (KnowBe4), phishing simulation monthly, email gateway filtering (Proofpoint), MFA enforcement on all applications",,2025-12-01,2026-03-01,Active,NO OWNER ASSIGNED. Q4 phishing simulation click rate: 4.2% (down from 7.1% in Q3). Training completion rate 94%.
RISK-017,Operational,Business email compromise (BEC) fraud,3,4,12,High,Mitigate,"DMARC/DKIM/SPF enforced, executive email protection (Proofpoint TAP), wire transfer verification procedures (dual approval + callback)",,2025-11-15,2026-02-15,Active,NO OWNER ASSIGNED. One BEC attempt detected and blocked in November via Proofpoint TAP.
RISK-018,Technology,Legacy application vulnerabilities in customer portal v2,3,4,12,High,Mitigate,"Web application firewall (Cloudflare WAF), quarterly penetration testing, virtual patching for known CVEs, migration to v3 platform planned for Q2 2026",Thomas Wright (VP Engineering),2025-12-08,2026-03-08,Active,Pentest completed Dec 2. Three medium findings remediated. Migration timeline confirmed for Q2 2026.
