entry_id,destination_domain,destination_ip_range,port,protocol,requesting_service,business_justification,approved_by,approval_date,last_review_date,status
EGR-001,api.stripe.com,N/A,443,HTTPS,payment-processor,Payment processing API,Elena Vasquez,2024-06-01,2025-09-15,Active
EGR-002,api.twilio.com,N/A,443,HTTPS,notification-service,SMS and voice notifications,Elena Vasquez,2024-06-01,2025-09-15,Active
EGR-003,smtp.sendgrid.net,N/A,587,SMTPS,notification-service,Email delivery,Elena Vasquez,2024-06-01,2025-09-15,Active
EGR-004,hooks.slack.com,N/A,443,HTTPS,alerting-service,Operational alerts to Slack,Elena Vasquez,2024-08-15,2025-09-15,Active
EGR-005,events.pagerduty.com,N/A,443,HTTPS,alerting-service,Incident alerting,Elena Vasquez,2024-08-15,2025-09-15,Active
EGR-006,s3.amazonaws.com,N/A,443,HTTPS,backup-service,S3 backup uploads,Elena Vasquez,2024-06-01,2025-09-15,Active
EGR-007,sqs.us-east-1.amazonaws.com,N/A,443,HTTPS,queue-processor,SQS message processing,Elena Vasquez,2024-06-01,2025-09-15,Active
EGR-008,monitoring.datadoghq.com,N/A,443,HTTPS,metrics-agent,APM and metrics export,Elena Vasquez,2024-09-01,2025-09-15,Active
EGR-009,ocsp.vault.internal,N/A,8200,HTTPS,all-services,Certificate validation,Elena Vasquez,2024-06-01,2025-09-15,Active
EGR-010,auth.okta.com,N/A,443,HTTPS,auth-service,SSO authentication,Elena Vasquez,2024-06-01,2025-09-15,Active
