timestamp,database_account,query_type,table_accessed,rows_returned,source_ip,session_duration_seconds,notes
2025-10-01T09:15:00,p.mehta,SELECT,customer_analytics,1250,10.0.5.42,45,Standard analytics query
2025-10-03T14:30:00,p.mehta,SELECT,order_history,3400,10.0.5.42,120,Historical order analysis
2025-10-07T10:00:00,k.watanabe,SELECT,customer_analytics,890,10.0.5.43,60,Customer segmentation research
2025-10-08T11:30:00,p.mehta,SELECT,user_behavior,5200,10.0.5.42,180,User journey mapping
2025-10-10T09:00:00,svc-appdev-team,SELECT,product_catalog,450,10.0.6.10,30,Feature development query
2025-10-10T14:00:00,m.webb,SELECT,product_catalog,280,10.0.6.15,25,Product integration testing
2025-10-12T16:00:00,svc-appdev-team,INSERT,feature_flags,12,10.0.6.10,15,New feature flag creation
2025-10-15T09:30:00,p.mehta,SELECT,customer_analytics,2100,10.0.5.42,90,Cohort analysis
2025-10-17T13:00:00,k.watanabe,SELECT,conversion_funnel,670,10.0.5.43,45,Conversion optimization
2025-10-20T10:00:00,svc-appdev-team,SELECT,user_preferences,1800,10.0.6.10,60,Preference engine testing
2025-10-22T11:00:00,m.webb,SELECT,feature_usage,520,10.0.6.15,40,Feature adoption metrics
2025-10-24T14:30:00,r.kim,SELECT,customer_profiles,350,10.0.7.20,30,Customer data mapping
2025-10-25T09:00:00,svc-appdev-team,SELECT,product_catalog,450,10.0.6.10,25,Product sync verification
2025-10-28T15:00:00,o.hassan,SELECT,payment_history,420,10.0.7.21,35,Payment flow analysis
2025-10-30T10:00:00,p.mehta,SELECT,customer_analytics,1800,10.0.5.42,75,Final analysis run — SOW winding down
2025-11-03T09:00:00,k.watanabe,SELECT,product_metrics,1200,10.0.5.43,50,Product performance research
2025-11-05T14:00:00,svc-appdev-team,INSERT,feature_flags,8,10.0.6.10,10,Sprint 4 feature flags
2025-11-07T11:00:00,p.mehta,SELECT,order_history,2800,10.0.5.42,100,Additional analysis requested by sponsor
2025-11-10T09:30:00,m.webb,SELECT,product_catalog,280,10.0.6.15,20,Ongoing product integration
2025-11-12T16:00:00,r.kim,SELECT,customer_profiles,500,10.0.7.20,40,Customer data quality assessment
2025-11-14T10:00:00,p.mehta,SELECT,user_behavior,4100,10.0.5.42,150,Last analysis before SOW end Nov 15
2025-11-18T09:00:00,svc-appdev-team,SELECT,feature_flags,200,10.0.6.10,15,Feature flag audit
2025-11-20T14:00:00,k.watanabe,SELECT,customer_analytics,950,10.0.5.43,55,Monthly segmentation refresh
2025-11-22T11:30:00,p.mehta,SELECT,customer_analytics,1500,10.0.5.42,65,Post-SOW query — access should have been revoked
2025-11-25T10:00:00,svc-appdev-team,SELECT,product_catalog,450,10.0.6.10,30,Product data validation
2025-11-28T15:00:00,m.webb,SELECT,feature_usage,380,10.0.6.15,30,Feature usage reporting
2025-12-01T09:00:00,o.hassan,SELECT,payment_history,280,10.0.7.21,25,Payment trend analysis
2025-12-03T14:00:00,svc-appdev-team,INSERT,user_preferences,25,10.0.6.10,20,User preference migration
2025-12-05T10:30:00,k.watanabe,SELECT,conversion_funnel,720,10.0.5.43,40,Conversion analysis
2025-12-08T09:00:00,p.mehta,SELECT,customer_analytics,2200,10.0.5.42,85,Continued unauthorized access — 23 days post SOW
2025-12-10T16:00:00,svc-appdev-team,SELECT,feature_flags,200,10.0.6.10,15,Sprint 6 planning queries
2025-12-12T11:00:00,r.kim,SELECT,customer_profiles,600,10.0.7.20,45,Customer profiling for integration
2025-12-15T14:30:00,svc-appdev-team,INSERT,feature_flags,5,10.0.6.10,10,New feature flags for holiday release
2025-12-18T09:15:00,p.mehta,SELECT,customer_analytics,1800,10.0.5.42,70,Still querying — 33 days post SOW end
2025-12-20T10:00:00,k.watanabe,SELECT,product_metrics,1100,10.0.5.43,50,Ongoing product analysis
2025-12-22T14:00:00,svc-appdev-team,SELECT,product_catalog,450,10.0.6.10,25,Year-end product verification
2025-12-24T09:00:00,m.webb,SELECT,product_catalog,280,10.0.6.15,20,Holiday period testing
2025-12-28T11:00:00,o.hassan,SELECT,payment_history,350,10.0.7.21,30,Year-end payment analysis
2025-12-30T15:00:00,svc-appdev-team,SELECT,user_preferences,1200,10.0.6.10,50,Year-end user preference audit
