row_id,data_category,data_elements,storage_system,retention_period,deletion_method,legal_basis,owner,last_reviewed,justification,notes
1,Insurance Application Data,"Applicant details, property/vehicle info, coverage requirements, quote configurations",PostgreSQL (AWS RDS eu-west-1),Active policy + 12 months; declined applications 24 months,Automated purge job (monthly),Contractual necessity,Underwriting,2025-04-15,Standard insurance application lifecycle,Includes both successful and unsuccessful applications.
2,Policy Administration Data,"Policy details, endorsements, renewals, cancellations, premium history",PostgreSQL (AWS RDS eu-west-1),Active policy + 12 months,Automated purge job (monthly),Contractual necessity,Operations,2025-04-15,Policy lifecycle management,
3,Claims Data,"Claim details, incident reports, adjuster notes, settlement records, supporting documents, medical reports",PostgreSQL + S3 (eu-west-1),10 years after claim closure,Automated purge with manual verification for large claims,Legal obligation (Insurance Act 2000 record-keeping),Claims,2025-04-15,Insurance regulatory retention requirement,"See footnote 2."
4,Health Questionnaire Responses,"Self-reported medical conditions, medications, smoking status, BMI, family medical history",PostgreSQL (AWS RDS eu-west-1) — encrypted with dedicated KMS key,Active policy + 12 months; declined applications 24 months,Automated purge with dedicated encryption key destruction,Contractual necessity,Underwriting,2025-04-15,Health underwriting input data,Special category data — additional encryption and access controls applied.
5,Underwriting Model Decisions,"Risk scores, premium calculations, coverage decisions, decline reason codes, SHAP feature importance values",PostgreSQL (AWS RDS eu-west-1),Same as application data,Deleted with application data,Contractual necessity + Legitimate interest,Data Science,2025-04-15,Audit trail for underwriting decisions,SHAP values retained for model explainability and audit.
6,Third-Party Enrichment Data — LexisNexis,"Motor vehicle records, CLUE claims history, property records, identity verification scores",PostgreSQL (AWS RDS eu-west-1),Same as application data,Deleted with application data,Legitimate interest,Underwriting,2025-04-15,Risk assessment supplementary data,Data obtained at point of quote. Retained with application.
7,Third-Party Enrichment Data — TransUnion,"Credit score, credit history summary, payment behavior, bankruptcy records",PostgreSQL (AWS RDS eu-west-1),Same as application data,Deleted with application data,Legitimate interest,Underwriting,2025-04-15,Risk assessment supplementary data,Soft credit check. Retained with application.
8,Fraud Detection Analytics,"Fraud risk scores, anomaly indicators, behavioral analytics, cross-reference results",Solaris Fraud Analytics Platform (S3 + Redshift),See footnote 2,See footnote 2,Legitimate interest,Fraud Team,2025-04-15,Fraud prevention and detection,
9,Marketing Consent Records,"Opt-in/out status, consent timestamps, campaign preferences",PostgreSQL,Until consent withdrawal + 12 months,Automated purge,Consent,Marketing,2025-04-15,Proof of valid consent,
10,Reinsurance Data Extracts,"Policy and claims data shared with reinsurance counterparties",S3 archive (eu-west-1),Treaty duration + 10 years,Manual deletion with reinsurer coordination,Legal obligation (reinsurance treaty),Finance,2025-04-15,Reinsurance treaty obligations,
11,DSAR Records,"DSAR submissions, response records, identity verification documents, correspondence",Jira (restricted project) + S3,3 years after request completion,Manual deletion with audit trail,Legal obligation (GDPR compliance evidence),Privacy Team,2025-04-15,Retain as evidence of GDPR compliance,

Footnotes:
1. All retention periods measured from the trigger event specified.
2. Claims data used for fraud detection model training is extracted and retained indefinitely in the fraud analytics data lake. Data is pseudonymized but re-identification is possible via claim reference number. This retention supports ongoing fraud model training and retrospective fraud analysis. No periodic review of this indefinite retention is scheduled. Approved by Head of Fraud (Brian Nolan) on 2024-06-15. Not reviewed by DPO or Privacy Team.
3. Backup copies follow primary retention schedule plus 30-day buffer.
