bucket_name,region,encryption_type,kms_key_id,public_access_blocked,versioning,data_classification,owner,contains_pii,last_audit_date,compliance_status,notes
bft-prod-customer-data,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-prod-01,Yes,Yes,Restricted,Platform Team,Yes,2025-12-20,Compliant,Primary customer data store
bft-prod-payment-tokens,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-prod-02,Yes,Yes,Restricted,Payments Team,Yes,2025-12-20,Compliant,Stripe token references
bft-prod-documents,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-prod-01,Yes,Yes,Confidential,Platform Team,No,2025-12-20,Compliant,Customer-uploaded documents
bft-prod-backups,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-backup-01,Yes,Yes,Restricted,DBA Team,Yes,2025-12-20,Compliant,Database backup snapshots
bft-prod-logs,us-east-1,SSE-S3,N/A,Yes,No,Internal,SRE Team,No,2025-12-20,Compliant,Application and access logs
bft-staging-data,us-east-1,SSE-S3,N/A,Yes,No,Internal,Platform Team,No,2025-12-20,Compliant,Staging environment test data
bft-prod-static-assets,us-east-1,SSE-S3,N/A,Yes,No,Public,Frontend Team,No,2025-12-20,Compliant,CSS/JS/images for web app
bft-prod-analytics-exports,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-analytics-01,Yes,Yes,Confidential,Analytics Team,No,2025-12-20,Compliant,Aggregated analytics reports
bft-prod-partner-sftp,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-partner-01,Yes,Yes,Confidential,Integrations Team,Yes,2025-12-20,Compliant,Partner file exchange landing zone
bft-prod-ml-training,us-east-1,SSE-S3,N/A,Yes,No,Confidential,ML Team,Yes,2025-12-20,Non-Compliant,ML training datasets - contains derived PII features (income brackets and zip codes linked to customer IDs). Should use SSE-KMS per policy. Flagged in Q3 review but remediation still pending.
bft-dev-sandbox,us-east-1,None,N/A,Yes,No,Public,Engineering,No,2025-12-20,Compliant,Developer sandbox - no real data
bft-prod-compliance-reports,us-east-1,SSE-KMS,arn:aws:kms:us-east-1:987654321:key/cmk-compliance-01,Yes,Yes,Confidential,Compliance Team,No,2025-12-20,Compliant,SOC 2 and audit reports
