system,month,uptime_pct,downtime_min,sla_target,sla_met,planned_downtime,unplanned_downtime,notes
ups-dc-a1,October,100.00%,0,99.999%,Yes,0,0,UPS maintenance during load test — no outage
ups-dc-a2,October,100.00%,0,99.999%,Yes,0,0,No issues
ups-dc-b1,October,100.00%,0,99.999%,Yes,0,0,Advisory on 5 cells — still operational
gen-dc-01,October,100.00%,0,99.9%,Yes,0,0,Quarterly maintenance completed
gen-dc-02,October,100.00%,0,99.9%,Yes,0,0,Quarterly maintenance completed
hvac-dc-a1,October,100.00%,0,99.9%,Yes,0,0,Operating within spec
hvac-dc-b1,October,100.00%,0,99.9%,Yes,0,0,Operating within spec
pdu-dc-a1,October,100.00%,0,99.99%,Yes,0,0,All circuits nominal
pdu-dc-b1,October,100.00%,0,99.99%,Yes,0,0,All circuits nominal
ups-dc-a1,November,100.00%,0,99.999%,Yes,0,0,No issues
ups-dc-a2,November,100.00%,0,99.999%,Yes,0,0,No issues
ups-dc-b1,November,100.00%,0,99.999%,Yes,0,0,Cells still above minimum spec
gen-dc-01,November,100.00%,0,99.9%,Yes,0,0,Weekly self-test passed
gen-dc-02,November,100.00%,0,99.9%,Yes,0,0,Weekly self-test passed
hvac-dc-a1,November,100.00%,0,99.9%,Yes,0,0,Operating within spec
hvac-dc-b1,November,100.00%,0,99.9%,Yes,0,0,Operating within spec
pdu-dc-a1,November,100.00%,0,99.99%,Yes,0,0,All circuits nominal
pdu-dc-b1,November,100.00%,0,99.99%,Yes,0,0,All circuits nominal
ups-dc-a1,December,100.00%,0,99.999%,Yes,0,0,No issues
ups-dc-a2,December,100.00%,0,99.999%,Yes,0,0,No issues
ups-dc-b1,December,100.00%,0,99.999%,Yes,0,0,Operating normally
gen-dc-01,December,100.00%,0,99.9%,Yes,0,0,Weekly self-test passed. Full quarterly maintenance completed (separate MW-EQUIP Oct 4).
gen-dc-02,December,100.00%,0,99.9%,Yes,0,0,"Weekly self-test passed. Full quarterly maintenance OVERDUE. Generator appears operational but oil not changed in 86 days, no fuel contamination check."
hvac-dc-a1,December,100.00%,0,99.9%,Yes,0,0,"Operating within spec. Note: refrigerant pressure trending down (225->222->218 PSI over 3 months) but within 200-250 range."
hvac-dc-b1,December,100.00%,0,99.9%,Yes,0,0,Operating within spec
pdu-dc-a1,December,100.00%,0,99.99%,Yes,0,0,"PDU operational. No alarms. Quarterly thermal imaging OVERDUE — potential hot spots undetected."
pdu-dc-b1,December,100.00%,0,99.99%,Yes,0,0,"PDU operational. No alarms. Quarterly thermal imaging OVERDUE."
