check_id,pipeline,check_type,scheduled_time,execution_time,status,source_count,destination_count,tolerance_pct,actual_discrepancy_pct,dlq_count,details,reviewed_by
DIC-6001,partner-feed-alpha,record_count,2025-10-01T05:00:00Z,2025-10-01T05:08:22Z,Pass,125430,125430,0.01%,0.000%,0,All records processed,automated
DIC-6002,partner-feed-beta,record_count,2025-10-01T05:00:00Z,2025-10-01T05:12:15Z,Pass,89200,89200,0.01%,0.000%,0,All records processed,automated
DIC-6003,partner-feed-gamma,record_count,2025-10-01T05:00:00Z,2025-10-01T05:10:44Z,Pass,210340,210340,0.01%,0.000%,0,All records processed,automated
DIC-6004,customer-data-sync,record_count,2025-10-01T06:00:00Z,2025-10-01T06:15:33Z,Pass,45600,45600,0.01%,0.000%,0,Full sync completed,automated
DIC-6005,partner-feed-alpha,record_count,2025-10-02T05:00:00Z,2025-10-02T05:08:18Z,Pass,126100,126100,0.01%,0.000%,0,All records processed,automated
DIC-6006,partner-feed-beta,record_count,2025-10-02T05:00:00Z,2025-10-02T05:11:55Z,Pass,88900,88900,0.01%,0.000%,0,All records processed,automated
DIC-6007,partner-feed-gamma,record_count,2025-10-02T05:00:00Z,2025-10-02T05:10:30Z,Pass,211200,211200,0.01%,0.000%,0,All records processed,automated
DIC-6008,partner-feed-alpha,record_count,2025-10-03T05:00:00Z,2025-10-03T05:08:25Z,Pass,124800,124800,0.01%,0.000%,3,3 records quarantined to DLQ — malformed date fields. Reviewed and corrected by data-ops within 4 hours.,automated
DIC-6009,partner-feed-alpha,record_count,2025-10-07T05:00:00Z,2025-10-07T05:08:20Z,Pass,125900,125900,0.01%,0.000%,0,All records processed,automated
DIC-6010,partner-feed-beta,record_count,2025-10-07T05:00:00Z,2025-10-07T05:12:05Z,Pass,90100,90100,0.01%,0.000%,0,All records processed,automated
DIC-6011,partner-feed-gamma,record_count,2025-10-07T05:00:00Z,2025-10-07T05:10:38Z,Pass,212500,212500,0.01%,0.000%,0,All records processed,automated
DIC-6012,partner-feed-alpha,record_count,2025-10-14T05:00:00Z,2025-10-14T05:08:15Z,Pass,126300,126300,0.01%,0.000%,0,All records processed,automated
DIC-6013,partner-feed-beta,record_count,2025-10-14T05:00:00Z,2025-10-14T05:11:48Z,Pass,89500,89500,0.01%,0.000%,0,All records processed,automated
DIC-6014,partner-feed-gamma,record_count,2025-10-14T05:00:00Z,2025-10-14T05:10:52Z,Pass,213800,213800,0.01%,0.000%,0,All records processed,automated
DIC-6015,customer-data-sync,record_count,2025-10-15T06:00:00Z,2025-10-15T06:14:45Z,Pass,46200,46200,0.01%,0.000%,0,Full sync completed,automated
DIC-6016,partner-feed-alpha,record_count,2025-10-21T05:00:00Z,2025-10-21T05:08:28Z,Pass,127100,127100,0.01%,0.000%,0,All records processed,automated
DIC-6017,partner-feed-beta,record_count,2025-10-21T05:00:00Z,2025-10-21T05:12:10Z,Pass,90800,90800,0.01%,0.000%,2,2 records to DLQ — invalid currency code. Resolved same day.,automated
DIC-6018,partner-feed-gamma,record_count,2025-10-21T05:00:00Z,2025-10-21T05:10:45Z,Pass,214600,214600,0.01%,0.000%,0,All records processed,automated
DIC-6019,partner-feed-alpha,record_count,2025-10-28T05:00:00Z,2025-10-28T05:08:22Z,Pass,125600,125600,0.01%,0.000%,0,All records processed,automated
DIC-6020,partner-feed-beta,record_count,2025-10-28T05:00:00Z,2025-10-28T05:11:58Z,Pass,91200,91200,0.01%,0.000%,0,All records processed,automated
DIC-6021,partner-feed-gamma,record_count,2025-10-28T05:00:00Z,2025-10-28T05:10:55Z,Pass,215900,215900,0.01%,0.000%,0,All records processed,automated
DIC-6022,partner-feed-alpha,record_count,2025-11-04T05:00:00Z,2025-11-04T05:08:30Z,Pass,126800,126800,0.01%,0.000%,0,All records processed,automated
DIC-6023,partner-feed-beta,record_count,2025-11-04T05:00:00Z,2025-11-04T05:12:12Z,Pass,89700,89700,0.01%,0.000%,0,All records processed,automated
DIC-6024,partner-feed-gamma,record_count,2025-11-04T05:00:00Z,2025-11-04T05:10:42Z,Pass,216200,216200,0.01%,0.000%,0,All records processed,automated
DIC-6025,partner-feed-alpha,record_count,2025-11-11T05:00:00Z,2025-11-11T05:08:18Z,Pass,127500,127500,0.01%,0.000%,0,All records processed,automated
DIC-6026,partner-feed-beta,record_count,2025-11-11T05:00:00Z,2025-11-11T05:12:08Z,Pass,90500,90500,0.01%,0.000%,0,All records processed,automated
DIC-6027,partner-feed-gamma,record_count,2025-11-11T05:00:00Z,2025-11-11T05:10:50Z,Pass,217800,217800,0.01%,0.000%,0,All records processed,automated
DIC-6028,partner-feed-gamma,schema_conformance,2025-11-15T05:00:00Z,2025-11-15T05:11:22Z,Warn,218400,218400,0.01%,0.000%,147,"Partner Gamma changed their feed format — added 2 new optional fields (loyalty_tier and preferred_language) not in the Avro schema. Records processed successfully because fields are optional and ignored by current pipeline. However: 147 records contain loyalty_tier=null which differs from the field being absent. Current pipeline ignores both cases. DLQ alert threshold (100) was triggered but records were not quarantined because schema validation passed (unknown fields are dropped not rejected). Data ops acknowledged alert but took no action — 'fields are optional and unused.'",data-ops-team
DIC-6029,customer-data-sync,record_count,2025-11-15T06:00:00Z,2025-11-15T06:15:10Z,Pass,46800,46800,0.01%,0.000%,0,Full sync completed,automated
DIC-6030,partner-feed-alpha,record_count,2025-11-18T05:00:00Z,2025-11-18T05:08:25Z,Pass,128200,128200,0.01%,0.000%,0,All records processed,automated
DIC-6031,partner-feed-beta,record_count,2025-11-18T05:00:00Z,2025-11-18T05:12:02Z,Pass,91100,91100,0.01%,0.000%,0,All records processed,automated
DIC-6032,partner-feed-gamma,record_count,2025-11-18T05:00:00Z,2025-11-18T05:10:48Z,Pass,219100,219100,0.01%,0.000%,0,"Records processed. New optional fields from Gamma still being silently dropped. No schema update or data engineering review scheduled.",automated
DIC-6033,partner-feed-alpha,record_count,2025-11-25T05:00:00Z,2025-11-25T05:08:20Z,Pass,127800,127800,0.01%,0.000%,0,All records processed,automated
DIC-6034,partner-feed-beta,record_count,2025-11-25T05:00:00Z,2025-11-25T05:11:55Z,Pass,90900,90900,0.01%,0.000%,0,All records processed,automated
DIC-6035,partner-feed-gamma,record_count,2025-11-25T05:00:00Z,2025-11-25T05:10:52Z,Pass,220500,220500,0.01%,0.000%,0,"Records processed. Gamma feed now consistently includes loyalty_tier and preferred_language fields. All silently dropped.",automated
DIC-6036,partner-feed-alpha,record_count,2025-12-02T05:00:00Z,2025-12-02T05:08:28Z,Pass,128900,128900,0.01%,0.000%,0,All records processed,automated
DIC-6037,partner-feed-beta,record_count,2025-12-02T05:00:00Z,2025-12-02T05:12:15Z,Pass,91500,91500,0.01%,0.000%,0,All records processed,automated
DIC-6038,partner-feed-gamma,record_count,2025-12-02T05:00:00Z,2025-12-02T05:10:45Z,Pass,221800,221800,0.01%,0.000%,0,"Records processed. Gamma fields still dropped. Business team asked about loyalty_tier data on Dec 1 — told 'not available in feed.'",automated
DIC-6039,partner-feed-alpha,record_count,2025-12-09T05:00:00Z,2025-12-09T05:08:22Z,Pass,129500,129500,0.01%,0.000%,0,All records processed,automated
DIC-6040,partner-feed-beta,record_count,2025-12-09T05:00:00Z,2025-12-09T05:12:08Z,Pass,92100,92100,0.01%,0.000%,0,All records processed,automated
