risk_id,risk_category,risk_description,likelihood,impact,risk_rating,risk_classification,treatment_strategy,risk_owner,last_review_date,next_review_date,status
DS-RISK-001,Information Security,Unauthorized access to production databases,3,5,15,High,Mitigate,Jason Torres (VP Engineering),2025-11-15,2026-02-15,Active
DS-RISK-002,Information Security,Data exfiltration via insider threat,2,5,10,High,Mitigate,Marcus Hayes (CISO),2025-10-20,2026-01-20,Active
DS-RISK-003,Technology,Production system outage from infrastructure failure,3,4,12,High,Mitigate,Jason Torres (VP Engineering),2025-12-01,2026-03-01,Active
DS-RISK-004,Regulatory,GDPR data subject request non-compliance,2,4,8,Medium,Mitigate,Nina Patel (General Counsel),2025-11-10,2026-05-10,Active
DS-RISK-005,Third-Party,Critical vendor service disruption,2,5,10,High,Transfer,Robert Kim (CFO),2025-12-05,2026-03-05,Active
DS-RISK-006,Information Security,Ransomware attack on corporate network,4,5,20,Critical,Mitigate,Marcus Hayes (CISO),2025-12-15,2026-03-15,Active
DS-RISK-007,Operational,Loss of key security personnel,3,3,9,Medium,Mitigate,Marcus Hayes (CISO),2025-11-20,2026-05-20,Active
DS-RISK-008,Technology,Software supply chain compromise,3,4,12,High,Mitigate,Jason Torres (VP Engineering),2025-11-05,2026-02-05,Active
DS-RISK-009,Regulatory,State privacy law compliance gaps,2,3,6,Medium,Mitigate,Nina Patel (General Counsel),2025-10-08,2026-04-08,Active
DS-RISK-010,Information Security,Cloud misconfiguration data exposure,3,5,15,High,Mitigate,Jason Torres (VP Engineering),2025-12-10,2026-03-10,Active
DS-RISK-011,Technology,API authentication bypass,2,5,10,High,Mitigate,Jason Torres (VP Engineering),2025-10-30,2026-01-30,Active
DS-RISK-012,Information Security,Phishing credential compromise,4,3,12,High,Mitigate,Marcus Hayes (CISO),2025-11-28,2026-02-28,Active
DS-RISK-013,Regulatory,Cross-border data transfer non-compliance,3,5,15,High,Mitigate,Nina Patel (General Counsel),2025-12-20,2026-03-20,Active
DS-RISK-014,Third-Party,Vendor data breach affecting customer data,3,4,12,High,Mitigate,Robert Kim (CFO),2025-11-01,2026-02-01,Active
DS-RISK-015,Technology,Legacy application vulnerabilities,3,4,12,High,Mitigate,Jason Torres (VP Engineering),2025-12-02,2026-03-02,Active
DS-RISK-016,Operational,Inadequate disaster recovery capability,2,5,10,High,Mitigate,Jason Torres (VP Engineering),2025-10-18,2026-01-18,Active
DS-RISK-017,Information Security,Shadow IT and unapproved SaaS usage,3,3,9,Medium,Mitigate,Marcus Hayes (CISO),2025-11-12,2026-05-12,Active
DS-RISK-018,Technology,Machine learning model bias in customer scoring,3,4,12,High,Mitigate,Dr. Sarah Lin (VP Data Science),2025-12-08,2026-03-08,Active
