change_id,change_date,change_window,change_type,target_systems,patches_applied,pre_validation,post_validation,rollback_required,performed_by,approved_by,notes
CHG-2025-0891,2025-10-08,02:00-05:00 UTC,Standard,corp-ws-batch (120 endpoints),KB5043076 KB5043078 KB5043080,Staging validated Oct 7,Rescan completed Oct 10 — all patches confirmed,No,IT Operations Team,Change Advisory Board,October Patch Tuesday — corporate endpoints
CHG-2025-0892,2025-10-10,Emergency,Emergency,fw-edge-02,PAN-OS 11.1.6,Lab validated Oct 9,Rescan completed Oct 12 — CVE-2025-0108 remediated,No,Network Engineering,CISO (emergency approval),Emergency patch for PAN-OS authentication bypass
CHG-2025-0893,2025-10-12,Emergency,Emergency,vpn-gw-01,Ivanti Connect Secure 22.7R2.5,Lab validated Oct 11,Rescan completed Oct 14 — CVE-2025-0282 remediated,No,Network Engineering,CISO (emergency approval),Emergency patch for Ivanti buffer overflow
CHG-2025-0894,2025-10-05,Emergency,Emergency,fw-branch-04,FortiOS 7.4.7,Lab validated Oct 4,Rescan completed Oct 7 — CVE-2024-55591 remediated,No,Network Engineering,CISO (emergency approval),Emergency FortiOS upgrade
CHG-2025-0895,2025-10-25,02:00-05:00 UTC,Standard,jump-srv-02,KB5044284,Staging validated Oct 24,Rescan completed Oct 28 — CVE-2025-21309 remediated,No,Security Operations,Change Advisory Board,Priority RDS patch — RDP exposure
CHG-2025-0896,2025-11-12,02:00-05:00 UTC,Standard,"corp-dc-04 corp-dc-03 file-srv-04",KB5044285 KB5044287,Staging validated Nov 11,Rescan completed Nov 14 — 3 systems confirmed,No,IT Operations Team,Change Advisory Board,November Patch Tuesday — domain controllers and file servers
CHG-2025-0897,2025-11-15,02:00-05:00 UTC,Standard,app-srv-04,KB5044290,Staging validated Nov 14,Rescan completed Nov 17,No,Application Engineering,Change Advisory Board,Application server patches
CHG-2025-0898,2025-12-10,02:00-05:00 UTC,Standard,"web-app-03 legacy-portal-01",Tomcat 9.0.98 / Struts 2.5.33,Staging validated Dec 9,Rescan completed Dec 12 — CVE-2024-50379 and CVE-2024-53677 remediated,No,Application Engineering,Change Advisory Board,December maintenance — web application framework upgrades
CHG-2025-0899,2025-12-22,02:00-05:00 UTC,Standard,"file-srv-04 print-srv-03",KB5045382 KB5045385,Staging validated Dec 21,Rescan completed Dec 24,No,IT Operations Team,Change Advisory Board,December patch cycle — file and print servers
CHG-2025-0900,2025-09-18,Emergency,Emergency,gce-host-12,ESXi 8.0 U3b,Staging validated Sep 17,Rescan completed Sep 20 — CVE-2025-22224 remediated,No,Infrastructure Engineering,CISO (emergency approval),Emergency ESXi patch — host evacuation required
CHG-2025-0901,2025-09-25,02:00-05:00 UTC,Standard,pam-node-01,BeyondTrust PRA 24.3.2,Staging validated Sep 24,Rescan completed Sep 27 — CVE-2024-12356 remediated,No,Security Operations,Change Advisory Board,PAM upgrade — priority
CHG-2025-0902,2025-11-08,02:00-05:00 UTC,Standard,"app-srv-04 app-srv-05",KB5044290 KB5044292,Staging validated Nov 7,Rescan completed Nov 10 — all patches confirmed,No,Application Engineering,Change Advisory Board,November application server patches
CHG-2025-0903,2025-11-15,02:00-05:00 UTC,Standard,exchange-01,Exchange CU November 2025,Staging validated Nov 14,Rescan completed Nov 17 — Exchange CU applied,No,IT Operations Team,Change Advisory Board,Exchange cumulative update — monthly
CHG-2025-0904,2025-12-06,02:00-05:00 UTC,Standard,"web-app-03 legacy-portal-01",Tomcat 9.0.98 / Struts 2.5.33,Staging validated Dec 5,Rescan completed Dec 8 — CVE-2024-50379 and CVE-2024-53677 remediated,No,Application Engineering,Change Advisory Board,December maintenance — web application framework upgrades
CHG-2025-0905,2025-12-13,02:00-05:00 UTC,Standard,"corp-ws-batch (120 endpoints)",KB5045380 KB5045382,Staging validated Dec 12,Rescan completed Dec 15 — all patches confirmed,No,IT Operations Team,Change Advisory Board,December Patch Tuesday — corporate endpoints
CHG-2025-0906,2025-12-22,02:00-05:00 UTC,Standard,"file-srv-04 print-srv-03 file-srv-05",KB5045385 KB5045387,Staging validated Dec 21,Rescan completed Dec 24,No,IT Operations Team,Change Advisory Board,December patch cycle — file and print servers
CHG-2025-0907,2025-10-15,02:00-05:00 UTC,Standard,"hyperv-node-03 hyperv-node-04",Hyper-V hotfixes KB5043090,Staging validated Oct 14,Rescan completed Oct 17,No,Infrastructure Engineering,Change Advisory Board,Hyper-V host patching — low priority hotfixes
CHG-2025-0908,2025-11-22,02:00-05:00 UTC,Standard,"nas-dev-01 nas-archive-02",Synology DSM 7.2.2,Staging validated Nov 21,Rescan completed Nov 24,No,IT Operations Team,Change Advisory Board,NAS firmware updates
CHG-2025-0909,2025-10-28,Emergency,Emergency,jump-srv-02,KB5044295 (RDS patch),Lab validated Oct 27,Rescan completed Oct 30 — CVE-2025-21309 remediated,No,Security Operations,CISO (emergency approval),Emergency RDS patch — RDP exposure on jump server
CHG-2025-0910,2025-11-02,02:00-05:00 UTC,Standard,"corp-dc-04 corp-dc-03",KB5044290,Staging validated Nov 1,Rescan completed Nov 4 — domain controllers patched,No,IT Operations Team,Change Advisory Board,November domain controller patch cycle
CHG-2025-0911,2025-09-15,Emergency,Emergency,fortimanager-prod,FortiManager 7.6.2,Lab validated Sep 14,Rescan completed Sep 17 — CVE-2024-47575 remediated,No,Network Engineering,CISO (emergency approval),Emergency FortiManager upgrade — missing auth vulnerability
CHG-2025-0912,2025-10-30,02:00-05:00 UTC,Standard,remote-support-02,TeamViewer 15.52.1,Staging validated Oct 29,Rescan completed Nov 1,No,IT Operations Team,Change Advisory Board,TeamViewer update — privilege management improvement
CHG-2025-0913,2025-12-20,02:00-05:00 UTC,Standard,"file-srv-04 file-srv-05",KB5045390,Staging validated Dec 19,Rescan completed Dec 22 — CVE-2024-49138 confirmed remediated,No,IT Operations Team,Change Advisory Board,December secondary patch cycle — CLFS driver fix
