ticket_id,title,category,requestor,developer,approver,deployer,risk_rating,submitted_date,approved_date,deployed_date,deployment_window,testing_evidence,post_impl_verified,post_impl_date,status,notes
CHG-401,Update payment retry logic,Normal,alice.chen,alice.chen,Derek Huang (CAB),raj.patel (SRE),Medium,2025-10-06,2025-10-07 (CAB),2025-10-11 03:15 UTC,Saturday maintenance,test-results-chg401.pdf,Yes,2025-10-11 05:00,Completed,
CHG-402,Migrate user sessions to Redis,Normal,bob.kim,bob.kim,Derek Huang (CAB),raj.patel (SRE),High,2025-10-08,2025-10-14 (CAB),2025-10-18 02:30 UTC,Saturday maintenance,test-results-chg402.pdf + security-review.pdf,Yes,2025-10-18 04:15,Completed,Security review completed by maya.jackson
CHG-403,Fix production 500 errors on /api/billing,Emergency,raj.patel,raj.patel,Derek Huang (verbal),raj.patel (SRE),Critical,2025-10-21 14:30,2025-10-21 14:35 (verbal),2025-10-21 15:10 UTC,Emergency,Hotfix — tested in staging before deploy,Yes,2025-10-21 15:45,Completed,Retrospective CAB review: 2025-10-23 (CAB meeting)
CHG-404,Add rate limiting to public API,Normal,carlos.rivera,carlos.rivera,Derek Huang (CAB),sarah.wong (SRE),Medium,2025-10-20,2025-10-21 (CAB),2025-10-25 03:00 UTC,Saturday maintenance,test-results-chg404.pdf,Yes,2025-10-25 04:30,Completed,
CHG-405,Kernel security patch CVE-2025-8834,Standard,raj.patel,raj.patel,N/A (standard),raj.patel (SRE),Low,2025-10-28,N/A,2025-11-01 02:00 UTC,Saturday maintenance,Auto-rollback enabled,Yes,2025-11-01 02:45,Completed,Per SC-001
CHG-406,Database connection pool optimization,Normal,alice.chen,alice.chen,Derek Huang (CAB),raj.patel (SRE),Medium,2025-11-03,2025-11-04 (CAB),2025-11-08 02:15 UTC,Saturday maintenance,test-results-chg406.pdf,Yes,2025-11-08 03:30,Completed,
CHG-407,Fix SSO callback URL after Okta upgrade,Emergency,maya.jackson,maya.jackson,Derek Huang (verbal),maya.jackson,Critical,2025-11-10 09:15,2025-11-10 09:20 (verbal),2025-11-10 09:45 UTC,Emergency,Tested SSO flow in staging,Yes,2025-11-10 10:30,Completed,Retrospective CAB review: 2025-11-11 (CAB meeting)
CHG-408,Upgrade React to v19,Normal,bob.kim,bob.kim,Derek Huang (CAB),sarah.wong (SRE),Low,2025-11-10,2025-11-11 (CAB),2025-11-15 02:00 UTC,Saturday maintenance,test-results-chg408.pdf,Yes,2025-11-15 03:15,Completed,
CHG-409,Add customer data export endpoint,Normal,carlos.rivera,carlos.rivera,Derek Huang (CAB),raj.patel (SRE),High,2025-11-17,2025-11-18 (CAB),2025-11-22 02:30 UTC,Saturday maintenance,test-results-chg409.pdf,No,,Completed,Post-implementation verification missing
CHG-410,Patch log4j dependency,Standard,raj.patel,raj.patel,N/A (standard),raj.patel (SRE),Low,2025-11-24,N/A,2025-11-26 14:00 UTC,Outside maintenance window,CI tests passed,Yes,2025-11-26 14:30,Completed,Deployed during holiday freeze. No CISO approval documented.
CHG-411,Fix data sync timeout in ETL pipeline,Emergency,alice.chen,alice.chen,Derek Huang (verbal),alice.chen,Medium,2025-12-01 16:00,2025-12-01 16:05 (verbal),2025-12-01 17:30 UTC,Emergency,Tested against staging dataset,Yes,2025-12-01 18:00,Completed,Retrospective CAB review: 2025-12-09 (CAB meeting — 6 business days later)
CHG-412,Update TLS cipher suites,Normal,maya.jackson,maya.jackson,Derek Huang (CAB),raj.patel (SRE),High,2025-12-01,2025-12-02 (CAB),2025-12-06 02:00 UTC,Saturday maintenance,test-results-chg412.pdf + security-review.pdf,Yes,2025-12-06 03:45,Completed,Security review by maya.jackson (same person who developed the change)
CHG-413,Customer notification service refactor,Normal,bob.kim,bob.kim,Derek Huang (CAB),sarah.wong (SRE),Medium,2025-12-08,2025-12-09 (CAB),2025-12-13 02:30 UTC,Saturday maintenance,test-results-chg413.pdf,Yes,2025-12-13 04:00,Completed,
CHG-414,Emergency DB failover during outage,Emergency,raj.patel,raj.patel,Derek Huang (verbal),raj.patel (SRE),Critical,2025-12-22 03:00,2025-12-22 03:05 (verbal),2025-12-22 03:30 UTC,Emergency,N/A — failover procedure per runbook,Yes,2025-12-22 04:00,Completed,During holiday freeze. CISO approval obtained via Slack DM at 03:02. Retrospective CAB review: 2025-12-30 (6 business days — Dec 23-27 holiday)
CHG-415,Update API rate limit thresholds,Normal,carlos.rivera,carlos.rivera,Derek Huang (CAB),raj.patel (SRE),Low,2025-12-15,2025-12-16 (CAB),2025-12-20 02:00 UTC,Saturday maintenance,test-results-chg415.pdf,Yes,2025-12-20 02:45,Completed,Deployed during holiday freeze window (starts Dec 20). Change was approved and scheduled before freeze.
