record_id,user_id,consent_date,consent_category,consent_status,consent_method,policy_version,ip_address_hash,user_agent,opt_out_date,opt_out_method,migration_note
CR-0001,USR-10201,2025-07-01,analytics,opted_in,cookie_banner,v4.0,a8f2c1d4e5,Mozilla/5.0 Chrome/125,,,,
CR-0002,USR-10201,2025-07-01,marketing,opted_in,cookie_banner,v4.0,a8f2c1d4e5,Mozilla/5.0 Chrome/125,,,,
CR-0003,USR-10201,2025-07-01,health_research,opted_out,cookie_banner,v4.0,a8f2c1d4e5,Mozilla/5.0 Chrome/125,,,,
CR-0004,USR-10202,2025-07-02,analytics,opted_out,cookie_banner,v4.0,b3e7f9a1c2,Mozilla/5.0 Safari/605,2025-07-02,cookie_banner,,
CR-0005,USR-10202,2025-07-02,marketing,opted_out,cookie_banner,v4.0,b3e7f9a1c2,Mozilla/5.0 Safari/605,2025-07-02,cookie_banner,,
CR-0006,USR-10203,2025-07-03,analytics,opted_in,cookie_banner,v4.0,c4d8e2f6a3,Mozilla/5.0 Firefox/127,,,,
CR-0007,USR-10203,2025-07-03,marketing,opted_in,cookie_banner,v4.0,c4d8e2f6a3,Mozilla/5.0 Firefox/127,,,,
CR-0008,USR-10203,2025-07-03,health_research,opted_in,explicit_consent_form,v4.0,c4d8e2f6a3,Mozilla/5.0 Firefox/127,,,,
CR-0009,USR-10204,2025-07-05,analytics,opted_out,cookie_banner,v4.0,d5e9f3a7b4,Mozilla/5.0 Chrome/125,2025-07-05,cookie_banner,,
CR-0010,USR-10205,2025-07-06,analytics,opted_in,cookie_banner,v4.0,e6f1a4b8c5,Mozilla/5.0 Edge/125,,,,
CR-0011,USR-10206,2025-03-15,analytics,opted_in,cookie_banner,v3.1,f7a2b5c9d6,Mozilla/5.0 Chrome/122,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0012,USR-10206,2025-03-15,marketing,opted_in,cookie_banner,v3.1,f7a2b5c9d6,Mozilla/5.0 Chrome/122,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0013,USR-10207,2025-04-22,analytics,opted_out,cookie_banner,v3.1,a1b3c5d7e9,Mozilla/5.0 Safari/604,2025-04-22,cookie_banner,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0014,USR-10208,2025-05-10,analytics,opted_in,cookie_banner,v3.1,b2c4d6e8f1,Mozilla/5.0 Firefox/125,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0015,USR-10209,2025-06-01,analytics,opted_in,cookie_banner,v3.1,c3d5e7f9a2,Mozilla/5.0 Chrome/124,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0016,USR-10210,2025-04-08,analytics,opted_out,cookie_banner,v3.1,d4e6f8a1b3,Mozilla/5.0 Edge/123,2025-04-08,cookie_banner,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0017,USR-10211,2025-05-28,marketing,opted_in,cookie_banner,v3.1,e5f7a9b2c4,Mozilla/5.0 Chrome/124,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0018,USR-10212,2025-06-15,analytics,opted_in,cookie_banner,v3.1,f6a8b1c3d5,Mozilla/5.0 Safari/604,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0019,USR-10213,2025-03-20,marketing,opted_out,cookie_banner,v3.1,a7b9c2d4e6,Mozilla/5.0 Firefox/124,2025-03-20,cookie_banner,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0020,USR-10214,2025-06-28,analytics,opted_in,cookie_banner,v3.1,b8c1d3e5f7,Mozilla/5.0 Chrome/125,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0021,USR-10215,2025-04-15,analytics,opted_out,cookie_banner,v3.1,c9d2e4f6a8,Mozilla/5.0 Edge/124,2025-04-15,cookie_banner,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0022,USR-10216,2025-05-05,marketing,opted_in,cookie_banner,v3.1,d1e3f5a7b9,Mozilla/5.0 Safari/604,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0023,USR-10217,2025-06-10,analytics,opted_in,cookie_banner,v3.1,e2f4a6b8c1,Mozilla/5.0 Chrome/125,,,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-0024,USR-10218,2025-03-30,analytics,opted_out,cookie_banner,v3.1,f3a5b7c9d2,Mozilla/5.0 Firefox/124,2025-03-30,cookie_banner,,Migrated from v3.1 policy — consent scope unchanged; re-consent not required per DPO assessment DPO-2025-041
CR-SUMMARY,,,,,,,,,,,,"Total records: 2847. Analytics opted_in: 2535. Analytics opted_out: 312. Marketing opted_in: 2201. Marketing opted_out: 646. Health_research opted_in: 891. Health_research opted_out: 1956. Pre-v4.0 migrated records: 14 (all documented with DPO-2025-041 assessment)."
