vendor_id,vendor_name,tier,service,data_classification,soc2_status,onboarding_date,status
ARC-V-001,Amazon Web Services (AWS),Critical,Cloud infrastructure,Customer PII + Internal,Current,2020-06-01,Active
ARC-V-002,Snowflake Inc.,Critical,Data warehouse,Customer PII + analytics,Current,2022-03-15,Active
ARC-V-003,Stripe Inc.,Critical,Payment processing,Customer PII + financial,Current,2021-07-01,Active
ARC-V-004,Okta Inc.,Critical,Identity management,Customer PII + Internal,Current,2022-01-10,Active
ARC-V-005,Datadog Inc.,High,Monitoring and observability,Internal + metadata,Current,2022-05-20,Active
ARC-V-006,Twilio Inc.,High,SMS notifications,Customer phone numbers,Current,2023-02-01,Active
ARC-V-007,CrowdStrike Holdings,High,Endpoint detection,Endpoint telemetry,Current,2022-08-15,Active
ARC-V-008,PagerDuty Inc.,High,Incident alerting,Internal,Current,2021-11-01,Active
ARC-V-009,Amplitude Analytics,High,Product analytics,Customer behavioral data (pseudonymized user IDs and IP addresses),Current,2023-09-01,Active
ARC-V-010,Zendesk Inc.,High,Customer support,Customer PII,Current,2022-04-10,Active
ARC-V-011,Figma Inc.,Medium,Design tools,Internal only,N/A,2023-01-15,Active
ARC-V-012,Intercom Inc.,High,In-app messaging and support,Customer PII (names and email addresses),Current,2024-03-01,Active
ARC-V-013,Notion Labs,Medium,Documentation,Internal only,N/A,2024-02-15,Active
ARC-V-014,FullStory Inc.,High,Session recording and analytics,Customer session data (may include PII in form fields),Current,2024-06-01,Active
ARC-V-015,Lattice,Medium,HR performance management,Employee PII,N/A,2023-08-01,Active
ARC-V-016,ContractWorks,Low,Contract management,Internal contracts,N/A,2024-04-01,Active
