alert_id,alert_date,alert_time_utc,severity,alert_rule,description,source_service,acknowledged_time_utc,response_time_minutes,sla_target_minutes,sla_met,responder,resolution,incident_created,notes
ALT-Q4-001,2025-10-01,02:14:00,High,AUTH-BRUTE-001,Brute force login attempt detected — 47 failed attempts from 198.51.100.23 against user admin@atlascloud.io,user-auth-service,02:38:00,24,60,Yes,Dmitri Volkov,IP blocked via WAF rule; user account locked and password reset initiated,No,
ALT-Q4-002,2025-10-01,14:33:00,Medium,INFRA-CONFIG-003,Security group modification — ingress rule added allowing 0.0.0.0/0 on port 8080 in staging VPC,config-service,16:12:00,99,240,Yes,Aisha Patel,Unauthorized SG change reverted; developer contacted — was testing and forgot to scope to VPN CIDR,No,
ALT-Q4-003,2025-10-02,08:45:00,Critical,DATA-EXFIL-002,Unusual data export — api-key user svc-reporting exported 2.3GB via customer-data-api in 15 minutes (baseline: 200MB/hour),customer-data-api,08:52:00,7,15,Yes,Dmitri Volkov,Investigated — legitimate bulk report generation for enterprise customer quarterly review. Alert threshold adjusted for this service account.,No,
ALT-Q4-004,2025-10-03,19:22:00,Low,COMPLIANCE-001,TLS certificate expiring within 30 days — reporting-engine.internal.atlascloud.net,reporting-engine,2025-10-04 09:15:00,834,1440,Yes,Aisha Patel,Certificate renewal ticket created (SEC-4498). Renewed October 7.,No,
ALT-Q4-005,2025-10-05,11:08:00,High,PRIV-ESC-004,Kubernetes pod created with privileged security context in production namespace,background-worker,11:31:00,23,60,Yes,Carlos Mendez,Developer deployed with incorrect pod security policy. Pod terminated and redeployed with restricted context.,No,
ALT-Q4-006,2025-10-07,03:41:00,Medium,NET-SCAN-001,Port scan detected from internal IP 10.20.3.45 targeting payment-processor subnet,network,06:22:00,161,240,Yes,Dmitri Volkov,Traced to vulnerability scanner (Qualys) running scheduled scan. Alert tuned to allowlist Qualys scanner IPs.,No,
ALT-Q4-007,2025-10-08,16:55:00,Critical,AUTH-IMPOSSIBLE-001,Impossible travel — user j.martinez@atlascloud.io authenticated from New York (10:55 EDT) and Singapore (16:55 SGT) within 3 minutes,user-auth-service,17:02:00,7,15,Yes,Aisha Patel,VPN session from Singapore confirmed as legitimate — user was using VPN to Singapore office. Resolved as false positive.,No,
ALT-Q4-008,2025-10-10,22:17:00,High,MALWARE-EDR-001,CrowdStrike Falcon detection — suspicious PowerShell execution on endpoint DEV-WS-034 (user: r.chang),endpoint,22:34:00,17,60,Yes,Carlos Mendez,Endpoint isolated. Investigation confirmed benign developer script for local testing. CrowdStrike exclusion added for approved dev tools.,No,
ALT-Q4-009,2025-10-12,09:30:00,Medium,DATA-ACCESS-005,Elevated database query volume — 340% above baseline on customer-data-api RDS instance,customer-data-api,11:45:00,135,240,Yes,Dmitri Volkov,Traced to new feature deployment causing N+1 query issue. Development team notified. Query optimized in hotfix.,No,
ALT-Q4-010,2025-10-14,04:12:00,Critical,INFRA-CREATE-001,New EC2 instance launched in production account outside of approved IaC pipeline,config-service,04:19:00,7,15,Yes,Carlos Mendez,Instance launched by SRE for emergency debugging during latency incident. Instance terminated after use. SRE reminded of IaC-only policy.,Yes,INC-2025-Q4-014
ALT-Q4-011,2025-10-15,13:27:00,Low,COMPLIANCE-003,S3 bucket versioning disabled on atlas-cloud-staging-assets,file-storage-service,2025-10-16 09:00:00,1173,1440,Yes,Aisha Patel,Staging bucket — versioning re-enabled. Not a production asset.,No,
ALT-Q4-012,2025-10-17,07:45:00,High,AUTH-CRED-002,Service account svc-data-pipeline credentials used from unexpected IP 203.0.113.88 (not in allowlist),data-pipeline,08:02:00,17,60,Yes,Dmitri Volkov,Investigated — IP belongs to new NAT gateway deployed October 16. Allowlist updated.,No,
ALT-Q4-013,2025-10-19,21:33:00,Medium,NET-LATERAL-001,Lateral movement pattern detected — 5 internal hosts contacted within 2 minutes from 10.20.5.12,network,2025-10-20 01:15:00,222,240,Yes,Carlos Mendez,Source was health check service performing connectivity validation. Alert tuned.,No,
ALT-Q4-014,2025-10-21,10:44:00,Critical,DATA-EXFIL-001,DNS tunneling indicators detected — high-entropy DNS queries to suspicious domain from 10.20.3.78,network,10:51:00,7,15,Yes,Dmitri Volkov,Endpoint quarantined. Investigation found no malicious activity — DNS queries were from a legitimate SaaS analytics SDK. Domain allowlisted after vendor verification.,No,
