date,backup_type,database,start_time,end_time,status,size_gb,checksum_verified,stored_location,notes
2025-10-01,full,nexgen_production,02:00,02:47,success,142.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-02,full,nexgen_production,02:00,02:52,success,143.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-03,full,nexgen_production,02:00,02:49,success,143.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-04,full,nexgen_production,02:00,03:15,success,144.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-05,full,nexgen_production,02:00,02:55,success,144.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-06,full,nexgen_production,02:00,02:51,success,145.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-07,full,nexgen_production,02:00,02:48,success,145.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-08,full,nexgen_production,02:00,02:53,success,146.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-09,full,nexgen_production,02:00,02:50,success,146.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-10,full,nexgen_production,02:00,02:55,success,147.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-11,full,nexgen_production,02:00,02:49,success,147.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-12,full,nexgen_production,02:00,02:52,success,148.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-13,full,nexgen_production,02:00,02:54,success,148.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-14,full,nexgen_production,02:00,02:50,success,149.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-15,full,nexgen_production,02:00,02:48,success,149.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-16,full,nexgen_production,02:00,05:32,success,149.9,yes,gs://nexgen-backup-us-east1/daily/,Slow due to GCS throttling
2025-10-17,full,nexgen_production,02:00,02:51,success,150.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-18,full,nexgen_production,02:00,02:53,success,150.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-19,full,nexgen_production,02:00,02:49,success,151.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-20,full,nexgen_production,02:00,02:55,success,151.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-21,full,nexgen_production,02:00,02:47,success,152.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-22,full,nexgen_production,02:00,02:52,success,152.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-23,full,nexgen_production,02:00,02:50,success,153.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-24,full,nexgen_production,02:00,02:48,success,153.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-25,full,nexgen_production,02:00,02:53,success,153.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-26,full,nexgen_production,02:00,02:51,success,154.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-27,full,nexgen_production,02:00,02:49,success,154.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-28,full,nexgen_production,02:00,02:55,success,155.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-29,full,nexgen_production,02:00,02:47,success,155.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-30,full,nexgen_production,02:00,02:52,success,156.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-10-31,full,nexgen_production,02:00,02:50,success,156.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-01,full,nexgen_production,02:00,02:48,success,157.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-02,full,nexgen_production,02:00,02:53,success,157.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-03,full,nexgen_production,02:00,FAILED,failed,0,no,,Disk full on backup staging volume — auto-cleanup triggered
2025-11-03,full,nexgen_production,04:30,05:18,success,157.9,yes,gs://nexgen-backup-us-east1/daily/,Manual re-run after disk cleanup
2025-11-04,full,nexgen_production,02:00,02:51,success,158.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-05,full,nexgen_production,02:00,02:49,success,158.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-06,full,nexgen_production,02:00,02:55,success,159.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-07,full,nexgen_production,02:00,02:47,success,159.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-08,full,nexgen_production,02:00,02:52,success,160.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-09,full,nexgen_production,02:00,02:50,success,160.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-10,full,nexgen_production,02:00,02:48,success,161.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-11,full,nexgen_production,02:00,02:53,success,161.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-12,full,nexgen_production,02:00,02:51,success,162.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-13,full,nexgen_production,02:00,02:49,success,162.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-14,full,nexgen_production,02:00,02:55,success,162.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-15,full,nexgen_production,02:00,02:47,success,163.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-16,full,nexgen_production,02:00,FAILED,failed,0,no,,Network timeout to GCS — intermittent connectivity issue
2025-11-17,full,nexgen_production,02:00,02:52,success,164.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-18,full,nexgen_production,02:00,02:50,success,164.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-19,full,nexgen_production,02:00,02:48,success,165.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-20,full,nexgen_production,02:00,02:53,success,165.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-21,full,nexgen_production,02:00,02:51,success,166.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-22,full,nexgen_production,02:00,02:49,success,166.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-23,full,nexgen_production,02:00,02:55,success,166.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-24,full,nexgen_production,02:00,02:47,success,167.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-25,full,nexgen_production,02:00,02:52,success,167.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-26,full,nexgen_production,02:00,02:50,success,168.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-27,full,nexgen_production,02:00,02:48,success,168.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-28,full,nexgen_production,02:00,02:53,success,169.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-29,full,nexgen_production,02:00,02:51,success,169.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-11-30,full,nexgen_production,02:00,02:49,success,170.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-01,full,nexgen_production,02:00,02:55,success,170.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-02,full,nexgen_production,02:00,02:47,success,171.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-03,full,nexgen_production,02:00,02:52,success,171.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-04,full,nexgen_production,02:00,02:50,success,171.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-05,full,nexgen_production,02:00,02:48,success,172.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-06,full,nexgen_production,02:00,02:53,success,172.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-07,full,nexgen_production,02:00,02:51,success,173.2,yes,gs://nexgen-backup-us-east1/daily/,
