window_id,date,window_type,start_utc,end_utc,planned_activities,actual_start,actual_end,status,change_tickets,stakeholder_notification,notification_date,notes
MW-Q4-001,2025-10-04,MW-PROD,02:00,06:00,Monthly OS patching,02:15,05:30,Completed,"CHG-2025-9001,CHG-2025-9002,CHG-2025-9003",Email to ops-all + Slack #maintenance,2025-10-02,48-hour notice given. All patches applied.
MW-Q4-002,2025-10-04,MW-EQUIP,08:00,14:00,Quarterly equipment maintenance (UPS + generators + PDUs),08:30,13:45,Completed,"CHG-2025-9004,CHG-2025-9005",Email to ops-all + Slack #maintenance,2025-09-27,1-week notice given. All equipment maintained.
MW-Q4-003,2025-10-08,MW-NET,02:00,04:00,FortiGate firmware update,02:15,03:45,Completed,CHG-2025-9005,Email to ops-all + Slack #maintenance,2025-10-06,48-hour notice given.
MW-Q4-004,2025-11-01,MW-PROD,02:00,06:00,Monthly OS patching,02:15,05:15,Completed,"CHG-2025-9020,CHG-2025-9021,CHG-2025-9022",Email to ops-all + Slack #maintenance,2025-10-30,48-hour notice given.
MW-Q4-005,2025-11-01,MW-EQUIP,08:00,14:00,Monthly HVAC maintenance,08:30,10:30,Completed,CHG-2025-9025,Email to ops-all + Slack #maintenance,2025-10-25,1-week notice given. HVAC filters replaced.
MW-Q4-006,2025-11-05,MW-NET,02:00,04:00,Network switch firmware update,02:30,03:40,Completed,CHG-2025-9028,Email to ops-all + Slack #maintenance,2025-11-03,48-hour notice given.
MW-Q4-007,2025-11-12,EMERGENCY,N/A,N/A,"Emergency: SAN controller failure at 09:15 UTC. Dell emergency support. Controller replaced by 14:00 UTC.",09:15,14:00,Completed,CHG-2025-9032 (retroactive at 12:30),CTO Sandra Mitchell notified 09:18. Stakeholders via Slack #incidents at 09:25.,N/A,"Emergency approved by CTO. Dell technician on-site. PIR-2025-0092 completed Nov 14. Controller warranty replacement."
MW-Q4-008,2025-12-06,MW-PROD,02:00,06:00,Monthly OS patching,02:15,05:45,Completed,"CHG-2025-9040,CHG-2025-9041,CHG-2025-9042",Email to ops-all + Slack #maintenance,2025-12-04,48-hour notice given.
MW-Q4-009,2025-12-06,MW-EQUIP,08:00,14:00,Monthly HVAC + quarterly UPS (Q1 cycle started early),08:00,13:30,Completed,"CHG-2025-9045,CHG-2025-9046",Email to ops-all + Slack #maintenance,2025-11-29,1-week notice given.
MW-Q4-010,2025-12-10,MW-NET,02:00,04:00,Cisco switch config backup and SNMP rotation,02:15,03:20,Completed,CHG-2025-9048,Email to ops-all + Slack #maintenance,2025-12-08,48-hour notice given.
MW-Q4-011,2025-12-18,EMERGENCY,N/A,N/A,"Emergency: SSL certificate for api.apex.io expired at 14:30 UTC. Renewed by 15:15 UTC.",14:30,15:15,Completed,CHG-2025-9055 (retroactive at 16:00),CTO notified 14:32. Stakeholders via Slack #incidents at 14:35.,N/A,"CTO approved. Certificate renewed. PIR-2025-0098 completed Dec 19. Root cause: monitoring alert was set for 30-day expiry warning but certificate was issued with 90-day validity (usually 1-year). Monitoring gap — short-lived certificates not detected."
MW-Q4-012,2025-12-20,MW-PROD,02:00,06:00,Additional patching window for year-end updates,02:00,04:30,Completed,CHG-2025-9058,"Slack #maintenance only — email notification NOT sent",2025-12-19,"NOTIFICATION GAP: Only 24-hour notice given via Slack. Email notification to ops-all distribution list was not sent. Policy requires 48-hour advance notice. Maintenance was planned on Dec 19 for Dec 20 — insufficient notice. No stakeholder objections received (Saturday window) but notification requirements were not met."
