jira_ticket,cve,severity,cvss_score,title,affected_asset,first_detected,sla_deadline,remediated_date,sla_status,days_to_remediate,days_past_sla,assigned_owner,escalation_status,notes
VULN-10001,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow RCE,esxi-prod-14,2025-09-28,2025-10-12,2025-10-10,Met,12,0,Infrastructure Engineering,None,Emergency patch — host evacuation completed
VULN-10002,CVE-2025-0282,Critical,9.1,Ivanti Connect Secure Buffer Overflow,vpn-cluster-02,2025-10-15,2025-10-29,2025-10-17,Met,2,0,Network Engineering,None,Emergency patch within 48 hours
VULN-10003,CVE-2025-24472,Critical,9.8,FortiOS CSF Auth Bypass,fw-edge-05,2025-10-22,2025-11-05,2025-10-24,Met,2,0,Network Engineering,None,Emergency patch — internet-facing firewall
VULN-10004,CVE-2025-29824,Critical,9.0,Windows CLFS Zero-Day,dc-prod-03,2025-10-19,2025-11-02,2025-10-25,Met,6,0,IT Operations,None,Emergency patch — actively exploited zero-day
VULN-10005,CVE-2025-21376,High,7.5,Windows LDAP RCE,corp-dc-08,2025-10-12,2025-11-11,,Unknown,,,,Not tracked,"SLA deadline not calculated. Remediation date not recorded. No status field populated. Ticket exists in Jira but SLA tracking fields are empty."
VULN-10006,CVE-2025-0108,High,7.1,PAN-OS Authentication Bypass,fw-internal-08,2025-10-08,2025-11-07,,Unknown,,,,Not tracked,"SLA tracking fields empty. Remediation notes indicate patch was applied Oct 10, but no remediated_date recorded in tracker. Cannot confirm SLA compliance."
VULN-10007,CVE-2024-12356,High,7.2,BeyondTrust PRA Command Injection,pam-ha-02,2025-09-25,2025-10-25,,Unknown,,,,Not tracked,SLA tracking fields empty. BeyondTrust upgraded per change records but tracker not updated.
VULN-10008,CVE-2024-47575,High,7.5,FortiManager Missing Auth,fortimanager-03,2025-09-15,2025-10-15,,Unknown,,,,Not tracked,SLA tracking fields empty.
VULN-10009,CVE-2025-21309,High,7.6,Windows RDS RCE,jump-srv-06,2025-11-02,2025-12-02,,Unknown,,,,Not tracked,SLA tracking fields empty. Emergency patch likely applied based on change records.
VULN-10010,CVE-2024-55591,High,7.3,FortiOS Auth Bypass,fw-branch-08,2025-10-05,2025-11-04,,Unknown,,,,Not tracked,SLA tracking fields empty.
VULN-10011,CVE-2025-0282,High,7.4,Ivanti Connect Secure Buffer Overflow,vpn-backup-01,2025-10-28,2025-11-27,,Unknown,,,,Not tracked,SLA tracking fields empty.
VULN-10012,CVE-2025-21298,Medium,6.8,Windows OLE RCE,finance-ws-20,2025-11-05,2026-02-03,,Open — Within SLA,55,0,IT Operations,None,January patch cycle
VULN-10013,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,web-tier-06,2025-10-08,2026-01-06,2025-12-18,Met,71,0,Application Engineering,None,Tomcat 9.0.98 upgraded December
VULN-10014,CVE-2024-53677,Medium,5.8,Apache Struts Path Traversal,legacy-portal-04,2025-09-20,2025-12-19,,SLA Breached,101,10,Application Engineering,Monthly report,App retirement H1 2026 — no risk acceptance
VULN-10015,CVE-2025-21311,Medium,4.9,Windows NTLM V1 EoP,print-srv-08,2025-10-18,2026-01-16,,Open — Within SLA,73,0,IT Operations,None,NTLMv1 disabled via GPO
VULN-10016,CVE-2025-21295,Medium,5.7,SPNEGO NEGOEX RCE,app-web-06,2025-11-08,2026-02-06,,Open — Within SLA,52,0,Application Engineering,None,Patch tested — January
VULN-10017,CVE-2025-21294,Medium,6.7,Digest Auth RCE,legacy-api-06,2025-11-15,2026-02-13,,Open — Within SLA,45,0,Application Engineering,None,Network segmentation applied
VULN-10018,CVE-2025-24085,Medium,5.9,macOS CoreMedia Use-After-Free,exec-mbp-18,2025-10-22,2026-01-20,,Open — Within SLA,69,0,IT Operations,None,macOS update pushed
VULN-10019,CVE-2025-21396,Medium,4.7,Microsoft Account EoP,exchange-ha-03,2025-12-01,2026-02-28,,Open — Within SLA,29,0,IT Operations,None,Exchange CU January
VULN-10020,CVE-2024-11680,Medium,5.2,ProjectSend Auth Bypass,dev-share-06,2025-09-28,2025-12-27,,SLA Breached,93,2,Development,Monthly report,VPN-only internal tool — migration planned
VULN-10021,CVE-2025-21334,Low,3.8,Hyper-V NT Kernel VSP EoP,hyperv-cluster-06,2025-11-15,2026-05-14,,Open — Within SLA,45,0,Infrastructure Engineering,None,Low risk — local access
VULN-10022,CVE-2025-21293,Low,2.8,AD DS EoP,corp-dc-07,2025-11-08,2026-05-07,,Open — Within SLA,52,0,IT Operations,None,AD schema Q1
