ticket_id,requestor,department,system,table,rows_requested,data_classification,export_destination,justification,submitted_date,manager_approval,manager_approval_date,data_owner_approval,data_owner_approval_date,ciso_approval,ciso_approval_date,status,completed_date,notes
EXP-Q4-2025-001,a.santos,Business Intelligence,PostgreSQL Prod,client_engagement_metrics,12500,Confidential,S3 — s3://meridian-exports/q4-engagement/,Q4 client engagement report for executive review,2025-10-03,James Morrison,2025-10-03,Patricia Wolfe,2025-10-04,N/A,N/A,Completed,2025-10-05,Under 10k threshold for CISO — Data Owner approved
EXP-Q4-2025-002,m.chen,Business Intelligence,PostgreSQL Prod,order_summary,8500,Confidential,S3 — s3://meridian-exports/q4-orders/,Monthly order analysis for October,2025-10-08,James Morrison,2025-10-08,Patricia Wolfe,2025-10-09,N/A,N/A,Completed,2025-10-10,Standard monthly export
EXP-Q4-2025-003,m.chen,Business Intelligence,PostgreSQL Prod,order_summary,11200,Confidential,S3 — s3://meridian-exports/q4-orders-full/,Quarter-end comprehensive order analysis,2025-10-10,James Morrison,2025-10-10,Patricia Wolfe,2025-10-10,Patricia Wolfe (CISO),2025-10-10,Completed,2025-10-10,Over 10k — CISO approval obtained
EXP-Q4-2025-004,h.nguyen,Data Analytics,PostgreSQL Prod,client_engagement_metrics,10500,Confidential,Redshift — meridian-analytics-wh,Client retention model training dataset,2025-10-15,Sofia Nakamura,2025-10-15,Patricia Wolfe,2025-10-16,Patricia Wolfe (CISO),2025-10-17,Completed,2025-10-17,Approved — data moved to analytics warehouse
EXP-Q4-2025-005,a.santos,Business Intelligence,Redshift,customer_segments,5200,Restricted,S3 — s3://meridian-exports/segments/,Customer segmentation analysis for marketing,2025-10-20,James Morrison,2025-10-20,Patricia Wolfe,2025-10-21,N/A,N/A,Completed,2025-10-22,Under 10k — standard approval
EXP-Q4-2025-006,a.santos,Business Intelligence,PostgreSQL Prod,customer_profiles,18000,Restricted,Redshift — meridian-analytics-wh,Q4 customer segmentation deep dive,2025-11-05,James Morrison,2025-11-05,Patricia Wolfe,2025-11-06,Patricia Wolfe (CISO),2025-11-07,Completed,2025-11-07,Over 10k Restricted data — full approval chain
EXP-Q4-2025-007,m.chen,Business Intelligence,PostgreSQL Prod,client_engagement_metrics,11800,Confidential,S3 — s3://meridian-exports/nov-engagement/,November engagement report,2025-11-26,James Morrison,2025-11-26,Patricia Wolfe,2025-11-27,Patricia Wolfe (CISO),2025-11-28,Completed,2025-11-28,Standard monthly with CISO due to >10k
EXP-Q4-2025-008,c.mendez,Business Intelligence,PostgreSQL Prod,client_engagement_metrics,25000,Confidential,S3 — s3://meridian-exports/year-end-engagement/,Year-end comprehensive client engagement analysis for board presentation,2025-12-08,James Morrison,2025-12-08,Patricia Wolfe,2025-12-10,Patricia Wolfe (CISO),2025-12-11,Completed,2025-12-11,"Note: Export query was executed on December 8 at 4:30 PM before approval was finalized on December 11. DLP alert triggered."
EXP-Q4-2025-009,h.nguyen,Data Analytics,PostgreSQL Prod,product_usage,8200,Internal,Redshift — meridian-analytics-wh,Product adoption analysis for Q4 review,2025-12-15,Sofia Nakamura,2025-12-15,N/A,N/A,N/A,N/A,Completed,2025-12-16,Internal data — Manager approval sufficient
EXP-Q4-2025-010,a.santos,Business Intelligence,PostgreSQL Prod,order_summary,13200,Confidential,S3 — s3://meridian-exports/year-end-orders/,Year-end order analysis,2025-12-20,James Morrison,2025-12-20,Patricia Wolfe,2025-12-21,Patricia Wolfe (CISO),2025-12-22,Completed,2025-12-22,Year-end analysis — approved before execution
