scan_id,scan_date,scan_start_utc,scan_end_utc,scan_type,tool,target_subnets,assets_scanned,assets_expected,authenticated,auth_success_rate,vulns_found,critical,high,medium,low,status,initiated_by,notes
QSC-2025-040,2025-10-05,01:00,04:23,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1482,1495,Yes,97.8%,312,2,18,198,94,Completed,Automated,Standard weekly scan — all subnets covered
QSC-2025-041,2025-10-12,01:00,04:18,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1488,1495,Yes,98.1%,308,2,17,196,93,Completed,Automated,Standard weekly scan
QSC-2025-042,2025-10-19,01:00,04:35,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1485,1495,Yes,97.5%,315,3,19,199,94,Completed,Automated,Standard weekly scan — 1 new Critical discovered (CVE-2025-29824)
QSC-2025-043,2025-10-26,01:00,04:22,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1490,1495,Yes,98.3%,311,2,18,197,94,Completed,Automated,Standard weekly scan
QSC-2025-044,2025-11-02,01:00,04:28,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1487,1495,Yes,97.9%,318,2,20,201,95,Completed,Automated,Standard weekly scan — 2 new High vulns detected
QSC-2025-045,2025-11-09,01:00,04:15,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1491,1495,Yes,98.4%,305,1,17,194,93,Completed,Automated,Standard weekly scan — CVE-2025-29824 remediated (Critical count -1)
QSC-2025-046,2025-11-16,01:00,04:30,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1486,1495,Yes,97.7%,302,1,16,193,92,Completed,Automated,Standard weekly scan
QSC-2025-047,2025-11-23,01:00,04:20,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1489,1495,Yes,98.0%,298,1,15,191,91,Completed,Automated,Standard weekly scan
QSC-2025-048,2025-11-30,01:00,04:25,Weekly Infrastructure,Qualys VMDR,All 24 subnets,1492,1495,Yes,98.2%,295,1,14,190,90,Completed,Automated,Last scan before code freeze begins
QSC-2025-049,2025-12-14,01:00,04:33,Biweekly Infrastructure,Qualys VMDR,All 24 subnets,1488,1495,Yes,97.6%,301,2,16,192,91,Completed,Manual Override,First scan after 2-week gap. Code freeze in effect (Dec 1 - Dec 22). Scan frequency reduced to biweekly per Platform Engineering request to avoid scan-triggered alerts during freeze. No formal change request or CISO approval documented.
QSC-2025-050,2025-12-28,01:00,04:40,Biweekly Infrastructure,Qualys VMDR,All 24 subnets,1485,1495,Yes,97.4%,310,3,18,196,93,Completed,Manual Override,"Second biweekly scan. Code freeze ended Dec 22. Scan frequency not yet restored to weekly — 2 new Critical vulns discovered that were not detected during the Dec 7 gap. Weekly cadence to resume Jan 5, 2026."
AWI-2025-040,2025-10-05,02:00,03:15,Weekly Cloud,AWS Inspector,All EC2/Lambda,342,342,N/A,N/A,78,0,5,48,25,Completed,Automated,Standard weekly AWS scan
AWI-2025-041,2025-10-12,02:00,03:12,Weekly Cloud,AWS Inspector,All EC2/Lambda,345,345,N/A,N/A,75,0,4,47,24,Completed,Automated,Standard weekly scan
AWI-2025-042,2025-10-19,02:00,03:18,Weekly Cloud,AWS Inspector,All EC2/Lambda,348,348,N/A,N/A,80,1,6,48,25,Completed,Automated,1 new Critical in ECR image
AWI-2025-043,2025-10-26,02:00,03:10,Weekly Cloud,AWS Inspector,All EC2/Lambda,346,346,N/A,N/A,77,0,5,47,25,Completed,Automated,ECR Critical remediated
AWI-2025-044,2025-11-02,02:00,03:20,Weekly Cloud,AWS Inspector,All EC2/Lambda,350,350,N/A,N/A,82,0,6,50,26,Completed,Automated,Standard weekly
AWI-2025-045,2025-11-09,02:00,03:08,Weekly Cloud,AWS Inspector,All EC2/Lambda,349,349,N/A,N/A,79,0,5,49,25,Completed,Automated,Standard weekly
AWI-2025-046,2025-11-16,02:00,03:22,Weekly Cloud,AWS Inspector,All EC2/Lambda,351,351,N/A,N/A,76,0,4,48,24,Completed,Automated,Standard weekly
AWI-2025-047,2025-11-23,02:00,03:15,Weekly Cloud,AWS Inspector,All EC2/Lambda,350,350,N/A,N/A,74,0,4,46,24,Completed,Automated,Standard weekly
AWI-2025-048,2025-11-30,02:00,03:18,Weekly Cloud,AWS Inspector,All EC2/Lambda,352,352,N/A,N/A,73,0,3,46,24,Completed,Automated,Last weekly before code freeze
AWI-2025-049,2025-12-14,02:00,03:25,Biweekly Cloud,AWS Inspector,All EC2/Lambda,348,352,N/A,N/A,81,1,5,50,25,Completed,Manual Override,Biweekly during code freeze — 1 new Critical discovered in Lambda layer
AWI-2025-050,2025-12-28,02:00,03:30,Biweekly Cloud,AWS Inspector,All EC2/Lambda,350,352,N/A,N/A,84,1,6,51,26,Completed,Manual Override,Biweekly — Critical from Dec 14 still open
CSP-2025-040,2025-10-05,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,485,492,Agent-based,98.6%,145,0,8,92,45,Completed,Automated,Standard continuous endpoint scan — 7 endpoints offline (travel)
CSP-2025-041,2025-10-12,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,488,492,Agent-based,99.2%,142,0,7,90,45,Completed,Automated,Standard continuous — 4 endpoints offline
CSP-2025-042,2025-10-19,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,490,492,Agent-based,99.6%,138,0,6,88,44,Completed,Automated,Standard continuous — 2 endpoints offline
CSP-2025-043,2025-10-26,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,487,492,Agent-based,98.9%,140,0,7,89,44,Completed,Automated,Standard continuous
CSP-2025-044,2025-11-02,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,491,492,Agent-based,99.8%,135,0,5,87,43,Completed,Automated,Standard continuous — 1 endpoint offline
CSP-2025-045,2025-11-09,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,489,492,Agent-based,99.4%,133,0,5,85,43,Completed,Automated,Standard continuous
CSP-2025-046,2025-11-16,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,490,492,Agent-based,99.6%,130,0,4,84,42,Completed,Automated,Standard continuous
CSP-2025-047,2025-11-23,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,488,492,Agent-based,99.2%,128,0,4,82,42,Completed,Automated,Standard continuous — Thanksgiving travel
CSP-2025-048,2025-11-30,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,491,492,Agent-based,99.8%,126,0,3,82,41,Completed,Automated,Standard continuous
CSP-2025-049,2025-12-14,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,486,492,Agent-based,98.8%,131,0,5,84,42,Completed,Automated,Endpoint scanning unaffected by code freeze — continuous agent-based detection maintained
CSP-2025-050,2025-12-28,Continuous,Continuous,Continuous Endpoint,CrowdStrike Spotlight,All managed endpoints,484,492,Agent-based,98.4%,134,0,6,85,43,Completed,Automated,Standard continuous — holiday period. 8 endpoints offline
