vendor_id,vendor_name,tier,service,data_classification,soc2_status,onboarding_date,last_business_review,risk_assessment_status,notes
ST-V-001,Amazon Web Services (AWS),Critical,Cloud infrastructure,Customer PII + Internal,Current,2019-08-01,2025-12-10,Current,
ST-V-002,Snowflake Inc.,Critical,Data warehouse,Customer PII + analytics,Current,2022-03-01,2025-12-10,Current,
ST-V-003,Stripe Inc.,Critical,Payment processing,Customer PII + financial,Current,2021-06-15,2025-12-10,Current,SOC 2 reviewed annually. PCI DSS maintained.
ST-V-004,Auth0 (Okta),Critical,Identity management,Customer authentication credentials,Current,2022-09-01,2025-12-10,Current,Recently acquired by Okta. SOC 2 covers Auth0 platform.
ST-V-005,Datadog Inc.,High,Monitoring and observability,Internal + metadata,Current,2022-04-15,2025-10-01,Current,
ST-V-006,Twilio Inc.,High,SMS notifications,Customer phone numbers,Current,2023-01-10,2025-10-01,Current,
ST-V-007,MongoDB Atlas,High,Managed database services,Internal application data,Current,2023-06-01,2025-10-01,Elevated -- see risk assessment log,2024 data exposure incident investigated. Risk acceptance documented.
ST-V-008,PagerDuty Inc.,High,Incident alerting,Internal,Current,2021-07-01,2025-10-01,Current,
ST-V-009,LaunchDarkly,High,Feature flag management,Production config + customer segment data,Current,2023-11-15,2025-10-01,Current,Granted access to customer segmentation data August 2025 for targeted rollouts.
ST-V-010,Figma Inc.,Medium,Design tools,Internal only,N/A,2023-02-01,N/A,N/A,Medium tier.
ST-V-011,Notion Labs,Medium,Documentation,Internal only,N/A,2024-01-15,N/A,N/A,Medium tier.
ST-V-012,DocuSign Inc.,Low,Contract e-signatures,Internal contracts,N/A,2024-03-01,N/A,N/A,Low tier.
