backup_id,date,start_time_utc,end_time_utc,type,target_system,status,size_gb,checksum_verified,operator,notes
BKP-2025-1001,2025-10-01,02:00:10,03:52:18,full,zc-db-prod-01,success,162.5,true,automated,
BKP-2025-1002,2025-10-02,02:00:08,03:54:32,full,zc-db-prod-01,success,162.9,true,automated,
BKP-2025-1003,2025-10-03,02:00:15,03:56:10,full,zc-db-prod-01,success,163.4,true,automated,
BKP-2025-1004,2025-10-04,02:00:11,03:53:48,full,zc-db-prod-01,success,163.8,true,automated,
BKP-2025-1005,2025-10-05,02:00:19,03:55:25,full,zc-db-prod-01,success,164.3,true,automated,
BKP-2025-1006,2025-10-06,02:00:07,03:57:02,full,zc-db-prod-01,success,164.7,true,automated,
BKP-2025-1007,2025-10-07,02:00:14,03:58:40,full,zc-db-prod-01,success,165.2,true,automated,
BKP-2025-1015,2025-10-15,02:00:12,04:02:38,full,zc-db-prod-01,success,167.4,true,automated,
BKP-2025-1031,2025-10-31,02:00:18,04:10:15,full,zc-db-prod-01,success,172.1,true,automated,
BKP-2025-1115,2025-11-15,02:00:09,04:16:42,full,zc-db-prod-01,success,176.8,true,automated,DR failover test day. Daily backup completed before test window.
BKP-2025-1130,2025-11-30,02:00:15,04:22:30,full,zc-db-prod-01,success,180.5,true,automated,
BKP-2025-1215,2025-12-15,02:00:11,04:28:18,full,zc-db-prod-01,success,184.2,true,automated,
BKP-2025-1231,2025-12-31,02:00:20,04:34:55,full,zc-db-prod-01,success,188.0,true,automated,
