alert_id,timestamp,user,query_type,table,rows_returned,threshold_exceeded,alert_severity,reviewed_by,review_timestamp,disposition,export_ticket_reference,notes
DLP-Q4-2025-001,2025-10-03T10:15:00,svc-bi-dashboard,SELECT,order_summary,14800,Yes,Medium,Auto-Resolved,2025-10-03T10:17:00,Auto-Resolved — Known Service Account,,Monthly executive dashboard refresh — recurring query
DLP-Q4-2025-002,2025-10-05T14:30:00,a.santos,SELECT,client_engagement_metrics,12500,Yes,High,Rachel Park,2025-10-05T16:45:00,Verified — Approved Export,EXP-Q4-2025-001,Q4 client engagement report approved by Data Owner
DLP-Q4-2025-003,2025-10-08T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-10-08T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync — standard operation
DLP-Q4-2025-004,2025-10-10T16:00:00,m.chen,SELECT,order_summary,11200,Yes,Medium,David Kim,2025-10-10T18:30:00,Verified — Approved Export,EXP-Q4-2025-003,Quarter-end order analysis
DLP-Q4-2025-005,2025-10-14T11:00:00,svc-bi-dashboard,SELECT,customer_profiles,15200,Yes,Medium,Auto-Resolved,2025-10-14T11:02:00,Auto-Resolved — Known Service Account,,Weekly dashboard data refresh
DLP-Q4-2025-006,2025-10-17T15:30:00,h.nguyen,SELECT,client_engagement_metrics,10500,Yes,High,Rachel Park,2025-10-17T17:00:00,Verified — Approved Export,EXP-Q4-2025-004,Client retention analysis — approved
DLP-Q4-2025-007,2025-10-22T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-10-22T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-008,2025-10-25T14:00:00,svc-bi-dashboard,SELECT,order_summary,14800,Yes,Medium,Auto-Resolved,2025-10-25T14:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard
DLP-Q4-2025-009,2025-10-28T10:30:00,svc-bi-dashboard,SELECT,order_summary,15200,Yes,Medium,Auto-Resolved,2025-10-28T10:32:00,Auto-Resolved — Known Service Account,,Monthly executive dashboard — end of month
DLP-Q4-2025-010,2025-10-31T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-10-31T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-011,2025-11-05T11:00:00,svc-bi-dashboard,SELECT,order_summary,14800,Yes,Medium,Auto-Resolved,2025-11-05T11:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard
DLP-Q4-2025-012,2025-11-07T16:00:00,a.santos,SELECT,customer_profiles,18000,Yes,High,Rachel Park,2025-11-07T18:15:00,Verified — Approved Export,EXP-Q4-2025-006,Customer segmentation analysis for Q4 planning
DLP-Q4-2025-013,2025-11-10T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-11-10T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-014,2025-11-14T10:00:00,svc-bi-dashboard,SELECT,order_summary,15200,Yes,Medium,Auto-Resolved,2025-11-14T10:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard mid-month refresh
DLP-Q4-2025-015,2025-11-18T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-11-18T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-016,2025-11-22T14:00:00,svc-bi-dashboard,SELECT,order_summary,14800,Yes,Medium,Auto-Resolved,2025-11-22T14:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard
DLP-Q4-2025-017,2025-11-25T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-11-25T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-018,2025-11-28T16:30:00,m.chen,SELECT,client_engagement_metrics,11800,Yes,Medium,David Kim,2025-11-28T18:00:00,Verified — Approved Export,EXP-Q4-2025-007,November engagement report
DLP-Q4-2025-019,2025-12-01T10:00:00,svc-bi-dashboard,SELECT,order_summary,14800,Yes,Medium,Auto-Resolved,2025-12-01T10:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard
DLP-Q4-2025-020,2025-12-03T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-12-03T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-021,2025-12-08T16:45:00,c.mendez,SELECT,client_engagement_metrics,25000,Yes,Critical,Rachel Park,2025-12-08T18:00:00,Under Review — Ticket Pending,EXP-Q4-2025-008,Export approval ticket EXP-Q4-2025-008 submitted — pending approval. Export already executed.
DLP-Q4-2025-022,2025-12-10T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-12-10T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-023,2025-12-15T11:00:00,svc-bi-dashboard,SELECT,order_summary,15200,Yes,Medium,Auto-Resolved,2025-12-15T11:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard
DLP-Q4-2025-024,2025-12-18T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-12-18T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-025,2025-12-22T14:30:00,a.santos,SELECT,order_summary,13200,Yes,Medium,David Kim,2025-12-22T16:00:00,Verified — Approved Export,EXP-Q4-2025-010,Year-end order analysis
DLP-Q4-2025-026,2025-12-24T09:00:00,svc-etl-pipeline,SELECT,customer_profiles,47000,Yes,Medium,Auto-Resolved,2025-12-24T09:02:00,Auto-Resolved — Known Service Account,,Weekly ETL sync
DLP-Q4-2025-027,2025-12-28T10:00:00,svc-bi-dashboard,SELECT,order_summary,14800,Yes,Medium,Auto-Resolved,2025-12-28T10:02:00,Auto-Resolved — Known Service Account,,Monthly dashboard
