endpoint,hostname,port,protocol_version,cipher_suite,environment,data_classification,contains_phi,contains_pii,hsts_enabled,last_scan,owner,notes
api.nextera-health.com,prod-api-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Production,Restricted,Yes,Yes,Yes,2025-12-20,Platform Team,Primary API gateway for healthcare provider integrations
portal.nextera-health.com,prod-web-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Production,Restricted,Yes,Yes,Yes,2025-12-20,Platform Team,Provider portal for PHI analytics
analytics.nextera-health.com,prod-analytics-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Restricted,Yes,No,Yes,2025-12-20,Analytics Team,Analytics dashboard showing de-identified patient data
admin.nextera-health.com,prod-admin-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Production,Confidential,No,No,Yes,2025-12-20,Platform Team,Internal admin dashboard
status.nextera-health.com,prod-status-01,443,TLS 1.3,TLS_AES_256_GCM_SHA384,Production,Public,No,No,Yes,2025-12-20,SRE Team,Public status page
sftp.nextera-health.com,prod-sftp-01,22,SFTP/SSH,chacha20-poly1305@openssh.com,Production,Restricted,Yes,Yes,N/A,2025-12-20,Integrations Team,Healthcare provider data ingestion via SFTP
staging-api.nextera-health.com,stg-api-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Staging,Internal,No,No,No,2025-12-20,Platform Team,Staging API - synthetic data only
phi-pipeline.internal.nextera-health.com,int-pipeline-01,8443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Restricted,Yes,Yes,No,2025-12-20,Data Engineering,PHI processing pipeline - receives raw healthcare data
deidentification-svc.internal.nextera-health.com,int-deid-01,8080,HTTP (plaintext),N/A,Internal,Restricted,Yes,Yes,No,2025-12-20,Data Engineering,"De-identification microservice running on EC2 outside Kubernetes cluster. Receives raw PHI from phi-pipeline, strips identifiers, and outputs de-identified datasets. Runs in vpc-prod on private subnet."
model-training.internal.nextera-health.com,int-ml-01,8443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Confidential,No,No,No,2025-12-20,ML Team,ML model training service - uses de-identified data only
grafana.internal.nextera-health.com,int-mon-01,443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Internal,No,No,No,2025-12-20,SRE Team,Monitoring dashboards
vault.internal.nextera-health.com,int-vault-01,8200,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Restricted,No,No,No,2025-12-20,Security Team,HashiCorp Vault - secrets management
jenkins.internal.nextera-health.com,int-ci-01,8443,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,Internal,Internal,No,No,No,2025-12-20,DevOps,CI/CD server
