report_id,scan_date,total_parameters,matched,drifted,drift_percentage,drifted_parameters,severity,status,remediated_date,notes
CDR-401,2025-10-01,520,520,0,0.0%,,None,Clean,N/A,No drift detected
CDR-402,2025-10-08,520,519,1,0.2%,"LOG_LEVEL: staging=DEBUG production=INFO",Low,Documented Exception,N/A,ENV-EXC-001 — expected environment-specific setting
CDR-403,2025-10-15,520,520,0,0.0%,,None,Clean,N/A,No drift detected
CDR-404,2025-10-22,520,520,0,0.0%,,None,Clean,N/A,No drift detected
CDR-405,2025-10-29,523,522,1,0.2%,"LOG_LEVEL: staging=DEBUG production=INFO",Low,Documented Exception,N/A,3 new params added for feature flag system
CDR-406,2025-11-05,523,522,1,0.2%,"LOG_LEVEL: staging=DEBUG production=INFO",Low,Documented Exception,N/A,No new drift
CDR-407,2025-11-12,523,522,1,0.2%,"LOG_LEVEL: staging=DEBUG production=INFO",Low,Documented Exception,N/A,No new drift
CDR-408,2025-11-19,525,514,11,2.1%,"LOG_LEVEL: staging=DEBUG production=INFO; DB_POOL_MAX: staging=20 production=50; DB_POOL_MIN: staging=5 production=15; CACHE_TTL_SECONDS: staging=300 production=120; REDIS_MAX_CONNECTIONS: staging=10 production=50; WORKER_THREAD_COUNT: staging=4 production=16; BATCH_SIZE: staging=100 production=500; RATE_LIMIT_PER_MIN: staging=1000 production=5000; SESSION_TIMEOUT_MIN: staging=60 production=30; RETRY_BACKOFF_MS: staging=1000 production=200; CIRCUIT_BREAKER_THRESHOLD: staging=10 production=5",Medium,Under Review,N/A,"10 new configuration drifts detected. Platform Engineering performed production performance tuning on Nov 18 (CHG-8892) to address Black Friday traffic preparation. Staging was not updated because 'staging does not need production-scale settings.' All changes are scaling and performance parameters."
CDR-409,2025-11-26,525,514,11,2.1%,"Same 11 parameters as CDR-408",Medium,Under Review,N/A,No change from previous week. Platform Engineering states staging update is not planned — scaling parameters are environment-specific.
CDR-410,2025-12-03,525,514,11,2.1%,"Same 11 parameters as CDR-408",Medium,Under Review,N/A,Same drift persists. Engineering lead confirmed these are intentional performance tuning differences.
CDR-411,2025-12-10,525,514,11,2.1%,"Same 11 parameters as CDR-408",Medium,Under Review,N/A,Same drift. No Environment Parity Exception Register entries filed.
CDR-412,2025-12-17,525,514,11,2.1%,"Same 11 parameters as CDR-408",Medium,Under Review,N/A,Same drift. 4th consecutive week without documented exceptions.
CDR-413,2025-12-24,527,516,11,2.1%,"Same 11 parameters as CDR-408 (2 new params both matching)",Medium,Under Review,N/A,Change freeze week. Same drift persists.
CDR-414,2025-12-29,527,516,11,2.1%,"Same 11 parameters as CDR-408",Medium,Under Review,N/A,"End of quarter. Drift has persisted since Nov 19 — 40 days. Parameters include SESSION_TIMEOUT_MIN (staging=60 production=30), CIRCUIT_BREAKER_THRESHOLD (staging=10 production=5), and RETRY_BACKOFF_MS (staging=1000 production=200). These affect application behavior beyond scaling. No exceptions documented per Section 4.2."
