month,alert_rule,severity,total_alerts,true_positives,false_positives,requires_investigation,acknowledged_within_sla,avg_triage_time_minutes,notes
October,Failed login brute force,High,847,12,831,4,839,8,High false positive rate — tuning ticket TUNE-201 created Oct 15
October,Impossible travel,High,23,3,18,2,23,12,
October,IAM policy change,Critical,7,7,0,0,7,4,All legitimate admin changes
October,Root account usage,Critical,0,0,0,0,0,0,
October,S3 bulk access,High,156,2,152,2,148,22,High FP rate — alert triggers on legitimate ETL jobs. Tuning ticket TUNE-202 created Oct 20
October,Security group change,Medium,34,34,0,0,30,45,All legitimate changes tracked to CHG tickets
October,SQL injection pattern,Medium,1203,0,1203,0,891,180,WAF noise — all blocked. Rule disabled Nov 1 per TUNE-203
October,API auth failures,Low,4521,0,4521,0,N/A,N/A,Informational — reviewed in monthly report
November,Failed login brute force,High,312,8,301,3,308,9,Tuning applied Oct 28 — volume reduced 63%
November,Impossible travel,High,19,2,15,2,19,14,
November,IAM policy change,Critical,5,5,0,0,5,3,
November,Root account usage,Critical,1,1,0,0,1,2,Root usage Nov 2 — investigated and documented. Authorized infra change.
November,S3 bulk access,High,89,1,86,2,81,25,Tuning partially applied — still noisy
November,Security group change,Medium,28,28,0,0,24,52,
November,SQL injection pattern,Medium,0,0,0,0,0,0,Rule disabled per TUNE-203 (CISO approved)
November,API auth failures,Low,3847,0,3847,0,N/A,N/A,
November,Large outbound transfer,High,3,1,2,0,3,18,True positive was a scheduled DB export to partner — pre-approved
December,Failed login brute force,High,298,15,278,5,285,11,Spike Dec 14-16: coordinated brute force from 3 IP ranges. Blocked at WAF.
December,Impossible travel,High,31,4,22,5,28,15,Increase in unresolved investigations
December,IAM policy change,Critical,4,4,0,0,4,5,
December,Root account usage,Critical,0,0,0,0,0,0,
December,S3 bulk access,High,142,3,135,4,130,28,Tuning regressed — ETL job pattern changed after CHG-411
December,Security group change,Medium,41,41,0,0,35,48,
December,SQL injection pattern,Medium,0,0,0,0,0,0,Rule remains disabled
December,API auth failures,Low,5102,0,5102,0,N/A,N/A,
December,Large outbound transfer,High,5,2,3,0,5,14,2 true positives: 1 pre-approved export + 1 unauthorized — escalated as INC-310
