session_id,user,credential_checked_out,checkout_time,checkin_time,session_duration_minutes,ticket_reference,approver_1,approver_2,session_type
PAM-Q4-001,marcus.webb,prod-k8s-admin,2025-10-02T09:30:00,2025-10-02T10:45:00,75,CHG-2025-Q4-001,Anil Kapoor,auto-approved,standard
PAM-Q4-002,kevin.tran,prod-rds-admin,2025-10-03T14:00:00,2025-10-03T15:15:00,75,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-003,sarah.okonkwo,prod-k8s-admin,2025-10-05T11:00:00,2025-10-05T12:30:00,90,RITM-77891,Anil Kapoor,auto-approved,standard
PAM-Q4-004,kevin.tran,prod-rds-admin,2025-10-07T10:00:00,2025-10-07T11:20:00,80,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-005,kevin.tran,prod-rds-admin,2025-10-10T09:00:00,2025-10-10T10:05:00,65,RITM-78234,Anil Kapoor,auto-approved,standard
PAM-Q4-006,marcus.webb,prod-ec2-admin,2025-10-14T16:00:00,2025-10-14T17:30:00,90,CHG-2025-Q4-003,Anil Kapoor,auto-approved,standard
PAM-Q4-007,kevin.tran,prod-rds-admin,2025-10-15T08:30:00,2025-10-15T09:40:00,70,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-008,kevin.tran,prod-rds-admin,2025-10-20T13:00:00,2025-10-20T14:00:00,60,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-009,sarah.okonkwo,prod-ec2-admin,2025-10-22T10:00:00,2025-10-22T11:15:00,75,CHG-2025-Q4-005,Anil Kapoor,auto-approved,standard
PAM-Q4-010,kevin.tran,prod-rds-admin,2025-10-24T09:30:00,2025-10-24T10:20:00,50,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-011,kevin.tran,prod-rds-admin,2025-10-28T14:30:00,2025-10-28T15:45:00,75,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-012,marcus.webb,prod-k8s-admin,2025-10-30T11:00:00,2025-10-30T12:00:00,60,CHG-2025-Q4-007,Anil Kapoor,auto-approved,standard
PAM-Q4-013,kevin.tran,prod-rds-admin,2025-11-03T10:00:00,2025-11-03T11:30:00,90,CHG-2025-Q4-009,Anil Kapoor,auto-approved,standard
PAM-Q4-014,root,aws-root-account,2025-11-03T02:47:00,2025-11-03T03:22:00,35,INC-2025-1847,Anil Kapoor,Marcus Webb,break-glass
PAM-Q4-015,kevin.tran,prod-rds-admin,2025-11-05T09:00:00,2025-11-05T09:45:00,45,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-016,sarah.okonkwo,prod-ec2-admin,2025-11-10T15:00:00,2025-11-10T16:15:00,75,RITM-78890,Anil Kapoor,auto-approved,standard
PAM-Q4-017,kevin.tran,prod-rds-admin,2025-11-12T10:30:00,2025-11-12T11:40:00,70,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-018,marcus.webb,prod-k8s-admin,2025-11-15T09:00:00,2025-11-15T10:30:00,90,CHG-2025-Q4-011,Anil Kapoor,auto-approved,standard
PAM-Q4-019,kevin.tran,prod-rds-admin,2025-11-18T14:00:00,2025-11-18T15:10:00,70,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-020,kevin.tran,prod-rds-admin,2025-11-22T08:00:00,2025-11-22T09:00:00,60,CHG-2025-Q4-015,Anil Kapoor,auto-approved,standard
PAM-Q4-021,sarah.okonkwo,prod-k8s-admin,2025-11-22T10:15:00,2025-11-22T13:45:00,210,CHG-2025-Q4-015,Anil Kapoor,auto-approved,standard
PAM-Q4-022,kevin.tran,prod-rds-admin,2025-11-25T09:30:00,2025-11-25T10:15:00,45,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-023,marcus.webb,prod-ec2-admin,2025-12-01T11:00:00,2025-12-01T12:00:00,60,CHG-2025-Q4-016,Anil Kapoor,auto-approved,standard
PAM-Q4-024,kevin.tran,prod-rds-admin,2025-12-03T10:00:00,2025-12-03T11:20:00,80,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-025,sarah.okonkwo,prod-k8s-admin,2025-12-05T14:00:00,2025-12-05T15:30:00,90,RITM-79445,Anil Kapoor,auto-approved,standard
PAM-Q4-026,kevin.tran,prod-rds-admin,2025-12-08T09:00:00,2025-12-08T10:10:00,70,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-027,marcus.webb,prod-k8s-admin,2025-12-10T10:00:00,2025-12-10T11:30:00,90,CHG-2025-Q4-019,Anil Kapoor,auto-approved,standard
PAM-Q4-028,sarah.okonkwo,prod-ec2-admin,2025-12-12T03:15:00,2025-12-12T04:20:00,65,INC-2025-2103,Anil Kapoor,Marcus Webb,break-glass
PAM-Q4-029,kevin.tran,prod-rds-admin,2025-12-15T13:00:00,2025-12-15T14:10:00,70,routine-maintenance,Anil Kapoor,auto-approved,standard
PAM-Q4-030,marcus.webb,prod-ec2-admin,2025-12-18T09:00:00,2025-12-18T10:00:00,60,CHG-2025-Q4-021,Anil Kapoor,auto-approved,standard
PAM-Q4-031,kevin.tran,prod-rds-admin,2025-12-22T10:00:00,2025-12-22T10:50:00,50,routine-maintenance,Anil Kapoor,auto-approved,standard
