record_id,date,time_utc,system,os_or_app,patch_id,patch_title,severity,change_ticket,deployer,maintenance_window,result,notes
PATCH-6001,2025-10-04,02:30,web-srv-01,Ubuntu 22.04,USN-7121-1,OpenSSL 3.0.15 Update,High,CHG-2025-6001,Maria Torres,MW-PROD,Success,Applied within 30-day SLA
PATCH-6002,2025-10-04,02:45,web-srv-02,Ubuntu 22.04,USN-7121-1,OpenSSL 3.0.15 Update,High,CHG-2025-6001,Maria Torres,MW-PROD,Success,Applied within 30-day SLA
PATCH-6003,2025-10-04,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0412,Kernel Security Update,Medium,CHG-2025-6002,Kevin Park,MW-PROD,Success,Monthly patch cycle
PATCH-6004,2025-10-04,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0412,Kernel Security Update,Medium,CHG-2025-6002,Kevin Park,MW-PROD,Success,Monthly patch cycle
PATCH-6005,2025-10-04,04:00,db-srv-01,Ubuntu 22.04,USN-7125-1,PostgreSQL 15.9 Update,Medium,CHG-2025-6003,Sarah Lee,MW-PROD,Success,DB restart at 04:15
PATCH-6006,2025-10-08,02:30,fw-edge-01,FortiOS 7.4,FG-IR-25-003,FortiGate Firmware Update,High,CHG-2025-6005,Kevin Park,MW-NET,Success,HA failover during update
PATCH-6007,2025-10-08,03:00,fw-edge-02,FortiOS 7.4,FG-IR-25-003,FortiGate Firmware Update,High,CHG-2025-6005,Kevin Park,MW-NET,Success,HA pair restored
PATCH-6008,2025-11-01,02:30,web-srv-01,Ubuntu 22.04,USN-7145-1,nginx 1.26.3 Update,Medium,CHG-2025-6020,Maria Torres,MW-PROD,Success,November cycle
PATCH-6009,2025-11-01,02:45,web-srv-02,Ubuntu 22.04,USN-7145-1,nginx 1.26.3 Update,Medium,CHG-2025-6020,Maria Torres,MW-PROD,Success,November cycle
PATCH-6010,2025-11-01,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0498,Kernel Security Update,Medium,CHG-2025-6021,Kevin Park,MW-PROD,Success,November cycle
PATCH-6011,2025-11-01,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0498,Kernel Security Update,Medium,CHG-2025-6021,Kevin Park,MW-PROD,Success,November cycle
PATCH-6012,2025-11-05,02:30,fw-edge-01,FortiOS 7.4,FG-IR-25-008,FortiGate IPS Update,Medium,CHG-2025-6025,Kevin Park,MW-NET,Success,Signatures updated
PATCH-6013,2025-12-06,02:30,web-srv-01,Ubuntu 22.04,USN-7165-1,OpenSSL 3.0.16 Update,Medium,CHG-2025-6040,Maria Torres,MW-PROD,Success,December cycle
PATCH-6014,2025-12-06,02:45,web-srv-02,Ubuntu 22.04,USN-7165-1,OpenSSL 3.0.16 Update,Medium,CHG-2025-6040,Maria Torres,MW-PROD,Success,December cycle
PATCH-6015,2025-12-06,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0567,Kernel Security Update,Medium,CHG-2025-6041,Kevin Park,MW-PROD,Success,December cycle
PATCH-6016,2025-12-06,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0567,Kernel Security Update,Medium,CHG-2025-6041,Kevin Park,MW-PROD,Success,December cycle
PATCH-6017,2025-12-06,04:00,db-srv-01,Ubuntu 22.04,USN-7168-1,PostgreSQL 15.11 Update,Medium,CHG-2025-6042,Sarah Lee,MW-PROD,Success,DB restart at 04:15
