vendor_id,vendor_name,report_period,report_issued,review_date,reviewer,opinion,qualification_details,cuecs_identified,cuec_validation_status,follow_up_actions,follow_up_status
VG-V-001,Amazon Web Services (AWS),2024-10-01 to 2025-09-30,2025-10-15,2025-11-08,Daniel Okafor,Unqualified,N/A,"1. Customer responsible for IAM policy configuration. 2. Customer responsible for encryption key management for S3 and EBS.",Validated Nov 20 2025 -- IAM policies reviewed quarterly; KMS key rotation enabled.,None required.,Complete
VG-V-002,Snowflake Inc.,2024-10-01 to 2025-09-30,2025-10-20,2025-11-15,Daniel Okafor,Unqualified,N/A,"1. Customer responsible for role-based access provisioning within Snowflake.",Validated Nov 25 2025 -- RBAC configured with quarterly access review.,None required.,Complete
VG-V-003,Stripe Inc.,2024-07-01 to 2025-06-30,2025-08-01,2025-09-10,Daniel Okafor,Unqualified,N/A,"1. Customer responsible for securing API keys.",Validated Sep 20 2025 -- API keys stored in HashiCorp Vault; rotated quarterly.,None required.,Complete
VG-V-004,Okta Inc.,2024-04-01 to 2025-03-31,2025-05-15,2025-06-30,Mei-Lin Zhang,Unqualified,N/A,"1. Customer responsible for MFA enforcement policy.",Validated Jul 10 2025 -- MFA enforced for all users.,None required.,Complete
VG-V-005,Databricks Inc.,2024-07-01 to 2025-06-30,2025-07-20,2025-08-12,Daniel Okafor,"Qualified -- Exception on CC6.3","Role-based access controls for production data stores were not consistently enforced. 3 of 18 production databases had overly permissive IAM policies granting read access to all engineering roles rather than scoped to specific project teams. Databricks management response: remediation underway with expected completion Q4 2025.","1. Customer responsible for managing and rotating encryption keys for data at rest using customer-managed keys (CMK) with rotation no less than annually.","Pending -- infrastructure team has not confirmed CMK rotation configuration.","Escalated to CISO on Aug 15 2025. CISO acknowledged: 'Databricks has committed to remediating by Q4 2025. Will follow up.' Formal risk assessment required per Section 4.3 within 30 days of review (deadline: Sep 11 2025).",No formal risk assessment documented. Awaiting Databricks remediation confirmation.
VG-V-006,Datadog Inc.,2024-10-01 to 2025-09-30,2025-10-25,2025-12-10,Mei-Lin Zhang,Unqualified,N/A,None identified.,N/A,None required.,Complete
VG-V-007,CrowdStrike Holdings,2024-10-01 to 2025-09-30,2025-10-20,2025-11-30,Mei-Lin Zhang,Unqualified,N/A,None identified.,N/A,None required.,Complete
VG-V-008,PagerDuty Inc.,2024-04-01 to 2025-03-31,2025-05-10,2025-07-15,Daniel Okafor,Unqualified,N/A,None identified.,N/A,None required.,Complete
VG-V-009,Zendesk Inc.,2024-04-01 to 2025-03-31,2025-05-20,2025-08-05,Daniel Okafor,Unqualified,N/A,"1. Customer responsible for configuring data retention policies.",Validated Aug 15 2025 -- retention set to 2 years per policy.,None required.,Complete
VG-V-010,Cloudflare Inc.,2024-04-01 to 2025-03-31,2025-08-01,2025-12-18,Mei-Lin Zhang,Unqualified,N/A,None identified.,N/A,None required.,Complete
VG-V-011,Twilio Inc.,2024-04-01 to 2025-03-31,2025-07-15,2025-12-05,Mei-Lin Zhang,Unqualified,N/A,"1. Customer responsible for securing API credentials.",Validated Dec 10 2025 -- credentials in Vault.,None required.,Complete
VG-V-012,MongoDB Atlas,2024-07-01 to 2025-06-30,2025-09-01,2025-12-29,Daniel Okafor,Unqualified,N/A,"1. Customer responsible for network access configuration.",Pending -- review just completed.,Confirm network peering and IP allowlisting.,In progress
