window_id,date,window_type,start_utc,end_utc,planned_activities,actual_start,actual_end,status,change_tickets,notes
MW-2025-Q4-001,2025-10-04,MW-PROD,02:00,06:00,Monthly OS patching - web and app servers,02:15,05:30,Completed,CHG-2025-4001 CHG-2025-4002,All patches applied successfully
MW-2025-Q4-002,2025-10-08,MW-NET,02:00,04:00,FortiGate firmware update,02:10,03:45,Completed,CHG-2025-4005,HA failover tested
MW-2025-Q4-003,2025-10-05,MW-CORP,00:00,06:00,AD domain controller October CU,01:00,03:30,Completed,CHG-2025-4003,AD health verified
MW-2025-Q4-004,2025-10-11,MW-PROD,02:00,06:00,Database maintenance - index rebuilds,02:30,05:00,Completed,CHG-2025-4008,Performance improved 12%
MW-2025-Q4-005,2025-10-18,MW-PROD,02:00,06:00,SAN firmware upgrade (Dell EMC),02:00,05:15,Completed,CHG-2025-4012,Dell technician on-site. Supervised.
MW-2025-Q4-006,2025-10-22,MW-NET,02:00,04:00,Cisco switch IOS-XE upgrade,02:15,03:50,Completed,CHG-2025-4015,Core switches updated
MW-2025-Q4-007,2025-11-01,MW-PROD,02:00,06:00,Monthly OS patching - November cycle,02:00,05:45,Completed,CHG-2025-4020 CHG-2025-4021,All patches applied
MW-2025-Q4-008,2025-11-05,MW-NET,02:00,04:00,Palo Alto PAN-OS upgrade,02:30,03:55,Completed,CHG-2025-4025,HA pair updated
MW-2025-Q4-009,2025-11-02,MW-CORP,00:00,06:00,AD November CU,00:30,03:15,Completed,CHG-2025-4022,AD health verified
MW-2025-Q4-010,2025-11-08,MW-PROD,02:00,06:00,VMware vCenter patching,02:00,04:30,Completed,CHG-2025-4028,vCenter updated. All hosts verified.
MW-2025-Q4-011,2025-11-13,EMERGENCY,N/A,N/A,"EMERGENCY: Core switch failure on core-switch-01. Complete hardware failure at 08:42 UTC. Cisco emergency support engaged. Switch replaced by 14:30 UTC.",08:42,14:30,Completed,N/A,"CISO (Robert Lane) verbally authorized emergency maintenance at 08:45 UTC. Change ticket CHG-2025-4035 created retroactively at 11:15 UTC (within 4-hour window). Post-incident review completed Nov 15 (PIR-2025-0078). Cisco technician Jennifer Wu (approved vendor) performed replacement."
MW-2025-Q4-012,2025-11-15,MW-PROD,02:00,06:00,Database maintenance and backup verification,02:30,05:30,Completed,CHG-2025-4038,Backups verified. Index optimization completed.
MW-2025-Q4-013,2025-11-22,MW-PROD,02:00,06:00,UPS battery replacement (Schneider Electric),02:00,05:00,Completed,CHG-2025-4042,Load test passed. Both UPS units verified.
MW-2025-Q4-014,2025-11-26,MW-NET,02:00,04:00,Fortinet IPS signature update,02:15,03:20,Completed,CHG-2025-4045,Signatures updated. No service impact.
MW-2025-Q4-015,2025-12-06,MW-PROD,02:00,06:00,Monthly OS patching - December cycle,02:00,05:30,Completed,CHG-2025-4050 CHG-2025-4051,All patches applied
MW-2025-Q4-016,2025-12-10,MW-NET,02:00,04:00,Cisco firmware update,02:00,03:40,Completed,CHG-2025-4055,All switches updated
MW-2025-Q4-017,2025-12-07,MW-CORP,00:00,06:00,AD December CU,00:45,03:00,Completed,CHG-2025-4052,AD health verified
MW-2025-Q4-018,2025-12-13,MW-PROD,02:00,06:00,SAN disk shelf expansion (Dell EMC),02:30,05:45,Completed,CHG-2025-4060,Dell technician on-site. 2TB expansion completed. Supervised by Kevin Ortiz.
MW-2025-Q4-019,2025-12-20,MW-PROD,02:00,06:00,Database optimization and certificate renewal,02:00,04:30,Completed,CHG-2025-4065,Certificates renewed. DB stats gathered.
